family,point_id,method,tau,T,N_ptp,N_min,N_max,Z_min,Z_max,E_min,E_max,residual,nyquist_rel,newton_ok,cont_step,n_fail,mu1_mod,mu1_re,mu1_im,mu2_mod,mu3_mod,mu_triv,align_triv,floquet_ok,wall_s
large_lower,853,arclength,1.7033221931292781,374.87090360537115,63.596395956047935,31.56518446023471,95.16158041628265,0.0008182106951605809,1.1538348969739858,0.2626097071858934,29.59582873888042,3.666400516522117e-12,0.00999999992776671,True,3.7384033203124996e-07,1,0.043636371422265584,0.043636371422265584,0.0,7.284054039649068e-18,,1.0051575218028321,0.9999838169907637,True,0.014
large_lower,854,arclength,1.703322188692568,374.8709035895581,63.59639596641246,31.565184450774698,95.16158041718715,0.0008182106938680059,1.153834897591715,0.2626097069843212,29.595828741715053,3.8831160509289475e-12,0.009999999982155366,True,6.542205810546874e-08,3,0.0436363713191404,0.0436363713191404,0.0,2.3816979117195436e-17,,1.0051575219793052,0.9999838169905991,True,0.014
large_lower,855,arclength,1.7033221879161438,374.8709035867908,63.59639596822625,31.565184449119197,95.16158041734545,0.0008182106936418053,1.1538348976998176,0.26260970694904606,29.595828742211115,4.149569576838985e-12,0.009999999991673085,True,1.144886016845703e-08,3,0.043636371301096745,0.043636371301096745,0.0,2.810960230035671e-17,,1.005157522010176,0.9999838169905706,True,0.014
large_lower,856,arclength,1.703322187372647,374.8709035848537,63.5963959694959,31.56518444796035,95.16158041745625,0.000818210693483465,1.1538348977754895,0.2626097069243535,29.595828742558357,4.206412995699793e-12,0.009999999998335292,True,8.01420211791992e-09,1,0.043636371288464176,0.043636371288464176,0.0,3.77738611080016e-17,,1.005157522031806,0.9999838169905502,True,0.014
large_lower,857,arclength,1.703322187277535,374.8709035845147,63.59639596971809,31.56518444775755,95.16158041747563,0.0008182106934557554,1.153834897788732,0.26260970692003227,29.595828742619126,4.263256414560601e-12,0.009999999999501115,True,1.402485370635986e-09,3,0.043636371286248705,0.043636371286248705,0.0,8.408240551302222e-17,,1.005157522035593,0.9999838169905465,True,0.014
large_lower,201,natural,4.05,374.9571907799403,53.25454519661455,41.68530097634852,94.93984617296307,0.0013168570733822146,0.7748907108593452,0.333991453506049,22.8536955455221,8.427036846114788e-12,0.000407833669609471,True,0.05,0,0.2120369817118034,0.2120369817118034,0.0,1.0551997643715172e-16,,0.9999958590857198,0.9999998002654944,True,0.016
large_lower,202,natural,4.115,374.4761230724025,52.68852272327728,42.24419235607635,94.93271507935363,0.001341291897675083,0.7603116909044231,0.3365692847593384,22.477180973513033,1.7337242752546445e-12,0.0003820495694337238,True,0.065,0,0.223143494572245,0.223143494572245,0.0,1.6398557858843255e-17,,0.9999930630366504,0.999999864456463,True,0.018
large_lower,203,natural,4.1995000000000005,373.77601920162977,51.91103787351644,43.01150763616571,94.92254550968215,0.001375423272386329,0.7408977808309467,0.3402222049261497,21.967626307537348,4.572342504616245e-12,0.0003151893864951329,True,0.0845,0,0.2386822637622368,0.2386822637622368,0.0,2.1860226302738983e-17,,0.9999901687864255,0.9999999391543731,True,0.067
large_lower,204,natural,4.30935,372.7264667950444,50.917941232181924,43.98945982525924,94.90740105744116,0.0014263967093539598,0.7162789027488373,0.34548252682151315,21.271470293101263,5.794476010123617e-12,0.0001879229023492917,True,0.10985000000000002,0,0.2609683397013634,0.2609683397013634,0.0,5.952269926945419e-17,,0.9999886489009578,0.9999999934924785,True,0.076
large_lower,205,natural,4.452155,371.0915766055981,49.506154773717924,45.37723058296068,94.8833853566786,0.0015080057379106922,0.6849513014333659,0.35284653142420896,20.30983084501469,2.0179413695586845e-12,1.6083531848988255e-07,True,0.14280500000000002,0,0.29404845849254585,0.29404845849254585,0.0,7.074419175467916e-17,,0.9999911559908005,0.9999999846735229,True,0.073
