tau,history,dt,n_steps,tau_grid_units,classification,tail_N_min,tail_N_max,tail_N_mean,tail_N_rsd,max_E,gate_floor_active,clip_N,clip_E,wall_s
6.0,H3,0.02,2000000,300,settles,89.55156310702078,89.55219406506794,89.55188559054729,2.120444319348145e-06,2.480525810105387,False,0,0,0.23
8.0,H1,0.02,2000000,400,settles,89.55188183019135,89.55188413232311,89.55188297548439,7.033993085946165e-09,3.0711685644235196,False,0,0,0.23
8.0,H2,0.02,2000000,400,settles,89.55187900009125,89.55188681839408,89.5518828779029,2.387595673525221e-08,15.0,False,0,0,0.24
8.0,H3,0.02,2000000,400,settles,89.55188255482624,89.55188349227382,89.55188302800218,2.8632928408658515e-09,2.454470203077905,False,0,0,0.23
20.0,H1,0.02,2000000,1000,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.6310333659445817,False,0,0,0.21
20.0,H2,0.02,2000000,1000,settles,89.55188301130602,89.55188301130602,89.55188301134295,4.12431432626959e-13,15.0,False,0,0,0.21
20.0,H3,0.02,2000000,1000,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.358994072996647,False,0,0,0.21
50.0,H1,0.02,2000000,2500,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.3967106577382764,False,0,0,0.21
50.0,H2,0.02,2000000,2500,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,15.0,False,0,0,0.23
50.0,H3,0.02,2000000,2500,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.2873324115400724,False,0,0,0.21
100.0,H1,0.02,2000000,5000,settles,89.55188301131727,89.55188301131727,89.55188301134561,3.1642488520897726e-13,2.39254757138227,False,0,0,0.21
100.0,H2,0.02,2000000,5000,settles,89.55188301130605,89.55188301130605,89.55188301134295,4.121140556107013e-13,15.0,False,0,0,0.21
100.0,H3,0.02,2000000,5000,settles,89.55188301130605,89.55188301130605,89.55188301134295,4.121140556107013e-13,2.259040836317018,False,0,0,0.21
130.0,H1,0.02,2000000,6500,settles,89.55142236719699,89.55234754061843,89.5518784771392,3.158676981588772e-06,2.371187934208955,False,0,0,0.24
130.0,H2,0.02,2000000,6500,settles,89.55160809317353,89.55216134215655,89.55188591743489,1.903244596033274e-06,15.0,False,0,0,0.24
130.0,H3,0.02,2000000,6500,settles,89.55175926926779,89.55200521112985,89.55188283025801,8.479745253028881e-07,2.259040805233875,False,0,0,0.24
147.0,H1,0.02,2000000,7350,intermediate,89.1999271485088,89.85643457523324,89.52866472548331,0.0025781869464505808,2.3633460491782348,False,0,0,0.24
147.0,H2,0.02,2000000,7350,intermediate,89.37667658418732,89.71435003342428,89.54472337134159,0.0013159044711880074,15.0,False,0,0,0.24
147.0,H3,0.02,2000000,7350,settles,89.49555930567205,89.60677523402771,89.55152569600799,0.00043206372801311453,2.2590408013044683,False,0,0,0.24
148.0,H1,0.02,2000000,7400,intermediate,88.91377907733957,90.05134570565045,89.51940166337067,0.00440648849082758,2.410005795233391,False,0,0,0.24
148.0,H2,0.02,2000000,7400,intermediate,89.3087757094517,89.77180843509889,89.54961832607673,0.0018175557729315066,15.0,False,0,0,0.24
148.0,H3,0.02,2000000,7400,settles,89.47946059189104,89.62201924058556,89.55029764414276,0.0005562405506737005,2.2590408011755114,False,0,0,0.24
148.3,H1,0.02,2000000,7415,intermediate,88.70389157406919,90.1678565559879,89.4590359252606,0.005577430493429747,2.519326099275719,False,0,0,0.24
148.3,H2,0.02,2000000,7415,intermediate,89.28232291019603,89.79307835817151,89.53525863324695,0.002014665175269755,15.0,False,0,0,0.24
148.3,H3,0.02,2000000,7415,settles,89.47394551660066,89.62733336483707,89.55263061609452,0.0006000601541721605,2.259040801138306,False,0,0,0.24
148.6,H1,0.02,2000000,7430,intermediate,88.24911584472358,90.38479360306123,89.43436134916627,0.00775832897553905,2.7657745012520434,False,0,0,0.24
148.6,H2,0.02,2000000,7430,intermediate,89.25234439758859,89.81698638880827,89.54669890513813,0.002230254452387273,15.0,False,0,0,0.24
