cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,11.8,8,M2_stockflow_regimeC,74.43215675845599,115.09979474387805,15.605021960164471,15.554160732744888,False
D6_timevarying_r,,33,11.8,8,M3_AR_residual,27.489112993189483,94.47393732734608,15.605021960164471,15.554160732744888,False
D6_timevarying_r,,33,11.8,8,M4_delayed_info,35.69461049776758,97.81369366630722,15.605021960164471,15.554160732744888,False
D6_timevarying_r,,33,11.8,9,M1_autonomous_Schaefer,13.579506090372469,11.437702609939397,13.845467059642575,17.155313689191733,False
D6_timevarying_r,,33,11.8,9,M1b_autonomous_Allee,12.792997905767173,11.311246673695004,13.845467059642575,17.155313689191733,False
D6_timevarying_r,,33,11.8,9,M2_stockflow_regimeC,78.99357619577864,152.38101881214382,13.845467059642575,17.155313689191733,False
D6_timevarying_r,,33,11.8,9,M3_AR_residual,28.091762767855133,107.79502402828831,13.845467059642575,17.155313689191733,False
D6_timevarying_r,,33,11.8,9,M4_delayed_info,39.45765637561446,114.79515069642513,13.845467059642575,17.155313689191733,False
D6_timevarying_r,,33,11.8,10,M1_autonomous_Schaefer,14.723542566408346,13.398891318199052,13.9812927523226,17.69846995317293,False
D6_timevarying_r,,33,11.8,10,M1b_autonomous_Allee,12.204808042930653,31.51117282189369,13.9812927523226,17.69846995317293,False
D6_timevarying_r,,33,11.8,10,M2_stockflow_regimeC,75.6258742649855,119.13783980603289,13.9812927523226,17.69846995317293,False
D6_timevarying_r,,33,11.8,10,M3_AR_residual,29.390649115571563,85.39532153639362,13.9812927523226,17.69846995317293,False
D6_timevarying_r,,33,11.8,10,M4_delayed_info,39.79011265788845,90.39124373171836,13.9812927523226,17.69846995317293,False
D6_timevarying_r,,33,11.8,11,M1_autonomous_Schaefer,14.314576134690082,14.564805982340928,17.62870013071619,15.340097579963672,True
D6_timevarying_r,,33,11.8,11,M1b_autonomous_Allee,13.871174664628274,17.01728084643515,17.62870013071619,15.340097579963672,False
D6_timevarying_r,,33,11.8,11,M2_stockflow_regimeC,75.9044833493176,525.0152710420922,17.62870013071619,15.340097579963672,False
D6_timevarying_r,,33,11.8,11,M3_AR_residual,39.525203500987104,312.7421907370701,17.62870013071619,15.340097579963672,False
D6_timevarying_r,,33,11.8,11,M4_delayed_info,60.611644702411,385.54400571774454,17.62870013071619,15.340097579963672,False
D6_timevarying_r,,33,11.8,12,M1_autonomous_Schaefer,14.947118954132693,14.352014098135477,17.331012999658466,23.12417176795901,True
D6_timevarying_r,,33,11.8,12,M1b_autonomous_Allee,14.55445648330555,17.782963723324144,17.331012999658466,23.12417176795901,False
D6_timevarying_r,,33,11.8,12,M2_stockflow_regimeC,80.19681904121772,101.69113405547077,17.331012999658466,23.12417176795901,False
D6_timevarying_r,,33,11.8,12,M3_AR_residual,28.838172849454335,69.5564756750309,17.331012999658466,23.12417176795901,False
D6_timevarying_r,,33,11.8,12,M4_delayed_info,32.835906237000245,73.1242418596411,17.331012999658466,23.12417176795901,False
D6_timevarying_r,,33,11.8,13,M1_autonomous_Schaefer,10.567417942012366,9.043744616945038,10.132974844537744,9.591699692681376,False
D6_timevarying_r,,33,11.8,13,M1b_autonomous_Allee,9.512665522102186,8.29386770846811,10.132974844537744,9.591699692681376,True
D6_timevarying_r,,33,11.8,13,M2_stockflow_regimeC,78.58815258485592,107.17143479607509,10.132974844537744,9.591699692681376,False
D6_timevarying_r,,33,11.8,13,M3_AR_residual,26.084317260161875,77.15748515824396,10.132974844537744,9.591699692681376,False
D6_timevarying_r,,33,11.8,13,M4_delayed_info,33.71161195825465,82.23570108654644,10.132974844537744,9.591699692681376,False
D6_timevarying_r,,33,11.8,14,M1_autonomous_Schaefer,14.323263330873344,12.899185355309505,18.360010994190986,21.051705445199698,True
D6_timevarying_r,,33,11.8,14,M1b_autonomous_Allee,16.566811975837314,29.55595149247854,18.360010994190986,21.051705445199698,False
D6_timevarying_r,,33,11.8,14,M2_stockflow_regimeC,80.2055718314507,131.3977068759894,18.360010994190986,21.051705445199698,False
D6_timevarying_r,,33,11.8,14,M3_AR_residual,38.86438593586172,110.96931847595563,18.360010994190986,21.051705445199698,False
D6_timevarying_r,,33,11.8,14,M4_delayed_info,51.74823944961932,116.66545090490867,18.360010994190986,21.051705445199698,False
D6_timevarying_r,,33,11.8,15,M1_autonomous_Schaefer,10.272899936766771,8.832297525809578,9.79789519960933,14.816621566815378,False
D6_timevarying_r,,33,11.8,15,M1b_autonomous_Allee,9.318177594687128,15.628870337125145,9.79789519960933,14.816621566815378,False
D6_timevarying_r,,33,11.8,15,M2_stockflow_regimeC,79.86003172048913,194.09755757061504,9.79789519960933,14.816621566815378,False
D6_timevarying_r,,33,11.8,15,M3_AR_residual,21.62185104425332,123.1266478786454,9.79789519960933,14.816621566815378,False
D6_timevarying_r,,33,11.8,15,M4_delayed_info,29.118768808561317,139.44419528491207,9.79789519960933,14.816621566815378,False
D6_timevarying_r,,33,11.8,16,M1_autonomous_Schaefer,11.853934106644004,11.805151745335241,13.797652300102781,17.96135985928854,True
D6_timevarying_r,,33,11.8,16,M1b_autonomous_Allee,14.142614753564603,20.050046844270003,13.797652300102781,17.96135985928854,False
D6_timevarying_r,,33,11.8,16,M2_stockflow_regimeC,78.74991079144696,411.8691851540725,13.797652300102781,17.96135985928854,False
D6_timevarying_r,,33,11.8,16,M3_AR_residual,27.89705112026678,239.47131714751796,13.797652300102781,17.96135985928854,False
D6_timevarying_r,,33,11.8,16,M4_delayed_info,40.53995333059269,278.1077311765097,13.797652300102781,17.96135985928854,False
D6_timevarying_r,,33,11.8,17,M1_autonomous_Schaefer,13.63030228134433,12.660969032567834,12.968571832261969,16.109833096848543,False
D6_timevarying_r,,33,11.8,17,M1b_autonomous_Allee,12.973269957067684,12.734102512356065,12.968571832261969,16.109833096848543,False
D6_timevarying_r,,33,11.8,17,M2_stockflow_regimeC,77.90052115498311,159.04695281537707,12.968571832261969,16.109833096848543,False
D6_timevarying_r,,33,11.8,17,M3_AR_residual,29.025008587808454,123.35648994049556,12.968571832261969,16.109833096848543,False
D6_timevarying_r,,33,11.8,17,M4_delayed_info,43.04226141666112,132.7222494480558,12.968571832261969,16.109833096848543,False
D6_timevarying_r,,33,11.8,18,M1_autonomous_Schaefer,11.750462747264962,10.597319006717754,12.410870551544779,15.666839713011091,True
D6_timevarying_r,,33,11.8,18,M1b_autonomous_Allee,9.792497588378342,11.87436935530363,12.410870551544779,15.666839713011091,False
D6_timevarying_r,,33,11.8,18,M2_stockflow_regimeC,78.32996739879755,188.61016019776378,12.410870551544779,15.666839713011091,False
D6_timevarying_r,,33,11.8,18,M3_AR_residual,25.814543388869083,122.99978957902096,12.410870551544779,15.666839713011091,False
D6_timevarying_r,,33,11.8,18,M4_delayed_info,36.67604067558969,137.91142013822338,12.410870551544779,15.666839713011091,False
D6_timevarying_r,,33,11.8,19,M1_autonomous_Schaefer,13.12979326078798,13.03251928478239,16.992521297305302,17.42130861431487,True
D6_timevarying_r,,33,11.8,19,M1b_autonomous_Allee,13.0388383289399,16.818970461157612,16.992521297305302,17.42130861431487,False
