dgp,truth,sigma,rep,origin,horizon,model,obs,pred,sqerr,band_retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,1,M1b_autonomous_Allee,910.9810211199791,887.8400641169239,535.5038910172485,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,5,M1b_autonomous_Allee,874.6587425874186,887.2155019963366,157.67220685344995,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,1,M2_stockflow_regimeC,910.9810211199791,887.0497248077429,572.7069431840506,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,5,M2_stockflow_regimeC,874.6587425874186,887.9998234897694,177.98443964306838,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,1,M3_AR_residual,910.9810211199791,884.8130577020221,684.7623094435371,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,5,M3_AR_residual,874.6587425874186,887.8632943870085,174.36018822805343,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,1,M4_delayed_info,910.9810211199791,892.3944212523526,345.46169463925514,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2001,5,M4_delayed_info,874.6587425874186,888.1734878818954,182.64834037458348,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,1,M1_autonomous_Schaefer,880.0166617836477,879.1589112549082,0.7357359695529428,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,5,M1_autonomous_Schaefer,901.105790891346,888.6790057125418,154.42498988014938,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,1,M1b_autonomous_Allee,880.0166617836477,891.0517672532328,121.77355272486741,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,5,M1b_autonomous_Allee,901.105790891346,888.8983503684437,149.0216041201969,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,1,M2_stockflow_regimeC,880.0166617836477,879.1589112549082,0.7357359695529428,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,5,M2_stockflow_regimeC,901.105790891346,888.6790057125418,154.42498988014938,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,1,M3_AR_residual,880.0166617836477,876.397194545499,13.10054308803158,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,5,M3_AR_residual,901.105790891346,888.5813553514366,156.86148559334578,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,1,M4_delayed_info,880.0166617836477,890.5821229712983,111.62897010775148,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2002,5,M4_delayed_info,901.105790891346,888.9706384843638,147.2619239406866,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,1,M1_autonomous_Schaefer,906.1190243551648,892.3393000543424,189.8808018066756,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,5,M1_autonomous_Schaefer,866.6047916596143,889.0357880770011,503.1496002768211,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,1,M1b_autonomous_Allee,906.1190243551648,887.0350916765847,364.196486480579,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,5,M1b_autonomous_Allee,866.6047916596143,888.3342222725009,472.16815476025465,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,1,M2_stockflow_regimeC,906.1190243551648,892.3393000543424,189.8808018066756,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,5,M2_stockflow_regimeC,866.6047916596143,889.0357880770011,503.1496002768211,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,1,M3_AR_residual,906.1190243551648,892.2717096322497,191.7481250354625,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,5,M3_AR_residual,866.6047916596143,889.0335574542704,503.04953507153556,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,1,M4_delayed_info,906.1190243551648,892.6213407624466,182.1874623691342,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2003,5,M4_delayed_info,866.6047916596143,889.0429253861554,503.4698451301404,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,1,M1_autonomous_Schaefer,883.4574316386077,881.648419894352,3.272523490855097,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,0,2004,5,M1_autonomous_Schaefer,910.3735439612939,889.1489910378891,450.4816467984095,True
