dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,5.0,20,M1_autonomous_Schaefer,5.341906638656041,6.131275918981858,9.413580609596325,5.236043365532886,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,20,M1b_autonomous_Allee,10.191422047732374,10.406355580914886,9.413580609596325,5.236043365532886,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,20,M2_stockflow_regimeC,5.341906638656041,6.131275918981858,9.413580609596325,5.236043365532886,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,20,M3_AR_residual,5.541111973356399,6.210439469770196,9.413580609596325,5.236043365532886,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,20,M4_delayed_info,5.7952237925604875,6.067828518260426,9.413580609596325,5.236043365532886,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,21,M1_autonomous_Schaefer,5.402133294327708,5.260013231765325,7.099202566885178,6.252251555009542,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,21,M1b_autonomous_Allee,7.412276338209677,12.90858115289014,7.099202566885178,6.252251555009542,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,21,M2_stockflow_regimeC,5.402133294327708,5.260013231765325,7.099202566885178,6.252251555009542,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,21,M3_AR_residual,5.394675820644588,5.253763058503862,7.099202566885178,6.252251555009542,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,21,M4_delayed_info,5.258411692420263,5.257701344825921,7.099202566885178,6.252251555009542,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,22,M1_autonomous_Schaefer,4.267088582196454,5.631635448282349,9.50387830451716,8.81234264598042,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,22,M1b_autonomous_Allee,9.104377551810675,12.542696742000018,9.50387830451716,8.81234264598042,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,22,M2_stockflow_regimeC,4.267088582196454,5.631635448282349,9.50387830451716,8.81234264598042,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,22,M3_AR_residual,4.29674858675584,5.624935772970354,9.50387830451716,8.81234264598042,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,22,M4_delayed_info,5.117154020757715,5.656578515332436,9.50387830451716,8.81234264598042,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,23,M1_autonomous_Schaefer,4.832771981792985,5.298029329397042,9.450701926726873,7.1139298035374985,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,23,M1b_autonomous_Allee,8.536085649074364,11.130072105616977,9.450701926726873,7.1139298035374985,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,23,M2_stockflow_regimeC,4.832771981792985,5.298029329397042,9.450701926726873,7.1139298035374985,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,23,M3_AR_residual,5.1838426983793955,5.355471932227244,9.450701926726873,7.1139298035374985,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,23,M4_delayed_info,6.290866982997553,5.271348566803892,9.450701926726873,7.1139298035374985,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,24,M1_autonomous_Schaefer,5.191467179737306,5.71447308023452,9.490332778717857,7.893516407049606,True
D1_M1_collapse,M1_autonomous_Schaefer,5.0,24,M1b_autonomous_Allee,10.190342920763019,14.67566868509028,9.490332778717857,7.893516407049606,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,24,M2_stockflow_regimeC,5.191467179737306,5.71447308023452,9.490332778717857,7.893516407049606,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,24,M3_AR_residual,5.167419240922245,5.714599169702073,9.490332778717857,7.893516407049606,False
D1_M1_collapse,M1_autonomous_Schaefer,5.0,24,M4_delayed_info,5.591699323321229,5.7119852173353065,9.490332778717857,7.893516407049606,False
D1_M1_collapse,M1_autonomous_Schaefer,20.0,0,M1_autonomous_Schaefer,16.186563675425777,12.83872058496783,19.154906670514478,20.539060637111017,True
D1_M1_collapse,M1_autonomous_Schaefer,20.0,0,M1b_autonomous_Allee,15.850567987608336,19.835943614376166,19.154906670514478,20.539060637111017,False
D1_M1_collapse,M1_autonomous_Schaefer,20.0,0,M2_stockflow_regimeC,16.186563675425777,12.83872058496783,19.154906670514478,20.539060637111017,False
D1_M1_collapse,M1_autonomous_Schaefer,20.0,0,M3_AR_residual,18.52899776695711,12.98084020099945,19.154906670514478,20.539060637111017,False
