dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,23,M4_delayed_info,11.219381358818072,11.656830746823848,15.933789461277208,16.944391654162935,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M1_autonomous_Schaefer,10.721187263488051,12.51689230596866,17.61821474862706,9.495253778579928,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M1b_autonomous_Allee,13.98463611933413,17.270070163840906,17.61821474862706,9.495253778579928,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M2_stockflow_regimeC,10.721187263488051,12.51689230596866,17.61821474862706,9.495253778579928,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M3_AR_residual,11.323357090114056,12.715940531445076,17.61821474862706,9.495253778579928,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M4_delayed_info,10.685994856414723,12.327484797135913,17.61821474862706,9.495253778579928,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M1_autonomous_Schaefer,12.718818488234614,13.190733999492078,20.316606678947725,21.202583899272128,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M1b_autonomous_Allee,15.70304356221018,29.270990494905593,20.316606678947725,21.202583899272128,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M2_stockflow_regimeC,12.718818488234614,13.190733999492078,20.316606678947725,21.202583899272128,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M3_AR_residual,12.912037321922876,13.193668074823679,20.316606678947725,21.202583899272128,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M4_delayed_info,13.078016866840853,13.199873287071064,20.316606678947725,21.202583899272128,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M1_autonomous_Schaefer,15.408951357341891,16.54170816499211,27.17668667952417,15.805803282450212,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M1b_autonomous_Allee,21.72819993681773,22.772067387809503,27.17668667952417,15.805803282450212,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M2_stockflow_regimeC,15.408951357341891,16.54170816499211,27.17668667952417,15.805803282450212,False
