tau,history,dt,n_steps,tau_grid_units,classification,tail_N_min,tail_N_max,tail_N_mean,tail_N_rsd,max_E,gate_floor_active,clip_N,clip_E,wall_s
145.0,H2,0.02,2000000,7250,settles,89.4585113227941,89.64172465035527,89.55036047293335,0.0007077693071496951,15.0,False,0,0,0.24
145.0,H3,0.02,2000000,7250,settles,89.51877679124715,89.58442269916331,89.55144148012174,0.0002531944704248231,2.259040801586854,False,0,0,0.24
146.0,H1,0.02,2000000,7300,intermediate,89.3204069489113,89.76209179852353,89.54815309107367,0.0017155536825727577,2.36374332485776,False,0,0,0.23
146.0,H2,0.02,2000000,7300,settles,89.42446003075793,89.6727080692766,89.55072776389879,0.000963417701308455,15.0,False,0,0,0.23
146.0,H3,0.02,2000000,7300,settles,89.508579361888,89.5944560818505,89.55183988747713,0.00033273689775879627,2.2590408014414294,False,0,0,0.23
62.4,H1,0.02,2000000,3120,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.389839806065792,False,0,0,0.21
62.4,H2,0.02,2000000,3120,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,15.0,False,0,0,0.23
62.4,H3,0.02,2000000,3120,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.2706755293125225,False,0,0,0.24
63.4,H1,0.02,2000000,3170,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.3927703557121727,False,0,0,0.23
63.4,H2,0.02,2000000,3170,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,15.0,False,0,0,0.21
63.4,H3,0.02,2000000,3170,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.2694808943148965,False,0,0,0.21
63.9,H1,0.02,2000000,3195,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.3941528145815987,False,0,0,0.21
63.9,H2,0.02,2000000,3195,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,15.0,False,0,0,0.22
63.9,H3,0.02,2000000,3195,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.2688914573086367,False,0,0,0.21
64.4,H1,0.02,2000000,3220,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.39548020434967,False,0,0,0.21
64.4,H2,0.02,2000000,3220,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,15.0,False,0,0,0.21
64.4,H3,0.02,2000000,3220,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.268307224162144,False,0,0,0.24
64.9,H1,0.02,2000000,3245,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.3967526652732163,False,0,0,0.21
64.9,H2,0.02,2000000,3245,settles,89.55188301130602,89.55188301130602,89.55188301134295,4.12431432626959e-13,15.0,False,0,0,0.21
64.9,H3,0.02,2000000,3245,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.2677281593887115,False,0,0,0.22
65.4,H1,0.02,2000000,3270,settles,89.55188301131729,89.55188301131729,89.55188301134561,3.162661967008484e-13,2.3979703788320386,False,0,0,0.21
65.4,H2,0.02,2000000,3270,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,15.0,False,0,0,0.21
65.4,H3,0.02,2000000,3270,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.2671542272263916,False,0,0,0.21
66.4,H1,0.02,2000000,3320,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.4002424161196574,False,0,0,0.21
66.4,H2,0.02,2000000,3320,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,15.0,False,0,0,0.21
66.4,H3,0.02,2000000,3320,settles,89.55188301130603,89.55188301130603,89.55188301134295,4.1227274411883015e-13,2.2660216164536293,False,0,0,0.21
