K,period,mode,state,real,imag,real_lo_1ulp,real_hi_1ulp,imag_lo_1ulp,imag_hi_1ulp
120,370.93117783955665,56,A,-1.8178629319904835e-10,3.4687985856623264e-10,-1.8178629319904837e-10,-1.8178629319904832e-10,3.4687985856623259e-10,3.4687985856623269e-10
120,370.93117783955665,56,Z,-1.5228850511095434e-08,-1.2201183454858698e-08,-1.5228850511095437e-08,-1.5228850511095431e-08,-1.2201183454858699e-08,-1.2201183454858696e-08
120,370.93117783955665,56,E,7.6237108313224463e-08,-1.3488241259732111e-07,7.623710831322445e-08,7.6237108313224477e-08,-1.3488241259732114e-07,-1.3488241259732109e-07
120,370.93117783955665,57,N,-3.6042572398345248e-09,-4.1911108396516296e-09,-3.6042572398345252e-09,-3.6042572398345244e-09,-4.1911108396516304e-09,-4.1911108396516288e-09
120,370.93117783955665,57,A,2.3299589871657831e-10,-1.9206256656669206e-10,2.3299589871657826e-10,2.3299589871657836e-10,-1.9206256656669208e-10,-1.9206256656669203e-10
120,370.93117783955665,57,Z,6.3464021036692832e-09,1.4473786797014415e-08,6.3464021036692824e-09,6.346402103669284e-09,1.4473786797014413e-08,1.4473786797014417e-08
120,370.93117783955665,57,E,-9.7905167897253795e-08,7.5651085000086024e-08,-9.7905167897253808e-08,-9.7905167897253781e-08,7.5651085000086011e-08,7.5651085000086038e-08
120,370.93117783955665,58,N,1.3290033087409524e-09,4.1348559000179e-09,1.3290033087409522e-09,1.3290033087409527e-09,4.1348559000178992e-09,4.1348559000179009e-09
120,370.93117783955665,58,A,-2.2336779318753675e-10,6.6720399390713755e-11,-2.2336779318753677e-10,-2.2336779318753672e-10,6.6720399390713742e-11,6.6720399390713768e-11
120,370.93117783955665,58,Z,8.8329064652305254e-10,-1.2777015196928146e-08,8.8329064652305244e-10,8.8329064652305265e-10,-1.2777015196928148e-08,-1.2777015196928145e-08
120,370.93117783955665,58,E,9.5574939904168705e-08,-2.5333649508661117e-08,9.5574939904168692e-08,9.5574939904168719e-08,-2.533364950866112e-08,-2.5333649508661113e-08
120,370.93117783955665,59,N,3.0205491897536156e-10,-3.4024320538332125e-09,3.020549189753615e-10,3.0205491897536161e-10,-3.4024320538332129e-09,-3.4024320538332121e-09
120,370.93117783955665,59,A,1.7913690629087504e-10,1.9613463383032577e-11,1.7913690629087501e-10,1.7913690629087506e-10,1.9613463383032574e-11,1.961346338303258e-11
120,370.93117783955665,59,Z,-5.4408050328399169e-09,8.8461668705765393e-09,-5.4408050328399178e-09,-5.4408050328399161e-09,8.8461668705765376e-09,8.8461668705765409e-09
120,370.93117783955665,59,E,-7.8297285321989163e-08,-1.1028171294847712e-08,-7.8297285321989177e-08,-7.829728532198915e-08,-1.1028171294847713e-08,-1.102817129484771e-08
120,370.93117783955665,60,N,-1.2615416710716619e-09,2.3747406262352605e-09,-1.2615416710716621e-09,-1.2615416710716617e-09,2.37474062623526e-09,2.3747406262352609e-09
120,370.93117783955665,60,A,-1.2184275082112029e-10,-6.7906428202552318e-11,-1.2184275082112031e-10,-1.2184275082112026e-10,-6.7906428202552331e-11,-6.7906428202552305e-11
