depensation fit: {'r': 2.0, 'K': 1671.6596479199984, 's_allee': 642.3296235050077}

                variant   policy     UC   T  boundary_grid  boundary_committed  n_intervals  boundary
depensation_s0=0.5Kstar      BAU UC_q05   5            NaN                 NaN            1   2143.10
depensation_s0=0.5Kstar      BAU UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar      BAU UC_q10   1            NaN                 NaN            1    982.30
depensation_s0=0.5Kstar      BAU UC_q10   3            NaN                 NaN            1   1161.00
depensation_s0=0.5Kstar      BAU UC_q10   5            NaN                 NaN            1   1317.75
depensation_s0=0.5Kstar      BAU UC_q10 inf            NaN                 NaN            1   2298.80
depensation_s0=0.5Kstar flat_100 UC_min   1            NaN                 NaN            1   1525.00
depensation_s0=0.5Kstar flat_100 UC_min   3            NaN                 NaN            1   2674.40
depensation_s0=0.5Kstar flat_100 UC_min   5            NaN                 NaN            1   3747.95
depensation_s0=0.5Kstar flat_100 UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar flat_100 UC_q05   1            NaN                 NaN            1   1393.70
depensation_s0=0.5Kstar flat_100 UC_q05   3            NaN                 NaN            1   2304.50
depensation_s0=0.5Kstar flat_100 UC_q05   5            NaN                 NaN            1   3112.30
depensation_s0=0.5Kstar flat_100 UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar flat_100 UC_q10   1            NaN                 NaN            1   1203.35
depensation_s0=0.5Kstar flat_100 UC_q10   3            NaN                 NaN            1   1775.95
depensation_s0=0.5Kstar flat_100 UC_q10   5            NaN                 NaN            1   2268.45
depensation_s0=0.5Kstar flat_100 UC_q10 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_75 UC_min   1            NaN                 NaN            1   1469.30
depensation_s0=0.5Kstar  flat_75 UC_min   3            NaN                 NaN            1   2516.60
depensation_s0=0.5Kstar  flat_75 UC_min   5            NaN                 NaN            1   3470.15
depensation_s0=0.5Kstar  flat_75 UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_75 UC_q05   1            NaN                 NaN            1   1337.80
depensation_s0=0.5Kstar  flat_75 UC_q05   3            NaN                 NaN            1   2148.70
depensation_s0=0.5Kstar  flat_75 UC_q05   5            NaN                 NaN            1   2858.00
depensation_s0=0.5Kstar  flat_75 UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_75 UC_q10   1            NaN                 NaN            1   1147.10
depensation_s0=0.5Kstar  flat_75 UC_q10   3            NaN                 NaN            1   1620.15
depensation_s0=0.5Kstar  flat_75 UC_q10   5            NaN                 NaN            1   2026.85
depensation_s0=0.5Kstar  flat_75 UC_q10 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_50 UC_min   1            NaN                 NaN            1   1413.50
depensation_s0=0.5Kstar  flat_50 UC_min   3            NaN                 NaN            1   2359.80
depensation_s0=0.5Kstar  flat_50 UC_min   5            NaN                 NaN            1   3204.25
depensation_s0=0.5Kstar  flat_50 UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_50 UC_q05   1            NaN                 NaN            1   1281.80
depensation_s0=0.5Kstar  flat_50 UC_q05   3            NaN                 NaN            1   1993.25
depensation_s0=0.5Kstar  flat_50 UC_q05   5            NaN                 NaN            1   2609.55
depensation_s0=0.5Kstar  flat_50 UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_50 UC_q10   1            NaN                 NaN            1   1090.75
depensation_s0=0.5Kstar  flat_50 UC_q10   3            NaN                 NaN            1   1463.75
depensation_s0=0.5Kstar  flat_50 UC_q10   5            NaN                 NaN            1   1785.45
depensation_s0=0.5Kstar  flat_50 UC_q10 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_25 UC_min   1            NaN                 NaN            1   1357.60
depensation_s0=0.5Kstar  flat_25 UC_min   3            NaN                 NaN            1   2203.80
depensation_s0=0.5Kstar  flat_25 UC_min   5            NaN                 NaN            1   2947.30
depensation_s0=0.5Kstar  flat_25 UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_25 UC_q05   1            NaN                 NaN            1   1225.70
depensation_s0=0.5Kstar  flat_25 UC_q05   3            NaN                 NaN            1   1837.85
depensation_s0=0.5Kstar  flat_25 UC_q05   5            NaN                 NaN            1   2365.05
depensation_s0=0.5Kstar  flat_25 UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar  flat_25 UC_q10   1            NaN                 NaN            1   1034.25
depensation_s0=0.5Kstar  flat_25 UC_q10   3            NaN                 NaN            1   1306.40
depensation_s0=0.5Kstar  flat_25 UC_q10   5            NaN                 NaN            1   1542.75
depensation_s0=0.5Kstar  flat_25 UC_q10 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar   flat_0 UC_min   1            NaN                 NaN            1   1301.65
depensation_s0=0.5Kstar   flat_0 UC_min   3            NaN                 NaN            1   2048.30
depensation_s0=0.5Kstar   flat_0 UC_min   5            NaN                 NaN            1   2697.00
depensation_s0=0.5Kstar   flat_0 UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar   flat_0 UC_q05   1            NaN                 NaN            1   1169.55
depensation_s0=0.5Kstar   flat_0 UC_q05   3            NaN                 NaN            1   1682.35
depensation_s0=0.5Kstar   flat_0 UC_q05   5            NaN                 NaN            1   2123.05
depensation_s0=0.5Kstar   flat_0 UC_q05 inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar   flat_0 UC_q10   1            NaN                 NaN            1    977.60
depensation_s0=0.5Kstar   flat_0 UC_q10   3            NaN                 NaN            1   1147.75
depensation_s0=0.5Kstar   flat_0 UC_q10   5            NaN                 NaN            1   1297.15
depensation_s0=0.5Kstar   flat_0 UC_q10 inf            NaN                 NaN            1   2230.60
depensation_s0=0.5Kstar       S1 UC_min   1            NaN                 NaN            1   1357.60
depensation_s0=0.5Kstar       S1 UC_min   3            NaN                 NaN            1   2203.80
depensation_s0=0.5Kstar       S1 UC_min   5            NaN                 NaN            1   2947.30
depensation_s0=0.5Kstar       S1 UC_min inf            NaN                 NaN            0       NaN
depensation_s0=0.5Kstar       S1 UC_q05   1            NaN                 NaN            1   1225.70
