class_,q,channel,T_r,rho
sprat,0.001,extractive,35,1.07644012
sprat,0.001,extractive,36,1.1372589
sprat,0.001,extractive,37,1.19782056
sprat,0.001,extractive,38,1.25817744
sprat,0.001,extractive,39,1.31837069
sprat,0.001,extractive,40,1.37843289
sprat,0.001,extractive,41,1.43838974
sprat,0.001,extractive,42,1.49826198
sprat,0.001,extractive,43,1.55806606
sprat,0.001,extractive,44,1.61781517
sprat,0.001,extractive,45,1.67752
sprat,0.001,extractive,46,1.73718905
sprat,0.001,extractive,47,1.79682918
sprat,0.001,extractive,48,1.85644595
sprat,0.001,extractive,49,1.91604382
sprat,0.001,extractive,50,1.97562641
sprat,0.001,protective,1,0.83294727
sprat,0.001,protective,2,0.64
sprat,0.001,protective,3,0.512
sprat,0.001,protective,4,0.4096
sprat,0.001,protective,5,0.32768
sprat,0.001,protective,6,0.262144
sprat,0.001,protective,7,0.2097152
sprat,0.001,protective,8,0.16777216
sprat,0.001,protective,9,0.13421773
sprat,0.001,protective,10,0.10737418
sprat,0.001,protective,11,0.08589935
sprat,0.001,protective,12,0.06871948
sprat,0.001,protective,13,0.05497558
sprat,0.001,protective,14,0.04398047
sprat,0.001,protective,15,0.03518437
sprat,0.001,protective,16,0.0281475
sprat,0.001,protective,17,0.022518
sprat,0.001,protective,18,0.0180144
sprat,0.001,protective,19,0.01441152
sprat,0.001,protective,20,0.01152922
sprat,0.001,protective,21,0.00922337
sprat,0.001,protective,22,0.0073787
sprat,0.001,protective,23,0.00590296
sprat,0.001,protective,24,0.00472237
sprat,0.001,protective,25,0.00377789
sprat,0.001,protective,26,0.00302231
sprat,0.001,protective,27,0.00241785
sprat,0.001,protective,28,0.00193428
sprat,0.001,protective,29,0.00154743
sprat,0.001,protective,30,0.00123794
sprat,0.001,protective,31,0.00099035
sprat,0.001,protective,32,0.00079228
sprat,0.001,protective,33,0.00063383
sprat,0.001,protective,34,0.00050706
sprat,0.001,protective,35,0.00040565
sprat,0.001,protective,36,0.00032452
sprat,0.001,protective,37,0.00025961
sprat,0.001,protective,38,0.00020769
sprat,0.001,protective,39,0.00016615
sprat,0.001,protective,40,0.00013292
sprat,0.001,protective,41,0.00010634
sprat,0.001,protective,42,8.507e-05
sprat,0.001,protective,43,6.806e-05
sprat,0.001,protective,44,5.445e-05
sprat,0.001,protective,45,4.356e-05
sprat,0.001,protective,46,3.484e-05
sprat,0.001,protective,47,2.788e-05
sprat,0.001,protective,48,2.23e-05
sprat,0.001,protective,49,1.784e-05
sprat,0.001,protective,50,1.427e-05
sprat,0.1,extractive,1,2.12759557
sprat,0.1,extractive,2,3.57535087
sprat,0.1,extractive,3,4.87032391
sprat,0.1,extractive,4,5.83191104
sprat,0.1,extractive,5,6.52310656
sprat,0.1,extractive,6,6.83132965
sprat,0.1,extractive,7,6.78823571
sprat,0.1,extractive,8,6.48570828
sprat,0.1,extractive,9,6.02008164
sprat,0.1,extractive,10,5.44330001
sprat,0.1,extractive,11,4.79491605
sprat,0.1,extractive,12,4.10516781
sprat,0.1,extractive,13,3.38702173
sprat,0.1,extractive,14,2.59395438
sprat,0.1,extractive,15,1.84036761
sprat,0.1,extractive,16,1.71248336
sprat,0.1,extractive,17,1.58858886
sprat,0.1,extractive,18,1.46974233
sprat,0.1,extractive,19,1.35662825
sprat,0.1,extractive,20,1.2496526
sprat,0.1,extractive,21,1.14902301
sprat,0.1,extractive,22,1.05479367
sprat,0.1,extractive,23,0.96689901
sprat,0.1,extractive,24,0.88518477
sprat,0.1,extractive,25,0.80943393
sprat,0.1,extractive,26,0.7393874
sprat,0.1,extractive,27,0.67475822
sprat,0.1,extractive,28,0.61524319
sprat,0.1,extractive,29,0.56053192
sprat,0.1,extractive,30,0.51031368
sprat,0.1,extractive,31,0.46428309
sprat,0.1,extractive,32,0.42214321
sprat,0.1,extractive,33,0.54633455
sprat,0.1,extractive,34,0.73634044
sprat,0.1,extractive,35,0.86685112
sprat,0.1,extractive,36,0.97513271
sprat,0.1,extractive,37,1.07055927
sprat,0.1,extractive,38,1.15741431
sprat,0.1,extractive,39,1.2381402
sprat,0.1,extractive,40,1.31430546
sprat,0.1,extractive,41,1.38699354
sprat,0.1,extractive,42,1.45698747
sprat,0.1,extractive,43,1.52487121
sprat,0.1,extractive,44,1.59108841
sprat,0.1,extractive,45,1.65598228
sprat,0.1,extractive,46,1.71982125
sprat,0.1,extractive,47,1.78281645
sprat,0.1,extractive,48,1.84513559
sprat,0.1,extractive,49,1.90691192
sprat,0.1,extractive,50,1.96825104
sprat,0.1,protective,1,0.95550209
sprat,0.1,protective,2,0.64
sprat,0.1,protective,3,0.512
sprat,0.1,protective,4,0.4096
sprat,0.1,protective,5,0.32768
sprat,0.1,protective,6,0.262144
sprat,0.1,protective,7,0.2097152
sprat,0.1,protective,8,0.16777216
sprat,0.1,protective,9,0.13421773
sprat,0.1,protective,10,0.10737418
sprat,0.1,protective,11,0.08589935
sprat,0.1,protective,12,0.06871948
sprat,0.1,protective,13,0.05497558
sprat,0.1,protective,14,0.04398047
sprat,0.1,protective,15,0.03518437
sprat,0.1,protective,16,0.0281475
sprat,0.1,protective,17,0.022518
sprat,0.1,protective,18,0.0180144
sprat,0.1,protective,19,0.01441152
sprat,0.1,protective,20,0.01152922
sprat,0.1,protective,21,0.00922337
sprat,0.1,protective,22,0.0073787
sprat,0.1,protective,23,0.00590296
sprat,0.1,protective,24,0.00472237
sprat,0.1,protective,25,0.00377789
sprat,0.1,protective,26,0.00302231
sprat,0.1,protective,27,0.00241785
sprat,0.1,protective,28,0.00193428
sprat,0.1,protective,29,0.00154743
sprat,0.1,protective,30,0.00123794
sprat,0.1,protective,31,0.00099035
sprat,0.1,protective,32,0.00079228
sprat,0.1,protective,33,0.00063383
sprat,0.1,protective,34,0.00050706
sprat,0.1,protective,35,0.00040565
sprat,0.1,protective,36,0.00032452
sprat,0.1,protective,37,0.00025961
sprat,0.1,protective,38,0.00020769
sprat,0.1,protective,39,0.00016615
sprat,0.1,protective,40,0.00013292
sprat,0.1,protective,41,0.00010634
sprat,0.1,protective,42,8.507e-05
sprat,0.1,protective,43,6.806e-05
sprat,0.1,protective,44,5.445e-05
sprat,0.1,protective,45,4.356e-05
sprat,0.1,protective,46,3.484e-05
sprat,0.1,protective,47,2.788e-05
sprat,0.1,protective,48,2.23e-05
sprat,0.1,protective,49,1.784e-05
sprat,0.1,protective,50,1.427e-05
cod,0.001,extractive,1,0.95603208
cod,0.001,extractive,2,0.9147544
cod,0.001,extractive,3,0.87596782
cod,0.001,extractive,4,0.83947329
cod,0.001,extractive,5,0.80507415
cod,0.001,extractive,6,0.77251807
cod,0.001,extractive,7,0.74159621
cod,0.001,extractive,8,0.7121983
cod,0.001,extractive,9,0.68414371
cod,0.001,extractive,10,0.65724324
cod,0.001,extractive,11,0.6313147
cod,0.001,extractive,12,0.60619846
cod,0.001,extractive,13,0.58176628
cod,0.001,extractive,14,0.5579254
cod,0.001,extractive,15,0.53461887
cod,0.001,extractive,16,0.51181237
cod,0.001,extractive,17,0.48949017
cod,0.001,extractive,18,0.46765116
cod,0.001,extractive,19,0.44630494
cod,0.001,extractive,20,0.42546841
cod,0.001,extractive,21,0.40516285
cod,0.001,extractive,22,0.38541155
cod,0.001,extractive,23,0.36623754
cod,0.001,extractive,24,0.34766198
cod,0.001,extractive,25,0.32970307
cod,0.001,extractive,26,0.31237536
cod,0.001,extractive,27,0.29568941
cod,0.001,extractive,28,0.31577239
cod,0.001,extractive,29,0.49253876
cod,0.001,extractive,30,0.60036258
cod,0.001,extractive,31,0.69275885
cod,0.001,extractive,32,0.77710517
cod,0.001,extractive,33,0.85629978
cod,0.001,extractive,34,0.93184614
cod,0.001,extractive,35,1.0046494
