origin,horizon,model,sqerr,abserr,log_sqerr
1973,5,naive_train_mean,764487.9224999999,874.3499999999999,2.984023269764658
1974,1,naive_persist,23409.0,153.0,0.06043482879538096
1974,1,naive_train_mean,247151.02040816323,497.1428571428571,0.4157241857570664
1974,5,naive_persist,194481.0,441.0,0.9789380780450424
1974,5,naive_train_mean,616449.3061224489,785.1428571428571,1.9275012911370735
1975,1,naive_persist,39204.0,198.0,0.20008822041114335
1975,1,naive_train_mean,452317.388429752,672.5454545454545,1.145417064259706
1975,5,naive_persist,36100.0,190.0,0.18043469522031338
1975,5,naive_train_mean,441620.66115702473,664.5454545454545,1.097686660752082
1976,1,naive_persist,17424.0,132.0,0.2225145635188763
1976,1,naive_train_mean,601096.8317580341,775.304347826087,2.289083107525592
1976,5,naive_persist,7056.0,84.0,0.046035911047141005
1976,5,naive_train_mean,312821.3534971645,559.304347826087,0.6834284483771952
1977,1,naive_persist,900.0,30.0,0.021704571578189686
1977,1,naive_train_mean,597529.0,773.0,2.647999306983935
1977,5,naive_persist,60025.0,245.0,0.5637198942949013
1977,5,naive_train_mean,248004.0,498.0,0.5316304087983245
1978,1,naive_persist,5184.0,72.0,0.10418266275299748
1978,1,naive_train_mean,449007.2064000001,670.08,1.6175383101209035
1978,5,naive_persist,56644.0,238.0,0.6642853083843056
1978,5,naive_train_mean,254096.64640000003,504.08000000000004,0.6077156481204489
1979,1,naive_persist,9604.0,98.0,0.10163470319510194
1979,1,naive_train_mean,298452.09467455617,546.3076923076923,0.8555371067738187
1979,5,naive_persist,51529.0,227.0,0.3916193801857307
1979,5,naive_train_mean,174145.71005917157,417.30769230769226,0.3818739084943949
1980,1,naive_persist,5776.0,76.0,0.036873079317528305
1980,1,naive_train_mean,202566.67215363507,450.074074074074,0.5045620459347705
1980,5,naive_persist,54756.0,234.0,0.25187551493279464
1980,5,naive_train_mean,85307.26474622768,292.074074074074,0.16038178109475415
1981,1,naive_persist,841.0,29.0,0.004165220710624709
1981,1,naive_train_mean,164025.0,405.0,0.39370426088030985
1981,5,naive_persist,30976.0,176.0,0.11543069313319963
1981,5,naive_train_mean,66564.0,258.0,0.12407736152777851
1982,1,naive_persist,1369.0,37.0,0.006905699581696704
1982,1,naive_train_mean,183213.51843043996,428.0344827586207,0.48213273443265575
1982,5,naive_persist,99225.0,315.0,0.2684550634163368
1982,5,naive_train_mean,5781.242568370988,76.0344827586207,0.008673337147751106
1983,1,naive_persist,3721.0,61.0,0.017830632816244446
1983,1,naive_train_mean,124444.3211111111,352.76666666666665,0.29593465973889543
1983,5,naive_persist,181476.0,426.0,0.47883014001863966
1983,5,naive_train_mean,149.6544444444448,12.233333333333348,0.00020866881548399052
1984,1,naive_persist,11025.0,105.0,0.03797782196904457
1984,1,naive_train_mean,55878.85952133194,236.38709677419354,0.11255527887899258
1984,5,naive_persist,141376.0,376.0,0.32633497472562506
1984,5,naive_train_mean,1198.0530697190434,34.61290322580646,0.001671646876536737
1985,1,naive_persist,324.0,18.0,0.0008941631049519061
1985,1,naive_train_mean,44521.0,211.0,0.08799732805341129
1985,5,naive_persist,21025.0,145.0,0.047851311201531604
1985,5,naive_train_mean,7056.0,84.0,0.01162010060201223
1986,1,naive_persist,28224.0,168.0,0.05900725351688343
1986,1,naive_train_mean,1340.0036730945835,36.60606060606062,0.0021086853089145423
1986,5,naive_persist,121.0,11.0,0.00033005093300968375
1986,5,naive_train_mean,46485.97337006429,215.60606060606062,0.09425011399112457
1987,1,naive_persist,5476.0,74.0,0.008235290546444129
1987,1,naive_train_mean,1479.9861591695521,38.470588235294144,0.0021297311141209325
1987,5,naive_persist,182329.0,427.0,0.6310393782943945
1987,5,naive_train_mean,213933.45674740482,462.52941176470586,0.7038863698626004
1988,1,naive_persist,121.0,11.0,0.0001641786403999251
1988,1,naive_train_mean,2339.7951020408213,48.37142857142862,0.003319338374637507
1988,5,naive_persist,599076.0,774.0,5.6611241420811105
1988,5,naive_train_mean,542621.6522448979,736.6285714285714,5.449942621353108
1989,1,naive_persist,15876.0,126.0,0.024846884050736207
1989,1,naive_train_mean,6236.611882716042,78.97222222222217,0.010335013808563368
1989,5,naive_persist,708964.0,842.0,13.472792796606198
1989,5,naive_train_mean,631980.8341049382,794.9722222222222,13.065063087127497
1990,1,naive_persist,19044.0,138.0,0.04285486632588248
1990,1,naive_train_mean,46155.296566837096,214.8378378378378,0.09367239688065522
1990,5,naive_persist,529984.0,728.0,18.50168693796685
