class_,q,T_r,kind,rel_A,exc_A,exc_E,peak_A,peak_E
cod,0.001,6,converged,0.0,0.0,0.0,19.23076923076923,19.23076923076923
cod,0.001,7,converged,0.0,0.0,0.0,16.129032258064516,16.129032258064516
cod,0.001,8,converged,0.0,0.0,0.0,14.285714285714285,14.285714285714285
cod,0.001,9,converged,0.0,0.0,0.0,12.820512820512821,12.820512820512821
cod,0.001,10,converged,0.0,0.0,0.0,13.513513513513514,13.513513513513514
cod,0.001,11,converged,0.0,0.0,0.0,12.195121951219512,12.195121951219512
cod,0.001,12,converged,0.0,0.0,0.0,11.904761904761903,11.904761904761903
cod,0.001,13,converged,0.0,0.0,0.0,10.0,10.0
cod,0.001,14,converged,0.0,0.0,0.0,9.433962264150944,9.433962264150944
cod,0.001,15,converged,0.0,0.0,0.0,11.11111111111111,11.11111111111111
cod,0.001,16,converged,0.0,0.0,0.0,8.928571428571429,8.928571428571429
cod,0.001,17,converged,0.0,0.0,0.0,8.064516129032258,7.936507936507937
cod,0.001,18,converged,0.0,0.0,0.0,7.462686567164178,7.462686567164178
cod,0.001,19,converged,0.0,0.0,0.0,6.25,6.25
cod,0.001,20,converged,0.0,0.0,0.0,6.024096385542168,6.024096385542168
cod,0.001,21,converged,0.0,0.0,0.0,7.936507936507937,8.064516129032258
cod,0.001,22,converged,0.0,0.0,0.0,6.756756756756757,6.756756756756757
cod,0.001,23,converged,0.0,0.0,0.0,5.0,5.0
cod,0.001,24,converged,0.0,0.0,0.0,6.097560975609756,6.097560975609756
cod,0.001,25,converged,0.0,0.0,0.0,4.0,8.064516129032258
cod,0.001,26,converged,0.0,0.0,0.0,7.352941176470588,7.352941176470588
cod,0.001,27,converged,0.0,0.0,0.0,2.0,4.385964912280701
cod,0.001,28,converged,0.0,0.0,0.0,5.4945054945054945,5.4945054945054945
cod,0.001,29,converged,0.0,0.0,0.0,3.4965034965034962,3.4965034965034962
cod,0.001,30,converged,0.0,0.0,0.0,4.201680672268907,4.201680672268907
cod,0.001,31,converged,0.0,0.0,0.0,2.994011976047904,2.994011976047904
cod,0.001,32,converged,0.0,0.0,0.0,3.7593984962406015,5.0
cod,0.001,33,converged,0.0,0.0,0.0,3.048780487804878,3.048780487804878
cod,0.001,34,converged,0.0,0.0,0.0,2.0,2.0
cod,0.001,35,converged,0.00044,0.001,0.072,2.0,2.0
cod,0.001,36,weak,0.00174,0.003,0.286,2.0,2.0
cod,0.001,37,weak,0.00235,0.005,0.393,2.0,2.0
cod,0.001,38,weak,0.00279,0.006,0.472,2.0,2.0
cod,0.001,39,weak,0.00312,0.006,0.537,2.0,2.0
cod,0.001,40,weak,0.0034,0.007,0.592,2.0,2.0
cod,0.001,41,weak,0.00363,0.007,0.64,2.0,2.0
cod,0.001,42,weak,0.00378,0.009,0.761,2.0,2.0
cod,0.001,43,weak,0.00385,0.009,0.834,2.0,2.0
cod,0.001,44,weak,0.00391,0.01,0.928,2.0,2.0
cod,0.001,45,weak,0.00375,0.011,1.002,2.0,2.0
cod,0.001,46,weak,0.00392,0.012,1.101,2.0242914979757085,2.0242914979757085
cod,0.001,47,weak,0.00424,0.013,1.222,2.262443438914027,2.262443438914027
cod,0.001,48,weak,0.00511,0.015,1.471,2.8409090909090913,2.8409090909090913
cod,0.001,49,weak,0.00523,0.016,1.608,2.3923444976076556,2.3923444976076556
cod,0.001,50,weak,0.00579,0.017,1.91,3.048780487804878,3.048780487804878
slow_stock,0.001,1,converged,0.0,0.0,0.001,166.66666666666666,166.66666666666666
slow_stock,0.001,2,converged,0.0,0.0,0.0,71.42857142857143,83.33333333333333
slow_stock,0.001,3,converged,0.0,0.0,0.0,50.0,50.0
slow_stock,0.001,4,converged,0.0,0.0,0.0,,
slow_stock,0.001,5,converged,0.0,0.0,0.0,,
slow_stock,0.001,6,converged,0.0,0.0,0.0,,
slow_stock,0.001,7,converged,0.0,0.0,0.0,,
slow_stock,0.001,8,converged,0.0,0.0,0.0,,
slow_stock,0.001,9,converged,0.0,0.0,0.0,,
slow_stock,0.001,10,persistent,0.05502,0.183,5.37,23.809523809523807,23.809523809523807
slow_stock,0.001,11,converged,0.0,0.0,0.0,13.888888888888888,13.888888888888888
slow_stock,0.001,12,converged,0.0,0.0,0.0,11.904761904761903,11.904761904761903
slow_stock,0.001,13,converged,0.0,0.0,0.0,10.869565217391305,10.869565217391305
slow_stock,0.001,14,converged,0.0,0.0,0.0,10.869565217391305,10.869565217391305
slow_stock,0.001,15,converged,0.0,0.0,0.0,11.11111111111111,11.11111111111111
slow_stock,0.001,16,converged,0.0,0.0,0.0,9.80392156862745,11.363636363636365
slow_stock,0.001,17,converged,0.0,0.0,0.0,9.25925925925926,9.25925925925926
slow_stock,0.001,18,converged,0.0,0.0,0.0,13.513513513513514,13.513513513513514
slow_stock,0.001,19,converged,0.0,0.0,0.0,7.8125,7.8125
slow_stock,0.001,20,converged,0.0,0.0,0.0,,
slow_stock,0.001,21,converged,0.0,0.0,0.0,,
slow_stock,0.001,22,converged,0.0,0.0,0.0,7.142857142857142,7.142857142857142
slow_stock,0.001,23,converged,0.0,0.0,0.0,6.666666666666667,6.666666666666667
slow_stock,0.001,24,converged,0.0,0.0,0.0,6.4935064935064934,6.4935064935064934
slow_stock,0.001,25,converged,0.0,0.0,0.0,7.04225352112676,7.04225352112676
slow_stock,0.001,26,converged,0.0,0.0,0.0,6.25,6.25
slow_stock,0.001,27,converged,0.0,0.0,0.0,5.319148936170213,5.319148936170213
slow_stock,0.001,28,converged,0.0,0.0,0.0,,
slow_stock,0.001,29,converged,0.0,0.0,0.0,5.747126436781609,5.747126436781609
slow_stock,0.001,30,converged,0.0,0.0,0.0,6.4935064935064934,6.4935064935064934
slow_stock,0.001,31,converged,0.0,0.0,0.0,,
slow_stock,0.001,32,converged,0.0,0.0,0.0,5.0,5.0
slow_stock,0.001,33,converged,0.0,0.0,0.0,5.555555555555555,5.555555555555555
slow_stock,0.001,34,converged,0.0,0.0,0.0,5.154639175257731,5.154639175257731
slow_stock,0.001,35,converged,0.0,0.0,0.0,4.3478260869565215,4.3478260869565215
slow_stock,0.001,36,converged,0.0,0.0,0.0,4.098360655737705,4.098360655737705
slow_stock,0.001,37,converged,0.0,0.0,0.0,4.23728813559322,4.23728813559322
slow_stock,0.001,38,converged,0.0,0.0,0.0,4.132231404958678,4.132231404958678
slow_stock,0.001,39,converged,0.0,0.0,0.0,3.4482758620689657,3.4482758620689657
slow_stock,0.001,40,converged,0.0,0.0,0.0,,
slow_stock,0.001,41,converged,0.0,0.0,0.0,3.846153846153846,3.846153846153846
slow_stock,0.001,42,converged,0.0,0.0,0.0,3.4965034965034962,3.4965034965034962
slow_stock,0.001,43,converged,0.0,0.0,0.0,2.923976608187134,2.923976608187134
slow_stock,0.001,44,converged,0.0,0.0,0.0,3.2258064516129035,3.2258064516129035
slow_stock,0.001,45,converged,0.0,0.0,0.0,2.9069767441860463,2.9069767441860463
slow_stock,0.001,46,converged,0.0,0.0,0.0,2.0,2.0
slow_stock,0.001,47,converged,0.0,0.0,0.0,2.5,2.5
slow_stock,0.001,48,converged,0.0,0.0,0.0,3.7037037037037033,3.7037037037037033
slow_stock,0.001,49,converged,0.0,0.0,0.0,2.5380710659898478,2.5380710659898478
slow_stock,0.001,50,converged,0.0,0.0,0.0,2.0,2.0
