stockid,stocklong,SSB_now,F_now,B_lim,ADH,lastyear,tsn,scientificname,commonname,family,ordername,taxGroup,FisheryType,zero,stocklong_short
COD4X5Yb,"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",12491.0,0.088,20879.2,0.0,2018,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine"
COD5Zjm,Atlantic cod NAFO 5Zjm,10000.0,0.053,11940.0,0.0,2015,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod NAFO 5Zjm
CODBA2224,Atlantic cod Western Baltic,7800.0,0.882,10180.0,0.0,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Western Baltic
CODBA2532,Atlantic cod Eastern Baltic,60400.0,0.0321821,90600.0,0.0,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Eastern Baltic
CODFAPL,Atlantic cod Faroe Plateau,10190.0,0.58,22928.800000000003,0.0,2022,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Faroe Plateau
CODGB,Atlantic cod Georges Bank,22200.0,0.231,19380.0,0.5880981922753832,2011,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod Georges Bank
CODGOM,Atlantic cod Gulf of Maine,2540.0,0.932,2580.0,0.0,2014,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Gulf of Maine
CODICE,Atlantic cod Iceland Grounds,361000.0,0.27,145200.0,3.373206873859945,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod Iceland Grounds
CODIIIaW-IV-VIId,Atlantic cod ICES 3a(west)-4-7d,54148.0,0.247,44122.8,0.8289246261942855,2022,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod ICES 3a(west)-4-7d
CODIS,Atlantic cod Irish Sea,11714.0,0.0244496,10012.111232,6.420932215317161,2023,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod Irish Sea
CODKAT,Atlantic cod Kattegat,0.129,1.079421445,0.638,0.0,2020,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Kattegat
CODNEAR,Atlantic cod North-East Arctic,902035.0,0.44,452529.8000000001,1.5677266014669005,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,0,Atlantic cod North-East Arctic
CODVIIek,Atlantic cod Celtic Sea,1710.0,1.15,4460.0,0.0,2021,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod Celtic Sea
CODVIa,Atlantic cod West of Scotland,3288.0,0.747,8650.4,0.0,2022,164712,Gadus morhua,Atlantic cod,Gadidae,Gadiformes,gadids,Gadids,1,Atlantic cod West of Scotland
COWCODSCAL,Cowcod Southern California,325000000000.0,0.014,113800000000.0,74.9559043312505,2019,166754,Sebastes levis,Cowcod,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Cowcod Southern California
