stockid,SSB_now,F_now,B_lim,ADH,lastyear
HERR4VWX,476000.0,1.21,113800.0,1.1826242417679251,2012
HERRCC,24400.0,0.033,13180.0,18.663109188630152,2015
HERRIsum,222000.0,0.115,122800.0,5.148872749210759,2018
HERRNIRS,22500.0,0.148,5460.0,9.56801702333487,2018
HERRNORSS,4130000.0,0.084,1382000.0,13.032686686041227,2017
HERRNS-IIIa-VIId,1530000.0,0.211,1108000.0,1.5294367160154128,2018
HERRNWATLC,623000.0,0.16,192000.0,7.356569667247948,2014
HERRPRD,17500.0,0.04,16000.0,2.2403039672421783,2015
HERRRIGA,90100.0,0.321,25800.0,3.895780911796637,2018
HERRSIRS,34200.0,0.411,48400.0,0.0,2018
HERRSITKA,82900.0,0.118,17560.0,13.15263960961253,2007
HERRSOG,92700.0,0.113,20000.0,13.572001761219632,2015
HERRVIa,78800.0,0.268,95800.0,0.0,2013
HERRVIaVIIbc,91500.0,0.0609,153000.0,0.0,2018
HMACKIIa-IVa-Vb-VIa-VII-VIII,782000.0,0.0894,998000.0,0.0,2017
HMACKIXa,816000.0,0.0774,163200.0,20.79377147847675,2018
HOKIENZ,269000.0,0.107,92600.0,9.966562971492575,2015
HOKIWNZ,339000.0,0.137,154800.0,5.721650702370973,2015
JMACKPJPN,28700.0,1.26,12800.0,0.6408348824127015,2013
JMACKTSST,201000.0,0.736,51400.0,1.8528080646711365,2013
KMACKGM,2370000000.0,0.318,830000000.0,3.2994324947752616,2012
KMFLOUNBSAI,61700.0,0.0399,12600.0,39.814213457491476,2015
LINGVa,34200.0,0.28,7420.0,5.457309238890251,2018
LOBSTERGB,1160.0,0.35,264.0,4.229217659868841,2007
LOBSTERGOM,8710.0,1.25,1916.0,1.2113856890525943,2007
LOBSTERSNE,3740.0,1.04,1696.0,0.7603971865930088,2007
MACKNEICES,3440000.0,0.322,874000.0,4.255112964943816,2017
MACKNWATLSA3-4,12500.0,0.468,119800.0,0.0,2013
MEG8c9a,2500.0,0.162,500.0,9.934801928605557,2018
MEGVII-VIIIabd,96700.0,0.22,19340.0,7.315626874700457,2018
MENATGM,50500000000000.0,2.36,15420000000000.0,0.5026728678585299,2011
MENATLAN,83500000000000.0,0.515,30000000000000.0,1.9876684469799113,2016
MHMACKMEDGSA29,18500.0,1.47,10360.0,0.39443435051220554,2014
MORWONGESE,2700.0,0.0515,5760.0,0.0,2014
MORWONGWSE,1700.0,0.00601,540.0,190.8177022439247,2014
MUTSNAPSATLCGM,2390.0,0.18,496.0,8.735959545559048,2013
NEPHFU14,591.0,7.49,138.8,0.1934288343569284,2015
NEPHFU16,958.0,3.3,191.60000000000002,0.48770845831336374,2016
NEPHFU17,379.0,3.4,282.0,0.08694974533656258,2016
NEPHFU7,7040000000.0,2.0,1472000000.0,0.7824930749316332,2017
NEPHMEDGSA1,186.0,0.33,49.400000000000006,4.017564392482801,2011
NEPHMEDGSA11,39.1,0.393,17.540000000000003,2.0397925700948676,2015
NEPHMEDGSA15-16,1890.0,0.15,378.0,10.729586082894002,2012
NEPHMEDGSA5,30.7,0.287,10.38,3.7783337172662326,2013
NEPHMEDGSA6,476.0,1.66,95.2,0.9695409111048797,2011
NEPHMEDGSA9,235.0,0.339,76.4,3.3144625898869737,2015
NEPHVIIIab,3370.0,6.0,834.0,0.2327391034979434,2017
NPOUTIIIa-IV,152000.0,0.243,43800.0,5.12035680437809,2017
NROCKBSAI,95600.0,0.0133,21600.0,111.84056431332604,2015
NROCKGA,35400.0,0.0603,12220.0,17.63910226196152,2015
NRSOLEEBSAI,611000.0,0.0456,147800.0,31.123617338980125,2015
NRSOLEGA,39500.0,0.0217,10840.0,59.58791133159337,2015
NSHRIMPCSCH,10400.0,0.164,3160.0,7.263620600905527,2016
NSHRIMPNCH,3330.0,0.134,1336.0,6.815613648342525,2016
NZLINGLIN3-4,73400.0,0.0233,26000.0,44.54194839480635,2014
NZLINGLIN5-6,274000.0,0.0202,61400.0,74.04545897202838,2014
NZLINGLIN6b,6590.0,0.0348,2520.0,27.62340364916908,2006
NZLINGLIN72,3450.0,0.0795,1476.0,10.67972962094324,2010
NZLINGLIN7WC,46600.0,0.027,14900.0,42.23108622889581,2012
NZSNAPNZ8,8310.0,0.23,22000.0,0.0,2005
OFLOUNECS,2460.0,0.59,542.0,2.5638146228589194,2013
OROUGHYNZMEC,13500.0,0.1,24000.0,0.0,2014
OROUGHYSE,8790.0,0.00186,10280.0,0.0,2013
PANCHCCH,54100.0,0.42,39800.0,0.7308744608620091,2016
PANCHCSCH,204000.0,0.394,138800.0,0.9773754968820109,2016
PANCHNCHSP,1210000.0,4.22,786000.0,0.10223195406672515,2015
PANCHPERUNC,6590000.0,0.588,2300000.0,1.790211267992027,2008
PANDALI-II,1.54,0.099,0.54,10.5855409681753,2015
PANDALIIIaW-IVaE,12300.0,0.63,4420.0,1.6245389941091508,2015
PATGRENADIERSARG,206000.0,0.288,116200.0,1.9880670985130908,2015
PAUANPAU5A,576.0,0.328,248.0,2.5691430321064304,2014
PAUAPAU7,780.0,0.429,856.0,0.0,2015
PAUASPAU5A,561.0,0.222,276.0,3.1951353144393977,2014
PCEELARGS,48000.0,0.139,73800.0,0.0,2013
PCEELCSCH,3720.0,0.17,2400.0,2.5779701819479723,2015
PCEELSCH,1450.0,0.29,2020.0,0.0,2015
PCODBS,402000.0,0.247,146200.0,4.095046725924466,2015
PCODGA,203000.0,0.108,98600.0,6.686432568825903,2015
PERCHEBSAI,234000.0,0.0833,95200.0,10.796412647783697,2015
PHALNPAC,94600.0,0.256,55000.0,2.118454261036569,2014
PICAMEDGSA25,1350.0,0.08,270.0,20.117973905426254,2010
PILCHPJPN,484000.0,0.41,2680000.0,0.0,2013
PINKSHRIMPGM,25100.0,0.254,9980.0,3.631042345725849,2013
PLAIC2123,16900.0,0.254,3380.0,6.336369733992521,2018
PLAIC2432,3.43,0.358,0.686,4.495636626910895,2018
PLAIC7d,47700.0,0.201,11480.0,7.086194064690921,2018
PLAICCELT,1.33,1.29,0.266,1.2476262887086047,2013
PLAICECHW,2.24,0.545,0.466,2.8808174508686966,2018
PLAICIS,22100.0,0.066,4420.0,24.385422915668183,2018
PLAICNS,941000.0,0.199,188200.0,8.08762770067387,2018
PLAICVIIh-k,0.63,1.17,0.42000000000000004,0.3465513744514224,2018
POLL5YZ,155000.0,0.07,80800.0,9.30640216274567,2014
POLLFAPL,66900.0,0.41,31400.0,1.844856278585305,2018
POLLIEG,233000.0,0.112,46600.0,14.369981361018754,2018
POLLNEAR,383000.0,0.259,120600.0,4.461605038175911,2018
POLLNS-VI-IIIa,305000.0,0.267,115000.0,3.653107296794612,2018
POPERCHGA,155000.0,0.0761,47600.0,15.513697183730253,2015
POPERCHPCOAST,1250000000000.0,0.01,1310000000000.0,0.0,2011
PRCODMEDGSA9,163.0,0.9,32.6,1.7882643471490003,2011
PSHRMPMEDGSA6,145.0,1.48,51.400000000000006,0.7007402499726046,2012
PSOLEPCOAST,10300.0,0.657,6700.0,0.6545454624637286,2015
PTOOTHFISHCH,32600.0,0.15,38400.0,0.0,2014
PTOOTHFISHMI,2000.0,0.0113,742.0,87.74807224554884,2010
RDSHRMPMEDGSA1,321.0,1.6,102.2,0.7153184033502574,2014
RDSHRMPMEDGSA6,4050.0,0.441,810.0,3.649519075814286,2014
REDDEEPDP-1-2-V-XII-XIV,0.48,1.11,0.34800000000000003,0.28971497669140733,2016
REDDEEPI-II,857000.0,0.03,195600.0,49.245538699902106,2016
REDFEAUS,486.0,0.0308,1764.0,0.0,2016
REDFISHSPP3M,63000.0,0.0463,14400.0,31.877030665433647,2014
REXSOLEGA,52600.0,0.0982,10520.0,16.389388110326887,2011
REYEROCKBSAI,6980.0,0.0174,1396.0,92.49643174908623,2014
REYEROCKGA,13800.0,0.00859,3380.0,163.77099914647633,2009
RGROUPGM,2910000.0,0.16,582000.0,10.058986952713127,2013
RGROUPSATL,2050.0,0.34,432.0,4.579910246730422,2008
RKCRABBB,24700.0,0.2,19740.0,1.1207810481429805,2015
RMULLMEDGSA1,255.0,1.31,79.2,0.8925856842275159,2013
RMULLMEDGSA11,94.4,1.05,40.6,0.8035933395654935,2012
RMULLMEDGSA15-16,1150.0,1.3,478.0,0.6753126837429536,2011
RMULLMEDGSA17-18,6630.0,0.542,1326.0,2.9694426428673437,2014
RMULLMEDGSA19,496.0,0.99,302.0,0.501160514495008,2014
RMULLMEDGSA25,58.2,0.84,11.64,1.9159975148025004,2008
RMULLMEDGSA29,2650.0,1.07,1790.0,0.36667665434155816,2014
RMULLMEDGSA5,28.9,1.07,9.340000000000002,1.0556405073622759,2012
RMULLMEDGSA6,2010.0,1.58,402.0,1.0186315901481646,2013
RMULLMEDGSA7,1240.0,0.435,248.0,3.6998572699634487,2013
RMULLMEDGSA9,1960.0,0.696,500.0,1.9627753646585793,2013
RPORGYSATLC,1850.0,0.132,1346.0,2.4094576353613437,2012
RSHRMPMEDGSA1,127.0,0.78,53.800000000000004,1.1011713067831441,2015
RSHRMPMEDGSA12-16,4630.0,1.65,1136.0,0.8515415441207171,2009
RSHRMPMEDGSA17-19,3560.0,1.53,786.0,0.9872934845861894,2014
RSHRMPMEDGSA5,6.85,0.68,7.6000000000000005,0.0,2012
RSHRMPMEDGSA9-11,1750.0,0.866,456.0,1.5529772025440804,2015
RSNAPGM,690000000000.0,0.0619,574000000000.0,2.973541216021625,2013
RSNAPSATLC,5400000000000.0,0.538,15580000000000.0,0.0,2014
RSOLEGA,84000.0,0.00952,23000.0,136.06329652459704,2015
RSOLEHSTR,15400.0,0.126,4340.0,10.051533026248176,2014
RSQLOBSTERCSCH,14100.0,0.35,22400.0,0.0,2015
RSQLOBSTERNCH,4480.0,0.14,1942.0,5.97074768969829,2015
SAABALONESA,5080.0,0.0352,5780.0,0.0,2015
SABLEFEBSAIGA,90000.0,0.0636,53800.0,8.090191873624628,2015
SABLEFPCOAST,52000.0,0.451,29400.0,1.264410297642553,2015
SARDMEDGSA17-18,383000.0,1.95,250000.0,0.21875593400943572,2015
SARDMEDGSA20,5650.0,0.68,1130.0,2.3668204594619118,2008
SARDMEDGSA22,8040.0,0.752,2440.0,1.585679579635325,2008
SARDMEDGSA6,120000.0,1.77,130800.0,0.0,2015
SARDPVIIIc-IXa,149000.0,0.172,232000.0,0.0,2018
SARDVIIIabd,1.0,1.65,0.27599999999999997,0.7802147959181741,2018
SAURNWPAC,1410000.0,0.264,514000.0,3.822430749685791,2013
SBARSHARATL,313000.0,0.0131,220000.0,26.914171312045156,2009
SBREAMCH,607.0,12.2,2600.0,0.0,2011
SBT,130000.0,0.0576,256000.0,0.0,2016
SBWHITACIR,196000.0,0.145,43400.0,10.397622193959712,2013
SBWHITARGS,260000.0,0.0799,220000.0,2.0907895452211043,2014
SBWHITCH,65000.0,0.183,159800.0,0.0,2016
SCMPBP,3460.0,0.15,1360.0,6.225225928811148,2012
SCMPMB,3990.0,0.05,2380.0,10.333814864367776,2014
SCMPWHB,1610.0,0.1,634.0,9.319405035412828,2012
SCUPNWATLC,183000.0,0.127,41800.0,11.62669144339142,2014
SDOGATLC,139000.0,0.214,54000.0,4.418177040029987,2015
SDOGBLKGSA29,693.0,0.24,4260.0,0.0,2014
SEELNSSA1,278000.0,0.57,199200.0,0.5847574886669109,2018
SEELNSSA2,107000.0,0.907,60000.0,0.6377996386326411,2018
SEELNSSA3,340000.0,0.346,69200.0,4.600996401695328,2018
SEELNSSA4,195000.0,0.047,76200.0,19.992299912152045,2018
SFLOUNMATLC,40300.0,0.359,10080.0,3.860162134566615,2014
SILVERFISHSE,7390.0,0.0332,5340.0,9.786207288795389,2014
SKJCWPAC,4170000.0,1.33,962000.0,1.1027495219001058,2015
SMOOTHOREOBP,5760.0,0.102,3480.0,4.940246871778597,2008
SMOOTHOREOCR,34800.0,0.0953,23400.0,4.164547370585236,2013
SMOOTHOREOEPR,3760.0,0.268,3480.0,0.2887562075202246,2006
SMOOTHOREOSLD,4140.0,0.056,3360.0,3.727764533251968,2007
SMOOTHOREOWECR,29600.0,0.0592,16760.0,9.607757876285097,2009
SMSHRMPMEDGSA17-18,13200.0,0.693,3420.0,1.9488835187847209,2014
SMSHRMPMEDGSA9,430.0,1.2,86.0,1.3411982603617503,2010
