origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
1990,1,M1_autonomous_Schaefer,600.0,765.0951140172409,0,0,27256.39667236578,165.09511401724092,0.059083269394877264
1990,5,M1_autonomous_Schaefer,10.0,914.01625308889,1,0,817245.3858488761,904.01625308889,20.38760231320111
1990,1,M1b_autonomous_Allee,600.0,713.4436085677313,0,0,12869.452324868638,113.4436085677313,0.02998914548411221
1990,5,M1b_autonomous_Allee,10.0,374.2049988151921,1,0,132645.28116197407,364.2049988151921,13.120468161604828
1990,1,M2_stockflow_regimeC,600.0,918.3957137421105,0,0,101375.83052934798,318.3957137421105,0.18121938594499837
1990,5,M2_stockflow_regimeC,10.0,2621.9664077801567,1,0,6822368.5153719755,2611.9664077801567,31.014816441064255
1990,1,M3_AR_residual,600.0,735.7016612753619,0,0,18414.940872893043,135.70166127536186,0.04157318318022185
1990,5,M3_AR_residual,10.0,2071.360047804753,1,0,4249205.246685613,2061.360047804753,28.444895348724028
1990,1,M4_delayed_info,600.0,941.0681962189497,0,0,116327.51447204794,341.06819621894965,0.20257736582102417
1990,5,M4_delayed_info,10.0,2465.611213629918,1,0,6030026.4325049985,2455.611213629918,30.333767026414225
1991,1,M1_autonomous_Schaefer,352.0,587.5446507104632,0,0,55481.28247831411,235.5446507104632,0.2624728774765052
1991,5,M1_autonomous_Schaefer,15.0,483.40738300126526,1,0,219405.476450094,468.40738300126526,12.060406101941137
1991,1,M1b_autonomous_Allee,352.0,494.7760998233767,0,0,20385.014680774824,142.77609982337668,0.11592265434425535
1991,5,M1b_autonomous_Allee,15.0,0.001,1,1,224.97000100000002,14.999,92.46371503082017
1991,1,M2_stockflow_regimeC,352.0,851.0896183698965,0,0,249090.4471646089,499.08961836989647,0.7794881426466654
1991,5,M2_stockflow_regimeC,15.0,2623.4580176822155,1,0,6804053.230010633,2608.4580176822155,26.668944902710255
1991,1,M3_AR_residual,352.0,660.5455403485713,0,0,95200.35046899185,308.5455403485713,0.3961882861398432
1991,5,M3_AR_residual,15.0,1879.5571502233902,1,0,3476573.36644917,1864.5571502233902,23.33606120397868
1991,1,M4_delayed_info,352.0,870.0058330758495,0,0,268330.0431006049,518.0058330758495,0.818787437919424
1991,5,M4_delayed_info,15.0,2386.101953059534,1,0,5622124.471802737,2371.101953059534,25.698472963446548
1992,1,M1_autonomous_Schaefer,79.0,234.08332276596428,1,1,24050.837000132255,155.08332276596428,1.1798940480897493
1992,5,M1_autonomous_Schaefer,20.0,0.001,1,1,399.960001,19.999,98.07906570323802
1992,1,M1b_autonomous_Allee,79.0,110.620234104455,1,1,999.8392048205387,31.620234104454994,0.11333670240463223
1992,5,M1b_autonomous_Allee,20.0,0.001,1,1,399.960001,19.999,98.07906570323802
1992,1,M2_stockflow_regimeC,79.0,515.6400933979035,1,0,190654.57116252984,436.64009339790346,3.519230334751979
1992,5,M2_stockflow_regimeC,20.0,2023.586183285227,1,0,4014357.593851463,2003.586183285227,21.315712802401524
1992,1,M3_AR_residual,79.0,233.2759511993968,1,1,23801.06911847866,154.2759511993968,1.1724000553121319
1992,5,M3_AR_residual,20.0,0.001,1,1,399.960001,19.999,98.07906570323802
1992,1,M4_delayed_info,79.0,576.6866280965712,1,0,247691.9797861348,497.6866280965712,3.9515522381060366
1992,5,M4_delayed_info,20.0,1383.5972499901895,1,0,1859397.4601808074,1363.5972499901895,17.94971006440859
1993,1,M1_autonomous_Schaefer,22.0,0.001,1,1,483.95600099999996,21.999,99.97595609225658
1993,5,M1_autonomous_Schaefer,28.0,0.001,1,1,783.944001,27.999,104.85677648355926
1993,1,M1b_autonomous_Allee,22.0,0.001,1,1,483.95600099999996,21.999,99.97595609225658
1993,5,M1b_autonomous_Allee,28.0,0.001,1,1,783.944001,27.999,104.85677648355926
1993,1,M2_stockflow_regimeC,22.0,116.94012640907141,1,1,9013.62760257046,94.94012640907141,2.790969882527361
1993,5,M2_stockflow_regimeC,28.0,550.6535434588569,1,0,273166.7264900992,522.6535434588569,8.873853094926366
1993,1,M3_AR_residual,22.0,0.001,1,1,483.95600099999996,21.999,99.97595609225658
1993,5,M3_AR_residual,28.0,0.001,1,1,783.944001,27.999,104.85677648355926
1993,1,M4_delayed_info,22.0,0.001,1,1,483.95600099999996,21.999,99.97595609225658
1993,5,M4_delayed_info,28.0,0.001,1,1,783.944001,27.999,104.85677648355926
1994,1,M1_autonomous_Schaefer,10.0,0.001,1,1,99.98000100000002,9.999,84.83036976765439
1994,5,M1_autonomous_Schaefer,35.0,0.001,1,1,1224.9300010000002,34.999,109.4765315133869
1994,1,M1b_autonomous_Allee,10.0,0.001,1,1,99.98000100000002,9.999,84.83036976765439
1994,5,M1b_autonomous_Allee,35.0,0.001,1,1,1224.9300010000002,34.999,109.4765315133869
1994,1,M2_stockflow_regimeC,10.0,32.59848193787284,1,1,510.691385896365,22.59848193787284,1.3963691065230057
1994,5,M2_stockflow_regimeC,35.0,139.9337734056799,1,1,11011.096801154572,104.93377340567989,1.92050040417749
1994,1,M3_AR_residual,10.0,0.001,1,1,99.98000100000002,9.999,84.83036976765439
1994,5,M3_AR_residual,35.0,0.001,1,1,1224.9300010000002,34.999,109.4765315133869
1994,1,M4_delayed_info,10.0,32.89812476829592,1,1,524.3241179044471,22.898124768295922,1.418077435082907
1994,5,M4_delayed_info,35.0,0.001,1,1,1224.9300010000002,34.999,109.4765315133869
1995,1,M1_autonomous_Schaefer,15.0,0.001,1,1,224.97000100000002,14.999,92.46371503082017
1995,5,M1_autonomous_Schaefer,34.0,0.001,1,1,1155.9320010000001,33.999,108.87077260289978
1995,1,M1b_autonomous_Allee,15.0,0.001,1,1,224.97000100000002,14.999,92.46371503082017
1995,5,M1b_autonomous_Allee,34.0,0.001,1,1,1155.9320010000001,33.999,108.87077260289978
1995,1,M2_stockflow_regimeC,15.0,13.141379850484405,1,1,3.4544688601853717,1.8586201495155947,0.01749910483563123
1995,5,M2_stockflow_regimeC,34.0,35.29945795480719,1,1,1.6885909763116806,1.2994579548071883,0.0014067813364776636
1995,1,M3_AR_residual,15.0,0.001,1,1,224.97000100000002,14.999,92.46371503082017
1995,5,M3_AR_residual,34.0,0.001,1,1,1155.9320010000001,33.999,108.87077260289978
1995,1,M4_delayed_info,15.0,10.975096577774993,1,1,16.199847558238574,4.024903422225007,0.09760715766031627
1995,5,M4_delayed_info,34.0,0.001,1,1,1155.9320010000001,33.999,108.87077260289978
1996,1,M1_autonomous_Schaefer,20.0,0.001,1,1,399.960001,19.999,98.07906570323802
1996,5,M1_autonomous_Schaefer,31.0,0.001,1,1,960.9380009999999,30.999,106.95163759435204
1996,1,M1b_autonomous_Allee,20.0,0.001,1,1,399.960001,19.999,98.07906570323802
1996,5,M1b_autonomous_Allee,31.0,0.001,1,1,960.9380009999999,30.999,106.95163759435204
1996,1,M2_stockflow_regimeC,20.0,21.639189008243957,1,1,2.686940604747806,1.6391890082439566,0.006205296317156822
1996,5,M2_stockflow_regimeC,31.0,59.91749465254966,1,1,836.2214969802379,28.917494652549657,0.4342563831536103
1996,1,M3_AR_residual,20.0,21.93340318955174,1,1,3.738047893368841,1.9334031895517398,0.008515314371554403
1996,5,M3_AR_residual,31.0,62.74785809647527,1,1,1007.9264937139303,31.74785809647527,0.49721852585762605
1996,1,M4_delayed_info,20.0,19.510617697449266,1,1,0.23949503804985794,0.4893823025507338,0.0006137242640896808
1996,5,M4_delayed_info,31.0,50.251963181037105,1,1,370.6380863240083,19.251963181037105,0.23334929192625523
1997,1,M1_autonomous_Schaefer,28.0,0.001,1,1,783.944001,27.999,104.85677648355926
1997,5,M1_autonomous_Schaefer,25.0,0.001,1,1,624.9500009999999,24.999,102.54865751346911
1997,1,M1b_autonomous_Allee,28.0,0.001,1,1,783.944001,27.999,104.85677648355926
1997,5,M1b_autonomous_Allee,25.0,0.001,1,1,624.9500009999999,24.999,102.54865751346911
1997,1,M2_stockflow_regimeC,28.0,25.503812028405996,1,1,6.23095438953059,2.4961879715940043,0.0087191852953652
1997,5,M2_stockflow_regimeC,25.0,73.15327281593628,1,1,2318.7376828859874,48.153272815936276,1.152790981578339
1997,1,M3_AR_residual,28.0,25.028769255353573,1,1,8.828212137932159,2.9712307446464266,0.012584033075230774
1997,5,M3_AR_residual,25.0,68.59041041351108,1,1,1900.1238800183353,43.59041041351108,1.018639881466113
1997,1,M4_delayed_info,28.0,26.895662515451146,1,1,1.2195612797796895,1.1043374845488536,0.001619215859117033
1997,5,M4_delayed_info,25.0,78.48023006528565,1,1,2860.1350078358837,53.48023006528565,1.308669470151508
1998,1,M1_autonomous_Schaefer,35.0,0.001,1,1,1224.9300010000002,34.999,109.4765315133869
1998,5,M1_autonomous_Schaefer,23.0,0.001,1,1,528.954001,22.999,100.86686041703581
1998,1,M1b_autonomous_Allee,35.0,0.001,1,1,1224.9300010000002,34.999,109.4765315133869
1998,5,M1b_autonomous_Allee,23.0,0.001,1,1,528.954001,22.999,100.86686041703581
1998,1,M2_stockflow_regimeC,35.0,33.46533358150248,1,1,2.355201016064013,1.5346664184975225,0.0020104441738565777
1998,5,M2_stockflow_regimeC,23.0,126.8647592450391,1,1,10787.888213029933,103.8647592450391,2.9159913894814595
1998,1,M3_AR_residual,35.0,32.62520687291406,1,1,5.639642396454603,2.374793127085937,0.004936868783536437
1998,5,M3_AR_residual,23.0,118.8691514366523,1,1,9190.894197183772,95.8691514366523,2.6979018589817994
1998,1,M4_delayed_info,35.0,27.84746431577831,1,1,51.15876671406463,7.152535684221689,0.0522607705232964
1998,5,M4_delayed_info,23.0,96.16079150128213,1,1,5352.501413094076,73.16079150128213,2.046408887945179
1999,1,M1_autonomous_Schaefer,34.0,0.001,1,1,1155.9320010000001,33.999,108.87077260289978
1999,5,M1_autonomous_Schaefer,21.0,0.001,1,1,440.95800099999997,20.999,99.04783175043403
1999,1,M1b_autonomous_Allee,34.0,0.001,1,1,1155.9320010000001,33.999,108.87077260289978
1999,5,M1b_autonomous_Allee,21.0,0.001,1,1,440.95800099999997,20.999,99.04783175043403
1999,1,M2_stockflow_regimeC,34.0,47.03331184185496,1,1,169.86721756703673,13.03331184185496,0.10529738704225604
1999,5,M2_stockflow_regimeC,21.0,199.4678625358789,1,1,31850.77795812537,178.4678625358789,5.067589408602218
1999,1,M3_AR_residual,34.0,45.19217349478411,1,1,125.2647475373479,11.192173494784107,0.08097632546607925
1999,5,M3_AR_residual,21.0,182.1683394432368,1,1,25975.233638890397,161.1683394432368,4.667366026936805
1999,1,M4_delayed_info,34.0,40.619504526471594,1,1,43.81784017597793,6.619504526471594,0.03164408137454785
1999,5,M4_delayed_info,21.0,161.96118623151077,1,1,19870.05602379466,140.96118623151077,4.173171885896442
2000,1,M1_autonomous_Schaefer,31.0,0.001,1,1,960.9380009999999,30.999,106.95163759435204
2000,5,M1_autonomous_Schaefer,26.0,0.001,1,1,675.948001,25.999,103.34454316527577
2000,1,M1b_autonomous_Allee,31.0,0.001,1,1,960.9380009999999,30.999,106.95163759435204
