tag,origin,horizon,model,obs,pred,I_used,b,sqerr,abserr,log_sqerr
xteNCAM,1990,1,M_cap_index,600.0,885.2532734058025,5783.0,0.12008410259020565,81369.4299887255,285.2532734058025,0.15127753897480556
xteNCAM,1990,5,M_cap_index,10.0,1051.6350894471923,5783.0,0.12008410259020565,1085003.6595676602,1041.6350894471923,21.67383264322002
xteNCAM,1991,1,M_cap_index,352.0,848.2971283429418,138.0,0.0,246310.83960145048,496.29712834294185,0.773695783565397
xteNCAM,1991,5,M_cap_index,15.0,1084.273370138271,138.0,0.0,1143345.540086856,1069.273370138271,18.323665938940643
xteNCAM,1992,1,M_cap_index,79.0,487.8369436675869,138.0,0.21910418866106196,167147.64650745364,408.8369436675869,3.3143417357104705
xteNCAM,1992,5,M_cap_index,20.0,958.0823487295661,138.0,0.21910418866106196,879998.4929979793,938.0823487295661,14.970719935980657
xteNCAM,1993,1,M_cap_index,22.0,106.52576479738784,138.0,0.35458878073378874,7144.6049145833285,84.52576479738784,2.488015436695944
xteNCAM,1993,5,M_cap_index,28.0,321.7109737253983,138.0,0.35458878073378874,86266.1360867216,293.7109737253983,5.960673391291463
xteNCAM,1994,1,M_cap_index,10.0,29.84571552225146,138.0,0.36226306816541726,393.85242459013256,19.84571552225146,1.1956464677692131
xteNCAM,1994,5,M_cap_index,35.0,82.85276424161306,138.0,0.36226306816541726,2289.8870455634014,47.85276424161306,0.7425562677797811
xteNCAM,1995,1,M_cap_index,15.0,11.91530245505968,138.0,0.3628331551634118,9.515358943760841,3.0846975449403207,0.05300433637628224
xteNCAM,1995,5,M_cap_index,34.0,14.862841451404254,138.0,0.3628331551634118,366.2308373140912,19.137158548595746,0.6847501080456387
xteNCAM,1996,1,M_cap_index,20.0,17.950619783439073,47.0,0.3628091510319143,4.199959272031311,2.0493802165609267,0.011687259856755585
xteNCAM,1996,5,M_cap_index,31.0,8.389879746779098,47.0,0.3628091510319143,511.21753786511005,22.610120253220902,1.7081471000397077
xteNCAM,1997,1,M_cap_index,28.0,20.572532925279212,47.0,0.3627438631174303,55.16726714606138,7.427467074720788,0.09501663051627497
xteNCAM,1997,5,M_cap_index,25.0,12.584888610545487,47.0,0.3627438631174303,154.13499081256316,12.415111389454513,0.471116196558533
xteNCAM,1998,1,M_cap_index,35.0,26.53170478978038,47.0,0.3626400758266621,71.71202376742853,8.468295210219619,0.07673323065739444
xteNCAM,1998,5,M_cap_index,23.0,37.30869334667814,47.0,0.3626400758266621,204.73870528927128,14.30869334667814,0.23399679213060595
