treatment,C_kt,s_kt,profile_mse,r,K_kt,lr_stat
annual landings,3.19,2.0005333333333333,123.19119518243262,2.0,121.89847568686251,0.028789438822049297
annual landings,3.19,2.2005866666666667,123.22860885111595,2.0,121.12519862108867,0.032433334485473204
annual landings,3.19,2.40064,123.2676711587009,2.0,120.35491248662342,0.03623661861555842
annual landings,3.19,2.6006933333333335,123.308442198083,2.0,119.58745877680994,0.04020498741157348
annual landings,3.19,2.8007466666666665,123.35098437031024,2.0,118.82321055220858,0.04434434732894081
annual landings,3.19,3.0008,123.39536247390282,2.0,118.06226730717495,0.04866082257296259
annual landings,3.19,3.2008533333333333,123.4416437971475,2.0,117.3044751737808,0.05316076278723081
annual landings,3.19,3.4009066666666667,123.48989821277651,2.0,116.55018899287303,0.05785075087223391
annual landings,3.19,3.60096,123.54019827627287,2.0,115.79926904138532,0.06273761104738525
annual landings,3.19,3.801013333333333,123.59261932642448,2.0,115.05222818621974,0.06782841701444432
annual landings,3.19,4.0010666666666665,123.64723958930468,2.0,114.30875867609352,0.07313050032819192
annual landings,3.19,4.20112,123.70414028467223,2.0,113.56917730644687,0.07865145886744054
annual landings,3.19,4.401173333333333,123.76340573533264,2.0,112.83363799670904,0.08439916544924782
annual landings,3.19,4.601226666666666,123.82512347919324,2.0,112.10222030687314,0.09038177655014933
annual landings,3.19,4.80128,123.88938438396713,2.0,111.37505129110563,0.09660774111909348
annual landings,3.19,5.001333333333333,123.95628276434768,2.0,110.65235517711182,0.10308580945330575
annual landings,3.19,5.201386666666667,124.02591650165306,2.0,109.93424114716956,0.10982504212484497
annual landings,3.19,5.40144,124.09838716572462,2.0,109.22091696687828,0.11683481892408762
annual landings,3.19,5.601493333333333,124.17380013855957,2.0,108.51225176302064,0.12412484775637142
annual landings,3.19,5.801546666666667,124.25226474079152,2.0,107.80869415892792,0.13170517358531342
annual landings,3.19,6.0016,124.33389435857214,2.0,107.11029409717237,0.13958618717130675
annual landings,3.19,6.201653333333334,124.4188065728592,2.0,106.41722438992625,0.1477786337835901
annual landings,3.19,6.401706666666667,124.50712328947333,2.0,105.72966854660488,0.15629362171131445
annual landings,3.19,6.60176,124.59897087012423,2.0,105.04779534738371,0.16514263057618828
annual landings,3.19,6.8018133333333335,124.69448026402226,2.0,104.3717786133694,0.1743375193920642
annual landings,3.19,7.0018666666666665,124.79378713972788,2.0,103.70177800005357,0.1838905343198152
annual landings,3.19,7.20192,124.89703201691141,2.0,103.03803627512386,0.19381431606714497
annual landings,3.19,7.401973333333333,125.00436039748733,2.0,102.38052488459472,0.20412190686251674
annual landings,3.19,7.602026666666666,125.1159228962395,2.0,101.72963824230051,0.21482675699443488
annual landings,3.19,7.80208,125.23187536969697,2.0,101.08542913808733,0.22594273077671018
annual landings,3.19,8.002133333333333,125.35237904346006,2.0,100.448286340126,0.23748411193820923
annual landings,3.19,8.202186666666666,125.4776006377712,2.0,99.81822111793247,0.24946560839631982
annual landings,3.19,8.40224,125.60771248983747,2.0,99.19544748849889,0.26190235624988073
annual landings,3.19,8.602293333333334,125.74289267362614,2.0,98.58014659700292,0.27480992303938756
annual landings,3.19,8.802346666666667,125.8833251160245,2.0,97.97254561007853,0.28820431014696346
annual landings,3.19,9.0024,126.02919970913176,2.0,97.37282208312885,0.3021019542927711
annual landings,3.19,9.202453333333333,126.18071241824872,2.0,96.78121404343132,0.3165197280652984
annual landings,3.19,9.402506666666667,126.3380653849892,2.0,96.19773274861966,0.3314749394100579
annual landings,3.19,9.60256,126.50146702564746,2.0,95.62268351225511,0.34698533006921883
