cell,T,sigma,rep,module,retained
D6_timevarying_r,33,11.8,27,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,27,M3_AR_residual,False
D6_timevarying_r,33,11.8,27,M4_delayed_info,False
D6_timevarying_r,33,11.8,28,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,28,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,28,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,28,M3_AR_residual,False
D6_timevarying_r,33,11.8,28,M4_delayed_info,False
D6_timevarying_r,33,11.8,29,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,29,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,29,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,29,M3_AR_residual,False
D6_timevarying_r,33,11.8,29,M4_delayed_info,False
D6_timevarying_r,33,11.8,30,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,30,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,30,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,30,M3_AR_residual,False
D6_timevarying_r,33,11.8,30,M4_delayed_info,False
D6_timevarying_r,33,11.8,31,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,31,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,31,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,31,M3_AR_residual,False
D6_timevarying_r,33,11.8,31,M4_delayed_info,False
D6_timevarying_r,33,11.8,32,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,32,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,32,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,32,M3_AR_residual,False
D6_timevarying_r,33,11.8,32,M4_delayed_info,False
D6_timevarying_r,33,11.8,33,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,33,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,33,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,33,M3_AR_residual,False
D6_timevarying_r,33,11.8,33,M4_delayed_info,False
D6_timevarying_r,33,11.8,34,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,34,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,34,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,34,M3_AR_residual,False
D6_timevarying_r,33,11.8,34,M4_delayed_info,False
D6_timevarying_r,33,11.8,35,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,35,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,35,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,35,M3_AR_residual,False
D6_timevarying_r,33,11.8,35,M4_delayed_info,False
D6_timevarying_r,33,11.8,36,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,36,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,36,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,36,M3_AR_residual,False
D6_timevarying_r,33,11.8,36,M4_delayed_info,False
D6_timevarying_r,33,11.8,37,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,37,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,37,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,37,M3_AR_residual,False
D6_timevarying_r,33,11.8,37,M4_delayed_info,False
D6_timevarying_r,33,11.8,38,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,38,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,38,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,38,M3_AR_residual,False
D6_timevarying_r,33,11.8,38,M4_delayed_info,False
D6_timevarying_r,33,11.8,39,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,39,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,39,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,39,M3_AR_residual,False
D6_timevarying_r,33,11.8,39,M4_delayed_info,False
D6_timevarying_r,33,11.8,40,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,40,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,40,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,40,M3_AR_residual,False
D6_timevarying_r,33,11.8,40,M4_delayed_info,False
D6_timevarying_r,33,11.8,41,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,41,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,41,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,41,M3_AR_residual,False
D6_timevarying_r,33,11.8,41,M4_delayed_info,False
D6_timevarying_r,33,11.8,42,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,42,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,42,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,42,M3_AR_residual,False
D6_timevarying_r,33,11.8,42,M4_delayed_info,False
D6_timevarying_r,33,11.8,43,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,43,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,43,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,43,M3_AR_residual,False
D6_timevarying_r,33,11.8,43,M4_delayed_info,False
D6_timevarying_r,33,11.8,44,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,44,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,44,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,44,M3_AR_residual,False
D6_timevarying_r,33,11.8,44,M4_delayed_info,False
D6_timevarying_r,33,11.8,45,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,45,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,45,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,45,M3_AR_residual,False
D6_timevarying_r,33,11.8,45,M4_delayed_info,False
D6_timevarying_r,33,11.8,46,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,46,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,46,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,46,M3_AR_residual,False
D6_timevarying_r,33,11.8,46,M4_delayed_info,False
D6_timevarying_r,33,11.8,47,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,47,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,47,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,47,M3_AR_residual,False
D6_timevarying_r,33,11.8,47,M4_delayed_info,False
D6_timevarying_r,33,11.8,48,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,48,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,48,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,48,M3_AR_residual,False
D6_timevarying_r,33,11.8,48,M4_delayed_info,False
D6_timevarying_r,33,11.8,49,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,49,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,49,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,49,M3_AR_residual,False
D6_timevarying_r,33,11.8,49,M4_delayed_info,False
D6_timevarying_r,33,11.8,50,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,50,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,50,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,50,M3_AR_residual,False
D6_timevarying_r,33,11.8,50,M4_delayed_info,False
D6_timevarying_r,33,11.8,51,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,51,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,51,M2_stockflow_regimeC,False
