origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
1995,1,M2_stockflow_regimeC,16.05,10.09081284735623,1,1,35.51191152023458,5.959187152643771,0.2153734566917929
1995,5,M2_stockflow_regimeC,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1995,1,M3_AR_residual,16.05,0.001,1,1,257.570401,16.049,93.76947752907269
1995,5,M3_AR_residual,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1995,1,M4_delayed_info,16.05,17.675370860607654,1,1,2.641830434512462,1.625370860607653,0.009305176774071184
1995,5,M4_delayed_info,34.42,1.7204884870386885,1,1,1069.2580531862895,32.699511512961315,8.976192981706681
1996,1,M1_autonomous_Schaefer,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1996,5,M1_autonomous_Schaefer,29.5,0.001,1,1,870.1910009999999,29.499,105.92825986446032
1996,1,M1b_autonomous_Allee,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1996,5,M1b_autonomous_Allee,29.5,0.001,1,1,870.1910009999999,29.499,105.92825986446032
1996,1,M2_stockflow_regimeC,20.57,18.958318489273676,1,1,2.597517292017087,1.6116815107263243,0.006657074643876686
1996,5,M2_stockflow_regimeC,29.5,9.009345514458232,1,1,419.86692124585295,20.490654485541768,1.40689923922691
1996,1,M3_AR_residual,20.57,21.445735352556337,1,1,0.7669124077169713,0.8757353525563367,0.00173823152590631
1996,5,M3_AR_residual,29.5,19.29586928651516,1,1,104.12428361788463,10.20413071348484,0.18019958518889545
1996,1,M4_delayed_info,20.57,16.045752686962967,1,1,20.468813749522816,4.5242473130370335,0.06169735325105424
1996,5,M4_delayed_info,29.5,4.722780203029549,1,1,613.9106208673843,24.77721979697045,3.3561969270901506
1997,1,M1_autonomous_Schaefer,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1997,5,M1_autonomous_Schaefer,23.87,0.001,1,1,569.729161,23.869,101.61401496442268
1997,1,M1b_autonomous_Allee,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1997,5,M1b_autonomous_Allee,23.87,0.001,1,1,569.729161,23.869,101.61401496442268
1997,1,M2_stockflow_regimeC,28.25,20.91011998477311,1,1,53.87383863792708,7.339880015226889,0.09051686356378764
1997,5,M2_stockflow_regimeC,23.87,11.521103153384693,1,1,152.49525332834548,12.348896846615308,0.530627790815935
1997,1,M3_AR_residual,28.25,22.35350234346823,1,1,34.76868461348467,5.896497656531771,0.054807700179032595
1997,5,M3_AR_residual,23.87,17.491755122168396,1,1,40.68200772158511,6.378244877831605,0.09665433701949828
1997,1,M4_delayed_info,28.25,21.50085873805761,1,1,45.550907773653336,6.749141261942391,0.0745293177458361
1997,5,M4_delayed_info,23.87,14.341384287100738,1,1,90.79451740411074,9.528615712899263,0.2595628157473345
1998,1,M1_autonomous_Schaefer,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1998,5,M1_autonomous_Schaefer,22.07,0.001,1,1,487.040761,22.069,100.03949388366293
1998,1,M1b_autonomous_Allee,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1998,5,M1b_autonomous_Allee,22.07,0.001,1,1,487.040761,22.069,100.03949388366293
1998,1,M2_stockflow_regimeC,34.59,26.37101952534211,1,1,67.55164004280769,8.218980474657894,0.0736031262465307
1998,5,M2_stockflow_regimeC,22.07,34.30153912070593,1,1,149.61054926135964,12.231539120705932,0.19445542744500613
1998,1,M3_AR_residual,34.59,28.42290674883075,1,1,38.033039168617336,6.167093251169252,0.03856087340141841
1998,5,M3_AR_residual,22.07,42.76476143791907,1,1,428.27315097238215,20.69476143791907,0.4375759159042028
1998,1,M4_delayed_info,34.59,20.979924544031434,1,1,185.23415391715807,13.61007545596857,0.2499986165559699
1998,5,M4_delayed_info,22.07,23.83859989108895,1,1,3.1279455747598464,1.7685998910889502,0.005942388733709697
1999,1,M1_autonomous_Schaefer,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1999,5,M1_autonomous_Schaefer,20.07,0.001,1,1,402.76476099999996,20.069,98.14828128797907
1999,1,M1b_autonomous_Allee,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1999,5,M1b_autonomous_Allee,20.07,0.001,1,1,402.76476099999996,20.069,98.14828128797907
1999,1,M2_stockflow_regimeC,34.42,37.28924992279341,1,1,8.232595119449977,2.869249922793408,0.006410770688360924
1999,5,M2_stockflow_regimeC,20.07,65.17289744355698,1,1,2034.2713578040184,45.10289744355698,1.38725414887009
1999,1,M3_AR_residual,34.42,39.61213031432627,1,1,26.958217200945818,5.1921303143262705,0.019739576066358008
1999,5,M3_AR_residual,20.07,74.71280573868381,1,1,2985.8362189955365,54.64280573868381,1.727713983730556
1999,1,M4_delayed_info,34.42,31.301259782436134,1,1,9.726540544650323,3.118740217563868,0.009021095049841894
1999,5,M4_delayed_info,20.07,53.654508653002765,1,1,1127.9192214636175,33.584508653002764,0.9669562595662545
2000,1,M1_autonomous_Schaefer,29.5,0.001,1,1,870.1910009999999,29.499,105.92825986446032
