dgp,truth,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D1_M1_collapse,M1_autonomous_Schaefer,11.8,11,M2_stockflow_regimeC,12.9083252955951,14.091139961078952,21.506330520264505,19.761912647741607,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,11,M3_AR_residual,13.03596133764939,14.093531745056286,21.506330520264505,19.761912647741607,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,11,M4_delayed_info,13.10237649528836,14.091916046980003,21.506330520264505,19.761912647741607,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,12,M1_autonomous_Schaefer,14.39512913316098,15.049065003999926,24.324227532404556,17.80256584029055,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,12,M1b_autonomous_Allee,17.405933226336256,17.315413240917408,24.324227532404556,17.80256584029055,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,12,M2_stockflow_regimeC,14.39512913316098,15.049065003999926,24.324227532404556,17.80256584029055,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,12,M3_AR_residual,13.661209206170115,15.060965089747949,24.324227532404556,17.80256584029055,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,12,M4_delayed_info,15.00431606067215,14.996071757262953,24.324227532404556,17.80256584029055,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,13,M1_autonomous_Schaefer,10.763360871781675,12.179666391497662,19.264610598028117,18.301857580065498,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,13,M1b_autonomous_Allee,16.76469955168388,23.334763707657295,19.264610598028117,18.301857580065498,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,13,M2_stockflow_regimeC,10.763360871781675,12.179666391497662,19.264610598028117,18.301857580065498,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,13,M3_AR_residual,11.35465229697414,12.152842721082118,19.264610598028117,18.301857580065498,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,13,M4_delayed_info,11.052717409552288,12.197563364799835,19.264610598028117,18.301857580065498,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,14,M1_autonomous_Schaefer,13.13982164075044,14.75210324634251,23.148639634538803,19.82357162923221,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,14,M1b_autonomous_Allee,17.765089046545423,15.910204916714182,23.148639634538803,19.82357162923221,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,14,M2_stockflow_regimeC,13.13982164075044,14.75210324634251,23.148639634538803,19.82357162923221,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,14,M3_AR_residual,13.632833646727986,14.8095087367488,23.148639634538803,19.82357162923221,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,14,M4_delayed_info,13.029424019560471,14.712424649657594,23.148639634538803,19.82357162923221,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,15,M1_autonomous_Schaefer,11.037260872006138,10.66626759599169,14.50780689712079,15.862442054509023,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,15,M1b_autonomous_Allee,14.987874848748396,22.357380730706552,14.50780689712079,15.862442054509023,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,15,M2_stockflow_regimeC,11.037260872006138,10.66626759599169,14.50780689712079,15.862442054509023,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,15,M3_AR_residual,11.138097374308979,10.66604095386162,14.50780689712079,15.862442054509023,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,15,M4_delayed_info,10.73892212339082,10.668539096083926,14.50780689712079,15.862442054509023,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,16,M1_autonomous_Schaefer,15.403335287623046,20.54647911291324,36.33537128346022,27.9250244436585,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,16,M1b_autonomous_Allee,32.88346120615051,37.274100597418325,36.33537128346022,27.9250244436585,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,16,M2_stockflow_regimeC,15.403335287623046,20.54647911291324,36.33537128346022,27.9250244436585,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,16,M3_AR_residual,14.350812340240328,20.642714837928875,36.33537128346022,27.9250244436585,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,16,M4_delayed_info,23.49356131109818,20.614042195485936,36.33537128346022,27.9250244436585,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,17,M1_autonomous_Schaefer,10.387793537018567,9.19098353400242,14.574638965090351,13.451416542006298,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,17,M1b_autonomous_Allee,12.752832362726307,16.89207181826187,14.574638965090351,13.451416542006298,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,17,M2_stockflow_regimeC,10.387793537018567,9.19098353400242,14.574638965090351,13.451416542006298,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,17,M3_AR_residual,10.736516345084105,9.17643578311352,14.574638965090351,13.451416542006298,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,17,M4_delayed_info,10.152243235677215,9.218125780283998,14.574638965090351,13.451416542006298,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,18,M1_autonomous_Schaefer,9.891907802837709,10.120272945953422,15.016717394324544,14.1532891608118,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,18,M1b_autonomous_Allee,10.41141866848941,9.819879962185516,15.016717394324544,14.1532891608118,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,18,M2_stockflow_regimeC,9.891907802837709,10.120272945953422,15.016717394324544,14.1532891608118,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,18,M3_AR_residual,10.753120729396318,10.155246940759797,15.016717394324544,14.1532891608118,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,18,M4_delayed_info,10.613612912873425,10.074905072870505,15.016717394324544,14.1532891608118,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,19,M1_autonomous_Schaefer,13.076721668344906,12.974049981728056,21.028929951890014,17.84989044304761,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,19,M1b_autonomous_Allee,17.61449819076459,21.81551997851128,21.028929951890014,17.84989044304761,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,19,M2_stockflow_regimeC,13.076721668344906,12.974049981728056,21.028929951890014,17.84989044304761,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,19,M3_AR_residual,13.195591278106342,12.97489975849145,21.028929951890014,17.84989044304761,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,19,M4_delayed_info,13.474099567689866,12.970742489617425,21.028929951890014,17.84989044304761,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,20,M1_autonomous_Schaefer,9.1941117510518,11.592052852187377,20.45548668840747,16.955016441681398,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,20,M1b_autonomous_Allee,20.047593382571343,29.276405742116825,20.45548668840747,16.955016441681398,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,20,M2_stockflow_regimeC,9.1941117510518,11.592052852187377,20.45548668840747,16.955016441681398,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,20,M3_AR_residual,9.15503601640702,11.766055457176135,20.45548668840747,16.955016441681398,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,20,M4_delayed_info,11.801150397753215,11.540388172532191,20.45548668840747,16.955016441681398,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,21,M1_autonomous_Schaefer,10.25599164904458,11.284946782967136,21.364963210799502,19.57795260620464,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,21,M1b_autonomous_Allee,17.504349925070393,22.70122328501463,21.364963210799502,19.57795260620464,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,21,M2_stockflow_regimeC,10.25599164904458,11.284946782967136,21.364963210799502,19.57795260620464,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,21,M3_AR_residual,10.765604255646261,11.40396066696722,21.364963210799502,19.57795260620464,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,21,M4_delayed_info,13.02588776552841,11.308164620916777,21.364963210799502,19.57795260620464,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,22,M1_autonomous_Schaefer,14.458928288569513,18.044139070202295,29.162939120332826,19.407645333640303,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,22,M1b_autonomous_Allee,22.26222833724292,22.69140131117982,29.162939120332826,19.407645333640303,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,22,M2_stockflow_regimeC,14.458928288569513,18.044139070202295,29.162939120332826,19.407645333640303,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,22,M3_AR_residual,14.93029056841094,18.00202540681253,29.162939120332826,19.407645333640303,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,22,M4_delayed_info,16.488338528946734,18.027012868363943,29.162939120332826,19.407645333640303,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,23,M1_autonomous_Schaefer,9.950890103313498,11.695071503288927,19.896485057612423,12.323210898504694,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,23,M1b_autonomous_Allee,18.457258769517438,19.415579196571027,19.896485057612423,12.323210898504694,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,23,M2_stockflow_regimeC,9.950890103313498,11.695071503288927,19.896485057612423,12.323210898504694,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,23,M3_AR_residual,10.915719727554936,12.379403602757295,19.896485057612423,12.323210898504694,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,23,M4_delayed_info,14.457018865101576,11.350572622837799,19.896485057612423,12.323210898504694,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M1_autonomous_Schaefer,8.711055945737026,9.143768268592135,11.427035393200457,10.41359495242434,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M1b_autonomous_Allee,10.391171809227169,15.871794783518917,11.427035393200457,10.41359495242434,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M2_stockflow_regimeC,8.711055945737026,9.143768268592135,11.427035393200457,10.41359495242434,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M3_AR_residual,8.7550946557648,9.172523755556456,11.427035393200457,10.41359495242434,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,24,M4_delayed_info,7.582808442948102,9.084270554373333,11.427035393200457,10.41359495242434,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M1_autonomous_Schaefer,12.822774482958701,11.984919750439195,18.228808084015924,14.320400156804997,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M1b_autonomous_Allee,16.322826935937666,19.872743913279738,18.228808084015924,14.320400156804997,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M2_stockflow_regimeC,12.822774482958701,11.984919750439195,18.228808084015924,14.320400156804997,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M3_AR_residual,12.754307101768285,11.984463281779412,18.228808084015924,14.320400156804997,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,25,M4_delayed_info,12.644248596821132,11.983471603010104,18.228808084015924,14.320400156804997,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M1_autonomous_Schaefer,13.948946419060972,15.312870172286958,25.694716244710918,23.04663253086233,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M1b_autonomous_Allee,18.12833153308385,16.410943866672977,25.694716244710918,23.04663253086233,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M2_stockflow_regimeC,13.948946419060972,15.312870172286958,25.694716244710918,23.04663253086233,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M3_AR_residual,13.887775311131307,15.274891887734356,25.694716244710918,23.04663253086233,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,26,M4_delayed_info,17.046007144684253,15.355873381887378,25.694716244710918,23.04663253086233,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M1_autonomous_Schaefer,12.734184303724701,12.001100335720919,16.807036053391087,13.129451709690896,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M1b_autonomous_Allee,14.051460756362472,15.21689182391926,16.807036053391087,13.129451709690896,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M2_stockflow_regimeC,12.734184303724701,12.001100335720919,16.807036053391087,13.129451709690896,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M3_AR_residual,12.981281213452252,11.99778839005443,16.807036053391087,13.129451709690896,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,27,M4_delayed_info,12.05526496948489,12.004104095979303,16.807036053391087,13.129451709690896,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M1_autonomous_Schaefer,10.299542893115959,9.948060819353323,14.217470798922207,12.903335603262413,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M1b_autonomous_Allee,13.294529537113261,15.065372939509928,14.217470798922207,12.903335603262413,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M2_stockflow_regimeC,10.299542893115959,9.948060819353323,14.217470798922207,12.903335603262413,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M3_AR_residual,10.155568576427713,9.949363056037917,14.217470798922207,12.903335603262413,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,28,M4_delayed_info,9.940153876226717,9.951578116798796,14.217470798922207,12.903335603262413,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M1_autonomous_Schaefer,11.265358986521896,10.48569786763667,18.415199114158806,12.990005337941563,True
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M1b_autonomous_Allee,13.267022330233017,15.98835091760175,18.415199114158806,12.990005337941563,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M2_stockflow_regimeC,11.265358986521896,10.48569786763667,18.415199114158806,12.990005337941563,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M3_AR_residual,11.313005152004061,10.485533844471076,18.415199114158806,12.990005337941563,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,29,M4_delayed_info,11.659588480525574,10.485498638564021,18.415199114158806,12.990005337941563,False
D1_M1_collapse,M1_autonomous_Schaefer,11.8,30,M1_autonomous_Schaefer,11.573452515681657,13.565951639277872,21.938934060939005,20.37396067914067,True
