policy,uc,T,nominal_boundary,certified_boundary,nominal_intervals,certified_intervals
flat_50,UC_q10,inf,1363.041,,"[[1363.0408136730948, 10000.0]]",
flat_25,UC_min,1,1189.858,1606.4,"[[1189.857725355893, 10000.0]]","[[1606.3998021950965, 10000.0]]"
flat_25,UC_min,2,1464.588,2331.634,"[[1464.5879725120453, 10000.0]]","[[2331.634480860201, 10000.0]]"
flat_25,UC_min,3,1717.534,3192.832,"[[1717.534487659205, 10000.0]]","[[3192.8320879463804, 10000.0]]"
flat_25,UC_min,5,2184.187,8512.376,"[[2184.1873028393297, 10000.0]]","[[8512.375848452375, 10000.0]]"
flat_25,UC_min,8,2863.511,,"[[2863.5108417132396, 10000.0]]",
flat_25,UC_min,10,3364.094,,"[[3364.0938514516424, 10000.0]]",
flat_25,UC_min,15,5505.708,,"[[5505.708276002244, 10000.0]]",
flat_25,UC_min,20,,,,
flat_25,UC_min,inf,,,,
flat_25,UC_q05,1,1064.851,1476.894,"[[1064.8506768567074, 10000.0]]","[[1476.8942814875966, 10000.0]]"
flat_25,UC_q05,2,1224.589,2062.736,"[[1224.5893513418548, 10000.0]]","[[2062.7357782313943, 10000.0]]"
flat_25,UC_q05,3,1367.975,2738.768,"[[1367.9749588178568, 10000.0]]","[[2738.7675754976317, 10000.0]]"
flat_25,UC_q05,5,1617.748,5943.628,"[[1617.7479787825612, 10000.0]]","[[5943.628334721699, 10000.0]]"
flat_25,UC_q05,8,1930.449,,"[[1930.4491229328082, 10000.0]]",
flat_25,UC_q05,10,2113.615,,"[[2113.6153401441074, 10000.0]]",
flat_25,UC_q05,15,2534.411,,"[[2534.410902523324, 10000.0]]",
flat_25,UC_q05,20,2971.674,,"[[2971.673599409885, 10000.0]]",
flat_25,UC_q05,inf,,,,
flat_25,UC_q10,1,886.668,1344.629,"[[886.6676101650662, 10000.0]]","[[1344.629, 10000.0]]"
flat_25,UC_q10,2,888.461,1875.067,"[[888.4612045528997, 10000.0]]","[[1875.067, 10000.0]]"
flat_25,UC_q10,3,890.017,2486.692,"[[890.0173120753799, 10000.0]]","[[2486.692, 10000.0]]"
flat_25,UC_q10,5,892.539,4005.107,"[[892.5392465243671, 10000.0]]","[[4005.107, 10000.0]]"
flat_25,UC_q10,8,895.205,,"[[895.2047851718605, 10000.0]]",
flat_25,UC_q10,10,896.447,,"[[896.4470306644664, 10000.0]]",
flat_25,UC_q10,15,898.374,,"[[898.373611527782, 10000.0]]",
flat_25,UC_q10,20,899.324,,"[[899.3241981117492, 10000.0]]",
flat_25,UC_q10,inf,900.251,,"[[900.2509938983255, 10000.0]]",
flat_0,UC_min,1,1136.603,1551.216,"[[1136.602780497825, 10000.0]]","[[1551.216269300612, 10000.0]]"
flat_0,UC_min,2,1361.906,2216.411,"[[1361.905932240347, 10000.0]]","[[2216.410899260885, 10000.0]]"
flat_0,UC_min,3,1567.079,2996.136,"[[1567.0791283952462, 10000.0]]","[[2996.136209353013, 10000.0]]"
flat_0,UC_min,5,1936.165,7196.372,"[[1936.1645639180458, 10000.0]]","[[7196.372052451262, 10000.0]]"
flat_0,UC_min,8,2437.899,,"[[2437.898681360564, 10000.0]]",
flat_0,UC_min,10,2769.725,,"[[2769.7248351549542, 10000.0]]",
flat_0,UC_min,15,3777.377,,"[[3777.3774206718776, 10000.0]]",
flat_0,UC_min,20,6149.367,,"[[6149.367323284732, 10000.0]]",
flat_0,UC_min,inf,,,,
flat_0,UC_q05,1,1012.149,1422.325,"[[1012.1485459278911, 10000.0]]","[[1422.3251205713857, 10000.0]]"
flat_0,UC_q05,2,1124.462,1950.968,"[[1124.4618110280046, 10000.0]]","[[1950.968345195791, 10000.0]]"
flat_0,UC_q05,3,1224.242,2554.919,"[[1224.2424157155508, 10000.0]]","[[2554.9185368144463, 10000.0]]"
flat_0,UC_q05,5,1394.205,5225.209,"[[1394.2050081138245, 10000.0]]","[[5225.208514254734, 10000.0]]"
flat_0,UC_q05,8,1595.675,,"[[1595.675435962693, 10000.0]]",
flat_0,UC_q05,10,1705.006,,"[[1705.005847177115, 10000.0]]",
flat_0,UC_q05,15,1922.221,,"[[1922.2208534004308, 10000.0]]",
flat_0,UC_q05,20,2089.443,,"[[2089.442822957872, 10000.0]]",
flat_0,UC_q05,inf,,,,
flat_0,UC_q10,1,884.6,1344.629,"[[884.6, 10000.0]]","[[1344.629, 10000.0]]"
flat_0,UC_q10,2,884.6,1875.067,"[[884.6, 10000.0]]","[[1875.067, 10000.0]]"
flat_0,UC_q10,3,884.6,2486.692,"[[884.6, 10000.0]]","[[2486.692, 10000.0]]"
flat_0,UC_q10,5,884.6,4005.107,"[[884.6, 10000.0]]","[[4005.107, 10000.0]]"
flat_0,UC_q10,8,884.6,,"[[884.6, 10000.0]]",
flat_0,UC_q10,10,884.6,,"[[884.6, 10000.0]]",
flat_0,UC_q10,15,884.6,,"[[884.6, 10000.0]]",
flat_0,UC_q10,20,884.6,,"[[884.6, 10000.0]]",
flat_0,UC_q10,inf,884.6,,"[[884.6, 10000.0]]",
S1,UC_min,1,1189.858,1606.4,"[[1189.857725355893, 10000.0]]","[[1606.3998021950965, 10000.0]]"
S1,UC_min,2,1464.588,2331.634,"[[1464.5879725120453, 10000.0]]","[[2331.634480860201, 10000.0]]"
S1,UC_min,3,1717.534,3192.832,"[[1717.534487659205, 10000.0]]","[[3192.8320879463804, 10000.0]]"
S1,UC_min,5,2184.187,8512.376,"[[2184.1873028393297, 10000.0]]","[[8512.375848452375, 10000.0]]"
S1,UC_min,8,2863.511,,"[[2863.5108417132396, 10000.0]]",
S1,UC_min,10,3364.094,,"[[3364.0938514516424, 10000.0]]",
S1,UC_min,15,5505.708,,"[[5505.708276002244, 10000.0]]",
S1,UC_min,20,,,,
S1,UC_min,inf,,,,
S1,UC_q05,1,1064.851,1476.894,"[[1064.8506768567074, 10000.0]]","[[1476.8942814875966, 10000.0]]"
S1,UC_q05,2,1224.589,2062.736,"[[1224.5893513418548, 10000.0]]","[[2062.7357782313943, 10000.0]]"
S1,UC_q05,3,1367.975,2738.768,"[[1367.9749588178568, 10000.0]]","[[2738.7675754976317, 10000.0]]"
S1,UC_q05,5,1617.748,5943.628,"[[1617.7479787825612, 10000.0]]","[[5943.628334721699, 10000.0]]"
S1,UC_q05,8,1930.449,,"[[1930.4491229328082, 10000.0]]",
S1,UC_q05,10,2113.615,,"[[2113.6153401441074, 10000.0]]",
S1,UC_q05,15,2534.411,,"[[2534.410902523324, 10000.0]]",
S1,UC_q05,20,2971.674,,"[[2971.673599409885, 10000.0]]",
S1,UC_q05,inf,,,,
S1,UC_q10,1,886.668,1344.629,"[[886.6676101650662, 10000.0]]","[[1344.629, 10000.0]]"
S1,UC_q10,2,888.461,1875.067,"[[888.4612045528997, 10000.0]]","[[1875.067, 10000.0]]"
S1,UC_q10,3,890.017,2486.692,"[[890.0173120753799, 10000.0]]","[[2486.692, 10000.0]]"
S1,UC_q10,5,892.539,4005.107,"[[892.5392465243671, 10000.0]]","[[4005.107, 10000.0]]"
S1,UC_q10,8,895.205,,"[[895.2047851718605, 10000.0]]",
S1,UC_q10,10,896.447,,"[[896.4470306644664, 10000.0]]",
S1,UC_q10,15,898.374,,"[[898.373611527782, 10000.0]]",
S1,UC_q10,20,899.324,,"[[899.3241981117492, 10000.0]]",
S1,UC_q10,inf,900.251,,"[[900.2509938983255, 10000.0]]",
cpm,UC_min,1,1189.858,1606.4,"[[1189.857725355893, 10000.0]]","[[1606.3998021950965, 10000.0]]"
cpm,UC_min,2,1464.588,2331.634,"[[1464.5879725120453, 10000.0]]","[[2331.634480860201, 10000.0]]"
cpm,UC_min,3,1717.534,3192.832,"[[1717.534487659205, 10000.0]]","[[3192.8320879463804, 10000.0]]"
cpm,UC_min,5,2184.187,8512.376,"[[2184.1873028393297, 10000.0]]","[[8512.375848452375, 10000.0]]"
cpm,UC_min,8,2863.511,,"[[2863.5108417132396, 10000.0]]",
cpm,UC_min,10,3364.094,,"[[3364.0938514516424, 10000.0]]",
cpm,UC_min,15,5505.708,,"[[5505.708276002244, 10000.0]]",
cpm,UC_min,20,,,,
cpm,UC_min,inf,,,,
cpm,UC_q05,1,1064.851,1476.894,"[[1064.8506768567074, 10000.0]]","[[1476.8942814875966, 10000.0]]"
cpm,UC_q05,2,1224.589,2062.736,"[[1224.5893513418548, 10000.0]]","[[2062.7357782313943, 10000.0]]"
cpm,UC_q05,3,1367.975,2738.768,"[[1367.9749588178568, 10000.0]]","[[2738.7675754976317, 10000.0]]"
cpm,UC_q05,5,1617.748,5943.628,"[[1617.7479787825612, 10000.0]]","[[5943.628334721699, 10000.0]]"
cpm,UC_q05,8,1930.449,,"[[1930.4491229328082, 10000.0]]",
cpm,UC_q05,10,2113.615,,"[[2113.6153401441074, 10000.0]]",
cpm,UC_q05,15,2534.411,,"[[2534.410902523324, 10000.0]]",
cpm,UC_q05,20,2971.674,,"[[2971.673599409885, 10000.0]]",
cpm,UC_q05,inf,,,,
cpm,UC_q10,1,886.668,1344.629,"[[886.6676101650662, 10000.0]]","[[1344.629, 10000.0]]"
cpm,UC_q10,2,888.461,1875.067,"[[888.4612045528997, 10000.0]]","[[1875.067, 10000.0]]"
cpm,UC_q10,3,890.017,2486.692,"[[890.0173120753799, 10000.0]]","[[2486.692, 10000.0]]"
cpm,UC_q10,5,892.539,4005.107,"[[892.5392465243671, 10000.0]]","[[4005.107, 10000.0]]"
cpm,UC_q10,8,895.205,,"[[895.2047851718605, 10000.0]]",
cpm,UC_q10,10,896.447,,"[[896.4470306644664, 10000.0]]",
cpm,UC_q10,15,898.374,,"[[898.373611527782, 10000.0]]",
cpm,UC_q10,20,899.324,,"[[899.3241981117492, 10000.0]]",
cpm,UC_q10,inf,900.251,,"[[900.2509938983255, 10000.0]]",
