tag,origin,horizon,model,obs,pred,r_used,r_hi,r_lo,sqerr,abserr,log_sqerr,below_lrp_obs,below_lrp_pred,post_break_origin
xteNCAM,1971,1,M_cap_regime1991,791.0,765.4450362284892,0.7807015185244276,0.7807015185244276,0.7807015185244276,653.0561733632272,25.554963771510756,0.0010785021437569014,0,0,0
xteNCAM,1971,5,M_cap_regime1991,351.0,1297.7797215047356,0.7807015185244276,0.7807015185244276,0.7807015185244276,896391.8410525846,946.7797215047356,1.7098804032800756,0,0,0
xteNCAM,1972,1,M_cap_regime1991,742.0,858.4014382876369,0.7828492253947108,0.7828492253947108,0.7828492253947108,13549.29483543054,116.40143828763689,0.021235083055820655,0,0,0
xteNCAM,1972,5,M_cap_regime1991,219.0,1665.7006920096176,0.7828492253947108,0.7828492253947108,0.7828492253947108,2092942.8922611063,1446.7006920096176,4.116554591800904,1,0,0
xteNCAM,1973,1,M_cap_regime1991,702.0,775.3772433237383,0.7792098913975585,0.7792098913975585,0.7792098913975585,5384.219837791096,73.3772433237383,0.009883595232747783,0,0,0
xteNCAM,1973,5,M_cap_regime1991,189.0,1782.0613756305772,0.7792098913975585,0.7792098913975585,0.7792098913975585,2537844.546525987,1593.0613756305772,5.034544355080471,1,0,0
xteNCAM,1974,1,M_cap_regime1991,549.0,799.153215530524,0.754327472515775,0.754327472515775,0.754327472515775,62576.63124026079,250.153215530524,0.14096589007752702,0,0,0
xteNCAM,1974,5,M_cap_regime1991,261.0,1913.9057699216037,0.754327472515775,0.754327472515775,0.754327472515775,2732097.4842401296,1652.9057699216037,3.9695817760549397,1,0,0
xteNCAM,1975,1,M_cap_regime1991,351.0,646.8164247875523,0.7122477117336479,0.7122477117336479,0.7122477117336479,87507.35717408956,295.81642478755225,0.37365871229463715,0,0,0
xteNCAM,1975,5,M_cap_regime1991,359.0,1702.5813854627145,0.7122477117336479,0.7122477117336479,0.7122477117336479,1805210.9393619073,1343.5813854627145,2.4229364769043538,0,0,0
xteNCAM,1976,1,M_cap_regime1991,219.0,382.49305291718736,0.6592851846404679,0.6592851846404679,0.6592851846404679,26729.978352182225,163.49305291718736,0.3109609877441266,1,0,0
xteNCAM,1976,5,M_cap_regime1991,435.0,851.9787936488476,0.6592851846404679,0.6592851846404679,0.6592851846404679,173871.31435284825,416.9787936488476,0.45187382007251203,0,0,0
xteNCAM,1977,1,M_cap_regime1991,189.0,210.10600275338717,0.6364228779631702,0.6364228779631702,0.6364228779631702,445.46335222598697,21.106002753387173,0.011207432804326244,1,1,0
xteNCAM,1977,5,M_cap_regime1991,464.0,0.001,0.6364228779631702,0.6364228779631702,0.6364228779631702,215295.07200100002,463.999,170.24090516493578,0,1,0
xteNCAM,1978,1,M_cap_regime1991,261.0,135.4254135993334,0.6381314768652144,0.6381314768652144,0.6381314768652144,15768.976749698479,125.57458640066659,0.4304663855442663,1,1,0
xteNCAM,1978,5,M_cap_regime1991,427.0,0.001,0.6381314768652144,0.6381314768652144,0.6381314768652144,182328.14600100002,426.999,168.07927905927673,0,1,0
xteNCAM,1979,1,M_cap_regime1991,359.0,240.1658530787979,0.6492483599843601,0.6492483599843601,0.6492483599843601,14121.554474489845,118.83414692120209,0.1615980901069143,0,1,0
xteNCAM,1979,5,M_cap_regime1991,488.0,0.001,0.6492483599843601,0.6492483599843601,0.6492483599843601,238143.024001,487.999,171.55945566494148,0,1,0
xteNCAM,1980,1,M_cap_regime1991,435.0,397.91848072135343,0.6649935728917055,0.6649935728917055,0.6649935728917055,1375.039072012637,37.08151927864657,0.007938608473358772,0,0,0
xteNCAM,1980,5,M_cap_regime1991,593.0,379.74727972421647,0.6649935728917055,0.6649935728917055,0.6649935728917055,45476.72270502157,213.25272027578353,0.1986381685071341,0,0,0
xteNCAM,1981,1,M_cap_regime1991,464.0,453.84563454713,0.6721113865894844,0.6721113865894844,0.6721113865894844,103.11113775044025,10.154365452870024,0.0004896228934433087,0,0,0
xteNCAM,1981,5,M_cap_regime1991,611.0,609.7979316298681,0.6721113865894844,0.6721113865894844,0.6721113865894844,1.4449683664715218,1.202068370131883,3.878207500782913e-06,0,0,0
xteNCAM,1982,1,M_cap_regime1991,427.0,491.2025467983874,0.663480633264599,0.663480633264599,0.663480633264599,4121.967015399125,64.2025467983874,0.019620318826757327,0,0,0
xteNCAM,1982,5,M_cap_regime1991,779.0,724.3716203701854,0.663480633264599,0.663480633264599,0.663480633264599,2984.259860979145,54.62837962981462,0.00528623475952781,0,0,0
xteNCAM,1983,1,M_cap_regime1991,488.0,433.6404207845136,0.6518996622888207,0.6518996622888207,0.6518996622888207,2954.9638524847414,54.359579215486406,0.013947548282438348,0,0,0
xteNCAM,1983,5,M_cap_regime1991,853.0,392.158829420649,0.6518996622888207,0.6518996622888207,0.6518996622888207,212374.58450094648,460.841170579351,0.6038729286659715,0,0,0
xteNCAM,1984,1,M_cap_regime1991,593.0,526.158391001177,0.660539293461509,0.660539293461509,0.660539293461509,4467.800693551529,66.84160899882295,0.014302272298810845,0,0,0
xteNCAM,1984,5,M_cap_regime1991,864.0,728.008848836003,0.660539293461509,0.660539293461509,0.660539293461509,18493.59319490907,135.99115116399696,0.02932983883920783,0,0,0
xteNCAM,1985,1,M_cap_regime1991,611.0,643.3405971516838,0.6714246613187681,0.6714246613187681,0.6714246613187681,1045.9142241275,32.34059715168382,0.002660220444339144,0,0,0
xteNCAM,1985,5,M_cap_regime1991,738.0,1208.667368076606,0.6714246613187681,0.6714246613187681,0.6714246613187681,221527.77137215927,470.66736807660595,0.24337434915260522,0,0,0
xteNCAM,1986,1,M_cap_regime1991,779.0,691.7425060661092,0.6607403684527046,0.6607403684527046,0.6607403684527046,7613.870247622995,87.25749393389083,0.014112789116653819,0,0,0
xteNCAM,1986,5,M_cap_regime1991,600.0,1376.4615464177623,0.6607403684527046,0.6607403684527046,0.6607403684527046,602892.5330654628,776.4615464177623,0.6894673939102842,0,0,0
xteNCAM,1987,1,M_cap_regime1991,853.0,895.4640418706837,0.677843435913589,0.677843435913589,0.677843435913589,1803.1948519951761,42.46404187068367,0.002360261147976471,0,0,0
xteNCAM,1987,5,M_cap_regime1991,352.0,2045.2633747749135,0.677843435913589,0.677843435913589,0.677843435913589,2867140.856354129,1693.2633747749135,3.096370495237566,0,0,0
xteNCAM,1988,1,M_cap_regime1991,864.0,1002.7224448417812,0.6685295378003144,0.6685295378003144,0.6685295378003144,19243.916702881033,138.72244484178123,0.022171584002399554,0,0,0
xteNCAM,1988,5,M_cap_regime1991,79.0,2389.572712657734,0.6685295378003144,0.6685295378003144,0.6685295378003144,5338746.260478519,2310.572712657734,11.624158341084167,1,0,0
xteNCAM,1989,1,M_cap_regime1991,738.0,1046.141744761365,0.6545634745486529,0.6545634745486529,0.6545634745486529,94951.33486457827,308.1417447613651,0.1217453911657925,0,0,0
xteNCAM,1989,5,M_cap_regime1991,22.0,2588.9340878113912,0.6545634745486529,0.6545634745486529,0.6545634745486529,6589150.6111681,2566.9340878113912,22.733433669528264,1,0,0
xteNCAM,1990,1,M_cap_regime1991,600.0,918.3931334074464,0.6255657629836613,0.6255657629836613,0.6255657629836613,101374.18740101195,318.3931334074464,0.18121699385404577,0,0,0
xteNCAM,1990,5,M_cap_regime1991,10.0,2622.012843955373,0.6255657629836613,0.6255657629836613,0.6255657629836613,6822611.096987834,2612.012843955373,31.015013701853313,1,0,0
xteNCAM,1991,1,M_cap_regime1991,352.0,851.0859408766388,0.5927257282109795,0.5927257282109795,0.5927257282109795,249086.7763807198,499.0859408766388,0.7794805128806405,0,0,1
xteNCAM,1991,5,M_cap_regime1991,15.0,2623.561760952817,0.5927257282109795,0.5927257282109795,0.5927257282109795,6804594.460705263,2608.561760952817,26.669353327228404,1,0,1
xteNCAM,1992,1,M_cap_regime1991,79.0,340.9230730313362,0.001,0.5927160418401997,0.001,68603.69618617867,261.9230730313362,2.138055180395405,1,0,1
xteNCAM,1992,5,M_cap_regime1991,20.0,337.6653738568885,0.001,0.5927160418401997,0.001,100911.28974763674,317.6653738568885,7.988102341126853,1,0,1
xteNCAM,1993,1,M_cap_regime1991,22.0,77.7631398293762,0.001,0.5927447845504493,0.001,3109.5277636305623,55.7631398293762,1.594222103864388,1,1,1
xteNCAM,1993,5,M_cap_regime1991,28.0,70.38981690421073,0.001,0.5927447845504493,0.001,1796.89657717251,42.38981690421073,0.8497965378453853,1,1,1
xteNCAM,1994,1,M_cap_regime1991,10.0,21.608855736708062,0.001,0.5927517796164358,0.001,134.76553151569968,11.608855736708062,0.5936981817002923,1,1,1
xteNCAM,1994,5,M_cap_regime1991,35.0,5.8981037933459675,0.001,0.5927517796164358,0.001,846.9203628228644,29.101896206654033,3.1709535796764685,1,1,1
xteNCAM,1995,1,M_cap_regime1991,15.0,8.134970194236498,0.001,0.5927415388589189,0.001,47.12863423402126,6.865029805763502,0.3743948390338152,1,1,1
xteNCAM,1995,5,M_cap_regime1991,34.0,0.001,0.001,0.5927415388589189,0.001,1155.9320010000001,33.999,108.87077260289978,1,1,1
xteNCAM,1996,1,M_cap_regime1991,20.0,14.13793293794091,0.001,0.5927409375042153,0.001,34.363830240078094,5.86206706205909,0.12031935828011006,1,1,1
xteNCAM,1996,5,M_cap_regime1991,31.0,0.001,0.001,0.5927409375042153,0.001,960.9380009999999,30.999,106.95163759435204,1,1,1
xteNCAM,1997,1,M_cap_regime1991,28.0,15.512880780364457,0.001,0.5927373075844834,0.001,155.92814640539137,12.487119219635543,0.348730184610868,1,1,1
xteNCAM,1997,5,M_cap_regime1991,25.0,0.001,0.001,0.5927373075844834,0.001,624.9500009999999,24.999,102.54865751346911,1,1,1
xteNCAM,1998,1,M_cap_regime1991,35.0,19.50176633653559,0.001,0.5927253562515189,0.001,240.1952466873415,15.498233663464411,0.34204135647669426,1,1,1
xteNCAM,1998,5,M_cap_regime1991,23.0,1.903199548328195,0.001,0.5927253562515189,0.001,445.0749892976596,21.096800451671804,6.209853543635525,1,1,1
xteNCAM,1999,1,M_cap_regime1991,34.0,29.604634877245438,0.001,0.5927471113780676,0.001,19.319234562327225,4.395365122754562,0.01916275190069042,1,1,1
xteNCAM,1999,5,M_cap_regime1991,21.0,16.831199237948088,0.001,0.5927471113780676,0.001,17.378899793684603,4.168800762051912,0.048968456877636776,1,1,1
xteNCAM,2000,1,M_cap_regime1991,31.0,27.064655501491472,0.001,0.5927016687009041,0.001,15.486936321941334,3.9353444985085275,0.01843038467963757,1,1,1
xteNCAM,2000,5,M_cap_regime1991,26.0,19.934026934726038,0.001,0.5927016687009041,0.001,36.79602922862919,6.065973065273962,0.0705796829682325,1,1,1
xteNCAM,2001,1,M_cap_regime1991,25.0,26.781713565925486,0.001,0.5927460375025266,0.001,3.1745032310029107,1.781713565925486,0.004739427509620137,1,1,1
xteNCAM,2001,5,M_cap_regime1991,41.0,21.207613771313753,0.001,0.5927460375025266,0.001,391.73855262548904,19.792386228686247,0.43456020958046415,1,1,1
xteNCAM,2002,1,M_cap_regime1991,23.0,24.03081372146234,0.001,0.5927322561865138,0.001,1.0625769283550401,1.0308137214623407,0.001922181990655615,1,1,1
xteNCAM,2002,5,M_cap_regime1991,83.0,16.50717366541716,0.001,0.5927322561865138,0.001,4421.295953960994,66.49282633458284,2.608372140762169,1,1,1
xteNCAM,2003,1,M_cap_regime1991,21.0,22.37384233583585,0.001,0.592728573814092,0.001,1.8874427637349034,1.3738423358358496,0.004015767789312699,1,1,1
xteNCAM,2003,5,M_cap_regime1991,117.0,12.102684991001537,0.001,0.592728573814092,0.001,11003.446696097053,104.89731500899846,5.147211165541952,1,1,1
xteNCAM,2004,1,M_cap_regime1991,26.0,19.68986856255404,0.001,0.5927329755170199,0.001,39.817758757843826,6.3101314374459605,0.07727973038640652,1,1,1
xteNCAM,2004,5,M_cap_regime1991,99.0,7.618089390777577,0.001,0.5927329755170199,0.001,8350.653586591916,91.38191060922242,6.577143656844009,1,1,1
xteNCAM,2005,1,M_cap_regime1991,41.0,23.32479851744586,0.001,0.5927374655309496,0.001,312.4127474488841,17.67520148255414,0.3181579957118798,1,1,1
xteNCAM,2005,5,M_cap_regime1991,91.0,11.005114658213863,0.001,0.5927374655309496,0.001,6399.18168084551,79.99488534178613,4.462653600310665,1,1,1
xteNCAM,2006,1,M_cap_regime1991,83.0,38.10949891136135,0.001,0.5927840518232367,0.001,2015.1570879890678,44.89050108863865,0.6058708187015996,1,1,1
xteNCAM,2006,5,M_cap_regime1991,90.0,25.008462412962,0.001,0.5927840518232367,0.001,4223.899957927372,64.991537587038,1.6399245944333187,1,1,1
xteNCAM,2007,1,M_cap_regime1991,117.0,79.6959467309767,0.001,0.592740441691643,0.001,1391.5923902981278,37.3040532690233,0.14742160088241096,1,1,1
xteNCAM,2007,5,M_cap_regime1991,112.0,66.2704138620373,0.001,0.592740441691643,0.001,2091.19504834935,45.7295861379627,0.275368146000143,1,1,1
xteNCAM,2008,1,M_cap_regime1991,99.0,113.99691983177165,0.001,0.5927493477478878,0.001,224.90760444058577,14.996919831771649,0.019895547903225928,1,1,1
xteNCAM,2008,5,M_cap_regime1991,167.0,99.31005483997765,0.001,0.5927493477478878,0.001,4581.928675766832,67.68994516002235,0.2701369328776985,1,1,1
xteNCAM,2009,1,M_cap_regime1991,91.0,96.13407873654984,0.001,0.5927456203486315,0.001,26.35876447309319,5.134078736549839,0.0030122934164462435,1,1,1
xteNCAM,2009,5,M_cap_regime1991,238.0,79.46884110800478,0.001,0.5927456203486315,0.001,25132.12833963904,158.53115889199523,1.2032020370018346,1,1,1
xteNCAM,2010,1,M_cap_regime1991,90.0,87.31853182199302,0.001,0.592736065501365,0.001,7.190271589664075,2.6814681780069805,0.0009148781388895251,1,1,1
xteNCAM,2010,5,M_cap_regime1991,273.0,69.9519426827136,0.001,0.592736065501365,0.001,41228.51358032403,203.0480573172864,1.8541270025112857,1,1,1
xteNCAM,2011,1,M_cap_regime1991,112.0,86.21658577003146,0.001,0.5927429486363301,0.001,664.7844493541444,25.783414229968542,0.06845355442415826,1,1,1
xteNCAM,2011,5,M_cap_regime1991,339.0,62.6096951428262,0.001,0.5927429486363301,0.001,76391.60061904148,276.3903048571738,2.8529911341781036,0,1,1
