origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
1992,5,M4_delayed_info,20.57,1678.5270103040834,1,0,2748821.448016455,1657.9570103040835,19.376179579084383
1993,1,M1_autonomous_Schaefer,30.55,0.001,1,1,933.241401,30.549,106.64940676323458
1993,5,M1_autonomous_Schaefer,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1993,1,M1b_autonomous_Allee,30.55,0.001,1,1,933.241401,30.549,106.64940676323458
1993,5,M1b_autonomous_Allee,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1993,1,M2_stockflow_regimeC,30.55,120.75647424683191,1,1,8137.20799604435,90.20647424683192,1.8890062083380332
1993,5,M2_stockflow_regimeC,28.25,258.3394125220163,1,1,52941.13775472659,230.0894125220163,4.898169320588718
1993,1,M3_AR_residual,30.55,0.001,1,1,933.241401,30.549,106.64940676323458
1993,5,M3_AR_residual,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1993,1,M4_delayed_info,30.55,252.2234581609908,1,1,49139.12205305253,221.67345816099078,4.456113059246344
1993,5,M4_delayed_info,28.25,282.2846272302067,1,1,64533.591831990074,254.0346272302067,5.298386456655867
1994,1,M1_autonomous_Schaefer,9.68,0.001,1,1,93.683041,9.679,84.2323281944706
1994,5,M1_autonomous_Schaefer,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1994,1,M1b_autonomous_Allee,9.68,0.001,1,1,93.683041,9.679,84.2323281944706
1994,5,M1b_autonomous_Allee,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1994,1,M2_stockflow_regimeC,9.68,33.06977189758855,1,1,547.0814294212232,23.389771897588552,1.5093540913192867
1994,5,M2_stockflow_regimeC,34.59,50.99552074210574,1,1,269.14111081966155,16.405520742105736,0.1506784155999661
1994,1,M3_AR_residual,9.68,0.001,1,1,93.683041,9.679,84.2323281944706
1994,5,M3_AR_residual,34.59,0.001,1,1,1196.3989210000004,34.589000000000006,109.23008769250347
1994,1,M4_delayed_info,9.68,51.68755320312306,1,1,1764.6345261132144,42.00755320312306,2.806144611795595
1994,5,M4_delayed_info,34.59,38.533689434010796,1,1,15.552686351928365,3.9436894340107926,0.011657150769998658
1995,1,M1_autonomous_Schaefer,16.05,0.001,1,1,257.570401,16.049,93.76947752907269
1995,5,M1_autonomous_Schaefer,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1995,1,M1b_autonomous_Allee,16.05,0.001,1,1,257.570401,16.049,93.76947752907269
1995,5,M1b_autonomous_Allee,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1995,1,M2_stockflow_regimeC,16.05,7.0712585553048175,1,1,80.61779793068695,8.978741444695183,0.6718595187836196
1995,5,M2_stockflow_regimeC,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1995,1,M3_AR_residual,16.05,0.001,1,1,257.570401,16.049,93.76947752907269
1995,5,M3_AR_residual,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1995,1,M4_delayed_info,16.05,12.632237946738165,1,1,11.681097452716559,3.4177620532618356,0.05733952840518208
1995,5,M4_delayed_info,34.42,0.001,1,1,1184.6675610000002,34.419000000000004,109.1271281680453
1996,1,M1_autonomous_Schaefer,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1996,5,M1_autonomous_Schaefer,29.5,0.001,1,1,870.1910009999999,29.499,105.92825986446032
1996,1,M1b_autonomous_Allee,20.57,0.001,1,1,423.083761,20.569,98.63645972023534
1996,5,M1b_autonomous_Allee,29.5,0.001,1,1,870.1910009999999,29.499,105.92825986446032
1996,1,M2_stockflow_regimeC,20.57,15.010076263699723,1,1,30.912751953475233,5.559923736300277,0.09929555815787348
1996,5,M2_stockflow_regimeC,29.5,7.579393737747006,1,1,480.51297890472523,21.920606262252996,1.8467642602597465
1996,1,M3_AR_residual,20.57,20.003390549166365,1,1,0.3210462697739935,0.566609450833635,0.0007801919884519385
1996,5,M3_AR_residual,29.5,28.91654683409514,1,1,0.34041759680440414,0.5834531659048601,0.00039905165322337967
1996,1,M4_delayed_info,20.57,12.82087813571834,1,1,60.04888966748807,7.74912186428166,0.22350084250196334
1996,5,M4_delayed_info,29.5,7.4829936809687885,1,1,484.7485672522603,22.01700631903121,1.881718163353744
1997,1,M1_autonomous_Schaefer,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
1997,5,M1_autonomous_Schaefer,23.87,0.001,1,1,569.729161,23.869,101.61401496442268
1997,1,M1b_autonomous_Allee,28.25,0.001,1,1,798.006001,28.249,105.03890042518651
