catch,origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
regime,2012,1,M3_AR_residual,185.68768211265518,165.5607315209451,1,1,405.09414012113893,20.126950591710084,0.013162525143677762
regime,2012,1,M4_delayed_info,185.68768211265518,179.71837783861815,1,1,35.63259351603674,5.969304274037029,0.0010676605822853159
regime,2013,1,M1_autonomous_Schaefer,264.2166697987241,175.28197181761067,1,1,7909.3805049918665,88.93469798111346,0.16840644292418644
regime,2013,1,M1b_autonomous_Allee,264.2166697987241,116.44696173808043,1,1,21835.886620327867,147.7697080606437,0.6713075156178703
regime,2013,1,M2_stockflow_regimeC,264.2166697987241,313.2573972869528,1,1,2404.9929525747098,49.0407274882287,0.02898701110025273
regime,2013,1,M3_AR_residual,264.2166697987241,306.3739631618598,1,1,1777.2373837054847,42.15729336313569,0.02191494512472594
regime,2013,1,M4_delayed_info,264.2166697987241,267.9648736159643,1,1,14.049031855573654,3.748203817240153,0.00019842716779457155
regime,2014,1,M1_autonomous_Schaefer,285.33514118985215,189.76055677718887,1,1,9134.5011856533,95.57458441266328,0.16638353048829252
regime,2014,1,M1b_autonomous_Allee,285.33514118985215,204.1092787469883,1,1,6597.640729587039,81.22586244286384,0.1122309582873607
regime,2014,1,M2_stockflow_regimeC,285.33514118985215,433.89323851841243,1,1,22069.50828188199,148.55809732856028,0.17567338225021698
regime,2014,1,M3_AR_residual,285.33514118985215,448.8166203561571,1,1,26726.194030403,163.48147916630495,0.20516366898407495
regime,2014,1,M4_delayed_info,285.33514118985215,521.3274897830322,1,1,55692.388594525015,235.99234859318005,0.3632641659393813
annual,1990,1,M1_autonomous_Schaefer,637.2946491271451,1188.7689958312462,1,0,304123.9550727151,551.4743467041011,0.3886792880566978
annual,1990,5,M1_autonomous_Schaefer,24.655417635131794,1255.4710996949877,1,0,1514907.2432044686,1230.815682059856,15.447018347926159
annual,1990,1,M1b_autonomous_Allee,637.2946491271451,1109.5418596876436,1,0,223017.42788217182,472.2472105604985,0.307437384511245
annual,1990,5,M1b_autonomous_Allee,24.655417635131794,1285.2459319461768,1,0,1589088.4447709853,1260.5905143110451,15.63181254018224
annual,1990,1,M2_stockflow_regimeC,637.2946491271451,1261.3894189368793,1,0,389494.2817038651,624.0947698097342,0.4661298107876901
annual,1990,5,M2_stockflow_regimeC,24.655417635131794,1430.9299123348453,1,0,1977607.9544429348,1406.2744946997136,16.492396282628473
annual,1990,1,M3_AR_residual,637.2946491271451,1418.374367176339,1,0,610085.5259478083,781.079718049194,0.6400553241158018
annual,1990,5,M3_AR_residual,24.655417635131794,1475.3299799840117,1,0,2104456.6858461145,1450.67456234888,16.74152034702608
annual,1990,1,M4_delayed_info,637.2946491271451,1186.1239546220388,1,0,301213.60657000734,548.8293054948937,0.3859068124633742
annual,1990,5,M4_delayed_info,24.655417635131794,1409.4945104217966,1,0,1917779.312910193,1384.8390927866649,16.370033114956456
annual,1991,1,M1_autonomous_Schaefer,136.6995796449236,827.1721304364236,1,1,476752.34339652053,690.4725507915,3.2408177665197324
annual,1991,5,M1_autonomous_Schaefer,22.06557242470699,1199.1081559670322,1,0,1385429.2434719917,1177.0425835423252,15.962540119863341
annual,1991,1,M1b_autonomous_Allee,136.6995796449236,662.6181982235033,1,1,276590.3933676017,525.9186185785798,2.4913885003267886
annual,1991,5,M1b_autonomous_Allee,22.06557242470699,931.7033369782479,1,0,827440.8627019632,909.6377645535409,14.0100180904016
annual,1991,1,M2_stockflow_regimeC,136.6995796449236,1027.3909602308156,1,0,793331.1354500024,890.691380585892,4.0682573355937945
annual,1991,5,M2_stockflow_regimeC,22.06557242470699,1435.6860267016448,1,0,1998322.788750136,1413.6204542769378,17.43379393814506
annual,1991,1,M3_AR_residual,136.6995796449236,1258.345280936537,1,0,1258089.0792259548,1121.6457012916132,4.92736641796769
annual,1991,5,M3_AR_residual,22.06557242470699,1456.675233246581,1,0,2058104.8789234525,1434.609660821874,17.55520582608731
annual,1991,1,M4_delayed_info,136.6995796449236,1291.5151345881102,1,0,1333598.9659387397,1154.8155549431865,5.043553241322179
annual,1991,5,M4_delayed_info,22.06557242470699,1423.767280329852,1,0,1964767.6779442003,1401.701707905145,17.3642479209039
annual,1992,1,M1_autonomous_Schaefer,51.722208100489595,19.00620132864273,1,1,1070.3370990955298,32.716006771846864,1.0022451281741949
