year,tau_all_18,tau_all_17,d_tau_all,tau_noc_18,tau_noc_17,d_tau_noc,prem_noc_18,prem_noc_17,d_prem_noc,carbon_share_18,carbon_share_17
1988,287.3739689409841,288.8245697562889,-1.4506008153047674,630.3219035076484,621.4061165808722,8.91578692677615,265.32190350764836,256.4061165808722,8.91578692677615,0.5440837969586804,0.535208035373916
1989,284.1295904441853,285.37517747452887,-1.2455870303435859,620.4363007801204,611.4452524259025,8.991048354217924,255.4363007801204,246.44525242590248,8.991048354217924,0.5420487323405673,0.5332776297758369
1990,283.7657661551949,285.1548921583824,-1.3891260031874708,614.3848227383057,606.0740528245375,8.31076991376824,249.38482273830573,241.0740528245375,8.31076991376824,0.5381302472765289,0.5295048668896957
1991,282.7082023655797,283.98574493947416,-1.2775425738944364,623.4525596244517,614.5045023793699,8.948057245081827,258.45255962445174,249.5045023793699,8.948057245081827,0.5465441628215075,0.5378622225876664
1992,285.2415613352091,286.38698197061944,-1.1454206354103462,628.8801553952138,619.940976853223,8.939178541990827,263.8801553952138,254.940976853223,8.939178541990827,0.5464293810385037,0.5380415351404907
1993,285.15434587071326,286.0256242891101,-0.8712784183968552,632.9004556566134,623.9922093461088,8.908246310504637,267.9004556566134,258.9922093461088,8.908246310504637,0.5494483479635435,0.5416198792147728
1994,283.30148221784395,284.1991914419203,-0.8977092240763227,624.7317086236133,616.4153523367784,8.316356286834889,259.73170862361326,251.41535233677837,8.316356286834889,0.5465229660873085,0.5389485509007114
1995,277.12355587018016,277.7274075874614,-0.603851717281259,620.7269525009714,613.1577406322122,7.569211868759226,255.72695250097138,248.15774063221215,7.569211868759226,0.553549987230905,0.5470538995379829
1996,274.7287515598094,275.45667914631014,-0.7279275865007548,616.3807701102726,609.162090125613,7.218679984659616,251.38077011027258,244.16209012561296,7.218679984659616,0.5542872768229621,0.5478105357976081
1997,272.27627728191754,272.6749966281901,-0.39871934627257133,609.8987564573468,601.2021127157917,8.696643741555135,244.89875645734685,236.2021127157917,8.696643741555135,0.5535713519675637,0.5464503685849609
1998,272.8677525242017,273.5484895421871,-0.6807370179853933,607.4105375096352,600.4709794841561,6.939558025479073,242.41053750963522,235.47097948415615,6.939558025479073,0.5507688199764345,0.544443447080185
1999,272.48633108527713,273.11830850595925,-0.6319774206821194,601.3720185449263,593.5718542210712,7.800164323855029,236.37201854492628,228.57185422107239,7.800164323853892,0.5468922352846042,0.5398732157467857
2000,266.16078031378373,266.6745373839928,-0.513757070209067,595.3339940502086,587.0073829536171,8.326611096591478,230.33399405020862,222.00738295361714,8.326611096591478,0.5529219178246076,0.5457049687481285
2001,264.94693581676034,265.73500202029203,-0.7880662035316846,597.3002536837788,589.3665850708322,7.933668612946576,232.3002536837788,224.36658507083223,7.933668612946576,0.5564258776340184,0.5491176311117892
2002,261.629720514597,262.1353542680594,-0.5056337534624049,593.3777928039444,586.5696964800303,6.808096323914128,228.37779280394443,221.5696964800303,6.808096323914128,0.5590840714171433,0.5531045060099115
2003,251.9375641282141,252.84093876271444,-0.9033746345003522,586.4772512985471,578.7338077937181,7.743443504828974,221.47725129854712,213.73380779371814,7.743443504828974,0.5704222737192497,0.5631135845914912
2004,244.08954132272945,245.0403555638397,-0.9508142411102654,573.7252423390826,567.9935750710052,5.731667268077331,208.72524233908257,202.99357507100524,5.731667268077331,0.5745532472519871,0.5685860433664112
2005,237.0593921839908,238.24196877746155,-1.182576593470742,571.9468551455293,565.5823992007684,6.364455944760948,206.9468551455293,200.58239920076835,6.364455944760948,0.585521993780922,0.5787670035097905
2006,231.4848046845258,232.7575807186503,-1.2727760341244903,572.0723586915306,566.158628721174,5.913729970356599,207.07235869153055,201.15862872117395,5.913729970356599,0.5953574732853931,0.5888827460876155
2007,225.85642158025948,227.27438811191757,-1.4179665316580952,568.7586441569912,561.8265425936403,6.932101563350898,203.75864415699118,196.82654259364028,6.932101563350898,0.6028958436051169,0.5954723195121429
2008,226.78846374378446,228.1822525009849,-1.39378875720044,571.2314696059827,564.0351689293497,7.196300676633086,206.23146960598274,199.03516892934965,7.196300676633086,0.6029832461782683,0.5954467645446294
2009,230.04509677008528,231.60600535456317,-1.560908584477886,576.5125442261851,569.5557435971909,6.956800628994188,211.51254422618513,204.55574359719094,6.956800628994188,0.6009712207062906,0.5933567381977579
2010,219.38545856492365,220.68137565519385,-1.2959170902701942,567.0670058573463,559.9158288030545,7.151177054291793,202.06700585734632,194.91582880305452,7.151177054291793,0.6131225123330255,0.6058668744426289
2011,215.83468328096615,216.915502434111,-1.0808191531448585,561.880671008294,553.7492542431974,8.131416765096674,196.88067100829403,188.74925424319736,8.131416765096674,0.6158709590531898,0.6082784748296106
2012,216.10770307046909,217.8731824493279,-1.7654793788588279,559.3165556912053,551.4481247066583,7.86843098454699,194.31655569120528,186.4481247066583,7.86843098454699,0.6136218374523128,0.6049072021684267
2013,215.32053249032657,216.72960323877476,-1.4090707484481868,549.6401553355574,543.0094542968338,6.6307010387236005,184.64015533555744,178.00945429683384,6.6307010387236005,0.6082518163927223,0.6008732416649593
