year,bc_bil,ef_bil,earths,carbon_share,tau_all,pmin_all,prem_all,tau_noc,pmin_noc,prem_noc,r_crop,r_graz,r_forest,r_fish,r_built,tau_all_national,sum_bc_bil,sum_ef_bil
1976,10.187710084433292,11.587957668788208,1.1374447812854902,0.5433566928327557,320.8946983672411,0.0,320.8946983672411,702.7250664372802,365.0,337.72506643728025,1.0,1.4797104419267564,3.312291179376496,2.54850469488333,1.0,324.3865186864977,9.947840708235226,11.193319232896325
1977,10.207272523647019,11.818883624686315,1.1578885150078733,0.5513368962948323,315.228966579324,0.0,315.228966579324,702.5961439130774,365.0,337.5961439130774,1.0,1.4868527894871952,3.286777809806562,2.6518267249285845,1.0,319.55673396968217,9.969341761113887,11.387053865532996
1978,10.35073229506898,12.140450432500643,1.1729073930628342,0.5475071214561641,311.1925137131832,0.0,311.1925137131832,687.7290858468969,365.0,322.72908584689685,1.0000000000000044,1.485282683375524,3.212172013571038,2.658335427150503,1.0,315.16972385129094,10.110605116434698,11.709154110373632
1979,10.333497317072437,12.44752340118236,1.20457992287057,0.5556745074599332,303.0101972231016,0.0,303.0101972231016,681.9554635294256,365.0,316.95546352942563,1.0,1.4748593367360519,3.1344829201552753,2.642567554296545,1.0,307.10195986357905,10.093693308406833,11.996660845815148
1980,10.33504942007167,12.237360272633357,1.1840640305857866,0.5484423599684506,308.2603563418992,0.0,308.2603563418992,682.6600394145954,365.0,317.6600394145954,1.0,1.4428431789908198,3.1665404737146763,2.6005624060428967,1.0,314.5842550506151,10.130972033908973,11.754576820069445
1981,10.443145336911051,12.083014805366357,1.1570283104898698,0.5348154512359912,315.4633267750069,0.0,315.4633267750069,678.1466143129435,365.0,313.1466143129435,1.0,1.4532523734624547,3.1932311623311085,2.5467077476563458,1.0,322.69884186357774,10.237319656452664,11.579284428249961
1982,10.553137967920685,12.049877708253725,1.141828880176002,0.5228832227455111,319.6626099908585,0.0,319.6626099908585,669.988198340705,365.0,304.988198340705,1.0,1.4485593020792666,3.205177810738429,2.5154183845486315,1.0,326.5647289835353,10.345640051316295,11.563277609569507
1983,10.484374435746087,12.001816418968659,1.1447336693783952,0.5209863909432839,318.85145843416973,0.0,318.85145843416973,665.6417529807951,365.0,300.6417529807951,1.0,1.448133935635891,3.0888549793860736,2.5119279340337366,1.0,325.68896434971026,10.27794683885138,11.51850694011423
1984,10.677321266256135,12.510782620064106,1.171715480698545,0.5193083538310452,311.5090702585895,0.0,311.5090702585895,648.0434447764449,365.0,283.04344477644486,1.0,1.454957573192494,2.992200015125696,2.4484520355418464,1.0,318.3865702279752,10.470428715415446,12.003353277087571
1985,10.836366841290106,12.797867396913553,1.181010903779068,0.5169407222126603,309.0572651209668,0.0,309.0572651209668,639.7915935630266,365.0,274.7915935630266,1.0,1.4734427698804597,2.9859950302734832,2.404082497689306,1.0,315.7774156094176,10.603446639510482,12.256285066973932
1986,10.87700059277305,13.053411858425335,1.200092961941948,0.5174323025138917,304.14310522192375,0.0,304.14310522192375,630.2599755564434,365.0,265.25997555644335,1.0,1.450609861735804,2.916928679878347,2.286516175498459,1.0,309.8331663721926,10.647459010393659,12.543274770413609
1987,10.90077084038955,13.402864599062003,1.229533653657014,0.5223277880278439,296.86052017720453,0.0,296.86052017720453,621.4732880348265,365.0,256.4732880348265,1.0,1.4363541894356802,2.8504221377981636,2.1761921034814447,1.0,302.73531401933303,10.674666856272472,12.870164867157298
1988,10.811595516118105,13.663077094559345,1.2637429021637188,0.535208035373916,288.8245697562889,0.0,288.8245697562889,621.4061165808722,365.0,256.4061165808722,1.0,1.4363109213309988,2.8194806629725924,2.103114750449423,1.0,296.0710871589218,10.583335493993838,13.047263386560457
1989,10.976048730659027,14.038564328350258,1.279018039445908,0.5332776297758369,285.37517747452887,0.0,285.37517747452887,611.4452524259025,365.0,246.44525242590248,1.0,1.415486556069724,2.7847633031562733,2.1080365366451255,1.0,291.9057405100995,10.745769052653802,13.436548720709158
1990,11.136959916109527,14.255376573101811,1.280006095063835,0.5295048668896957,285.1548921583824,0.0,285.1548921583824,606.0740528245375,365.0,241.0740528245375,1.0,1.4068609358551978,2.7786861629805486,2.1422287774463173,1.0,293.27694418794533,10.893857817644697,13.558031690660776
1991,11.054762467828684,14.208418459938708,1.2852757805776218,0.5378622225876664,283.98574493947416,0.0,283.98574493947416,614.5045023793699,365.0,249.5045023793699,1.0,1.37630346208669,2.9030805672051865,2.1586271572525506,1.0,292.85534355311785,10.816163991663062,13.480716482951763
1992,11.23637875085324,14.320756536629812,1.274499271888851,0.5380415351404907,286.38698197061944,0.0,286.38698197061944,619.940976853223,365.0,254.940976853223,1.0000000000000033,1.389462034650405,2.9904545523399664,2.1639149295111024,1.0,293.4118156320173,10.887550315162459,13.543953083396742
1993,11.207427909848965,14.30190458376571,1.2761094426668007,0.5416198792147728,286.0256242891101,0.0,286.0256242891101,623.9922093461088,365.0,258.9922093461088,1.0,1.40652162288071,3.0307182940480253,2.138447823296749,1.0,294.19214860368965,10.871275373465242,13.487836198715767
1994,11.307171170530994,14.52191843440639,1.284310480083095,0.5389485509007114,284.1991914419203,0.0,284.1991914419203,616.4153523367784,365.0,251.41535233677837,1.0,1.3941767906507772,3.0301528117232914,2.0318501798685658,1.0,291.8839514393499,10.977894738729276,13.727824225611043
