Tr,exact mobilising,Euler mobilising,exact protective,Euler protective
6.281000,1.000143,1.008642,0.902808,4.641088
6.382511,1.000079,1.008863,0.901324,4.735006
6.485663,1.000011,1.009090,0.899819,4.830449
6.590481,0.999938,1.009322,0.898292,4.927441
6.696994,0.999861,1.009560,0.896743,5.026005
6.805229,0.999779,1.009804,0.895173,5.126165
6.915212,0.999692,1.010053,0.893580,5.227944
7.026973,0.999599,1.010308,0.891964,5.331367
7.140540,0.999502,1.010569,0.890326,5.436458
7.255943,0.999399,1.010835,0.888664,5.543242
7.373211,0.999289,1.011108,0.886979,5.651745
7.492374,0.999174,1.011387,0.885271,5.761991
7.613462,0.999052,1.011672,0.883538,5.874008
7.736508,0.998923,1.011964,0.881782,5.987819
7.861543,0.998787,1.012262,0.880000,6.103454
7.988598,0.998644,1.012566,0.878195,6.220938
8.117707,0.998493,1.012876,0.876364,6.340298
8.248902,0.998333,1.013193,0.874507,6.461562
8.382217,0.998165,1.013517,0.872625,6.584759
8.517688,0.997989,1.013847,0.870718,6.709916
8.655347,0.997803,1.014184,0.868784,6.837062
8.795232,0.997608,1.014528,0.866823,6.966226
8.937377,0.997402,1.014878,0.864836,7.097439
9.081819,0.997186,1.015235,0.862822,7.230729
9.228596,0.996959,1.015598,0.860781,7.366128
9.377745,0.996721,1.015969,0.858712,7.503665
9.529304,0.996471,1.016345,0.856615,7.643373
9.683313,0.996208,1.016729,0.854490,7.785282
9.839811,0.995933,1.017119,0.852336,7.929425
9.998839,0.995644,1.017515,0.850154,8.075835
10.160436,0.995342,1.017918,0.847943,8.224544
10.324645,0.995025,1.018328,0.845702,8.375586
10.491508,0.994693,1.018743,0.843432,8.528994
10.661068,0.994345,1.019165,0.841132,8.684804
10.833368,0.993982,1.019593,0.838801,8.843050
11.008452,0.993601,1.020027,0.836441,9.003767
11.186367,0.993203,1.020466,0.834049,9.166992
11.367156,0.992787,1.020911,0.831627,9.332761
11.550868,0.992352,1.021361,0.829173,9.501111
11.737549,0.991898,1.021817,0.826688,9.672080
11.927246,0.991424,1.022277,0.824171,9.845706
12.120010,0.990929,1.022742,0.821622,10.022027
12.315889,0.990412,1.023211,0.819041,10.201083
12.514934,0.989873,1.023684,0.816426,10.382915
12.717195,0.989311,1.024161,0.813779,10.567561
12.922725,0.988725,1.024641,0.811099,10.755065
13.131578,0.988115,1.025124,0.808385,10.945467
13.343805,0.987479,1.025610,0.805638,11.138810
13.559462,0.986817,1.026097,0.802857,11.335137
13.778605,0.986127,1.026587,0.800041,11.534493
14.001290,0.985410,1.027077,0.797191,11.736921
14.227573,0.984664,1.027568,0.794307,11.942467
14.457514,0.983888,1.028059,0.791387,12.151177
14.691171,0.983082,1.028550,0.788432,12.363097
14.928604,0.982244,1.029040,0.785442,12.578276
15.169874,0.981374,1.029527,0.782416,12.796762
15.415044,0.980471,1.030013,0.779355,13.018603
15.664175,0.979533,1.030495,0.776257,13.243849
15.917334,0.978561,1.030974,0.773123,13.472552
16.174584,0.977552,1.031448,0.769953,13.704762
16.435991,0.976507,1.031917,0.766746,13.940533
16.701623,0.975423,1.032380,0.763502,14.179917
16.971548,0.974301,1.032836,0.760221,14.422969
17.245836,0.973139,1.033284,0.756903,14.669743
17.524556,0.971936,1.033724,0.753548,14.920296
17.807782,0.970691,1.034154,0.750155,15.174685
18.095584,0.969404,1.034574,0.746724,15.432967
18.388038,0.968074,1.034982,0.743256,15.695202
18.685218,0.966699,1.035379,0.739749,15.961448
18.987202,0.965278,1.035761,0.736205,16.231768
19.294065,0.963811,1.036130,0.732622,16.506222
19.605889,0.962297,1.036483,0.729001,16.784874
19.922751,0.960735,1.036820,0.725342,17.067787
20.244735,0.959123,1.037139,0.721644,17.355027
20.571923,0.957462,1.037440,0.717907,17.646660
20.904398,0.955750,1.037721,0.714132,17.942753
21.242247,0.953986,1.037982,0.710319,18.243374
21.585556,0.952170,1.038221,0.706466,18.548592
21.934414,0.950300,1.038437,0.702575,18.858479
22.288909,0.948376,1.038629,0.698645,19.173106
22.649134,0.946398,1.038796,0.694677,19.492546
23.015180,0.944363,1.038937,0.690669,19.816873
23.387143,0.942272,1.039050,0.686623,20.146163
23.765117,0.940124,1.039135,0.682539,20.480492
24.149199,0.937918,1.039191,0.678415,20.819937
24.539489,0.935653,1.039215,0.674254,21.164580
24.936087,0.933328,1.039208,0.670053,21.514498
25.339095,0.930944,1.039168,0.665815,21.869776
25.748615,0.928500,1.039094,0.661538,22.230494
26.164754,0.925994,1.038984,0.657223,22.596739
26.587619,0.923426,1.038838,0.652871,22.968596
27.017318,0.920796,1.038655,0.648480,23.346152
27.453961,0.918103,1.038433,0.644052,23.729495
27.897662,0.915346,1.038172,0.639587,24.118717
28.348533,0.912526,1.037870,0.635084,24.513907
28.806691,0.909641,1.037526,0.630545,24.915160
29.272254,0.906692,1.037139,0.625969,25.322570
29.745340,0.903677,1.036709,0.621357,25.736232
30.226073,0.900597,1.036233,0.616709,26.156244
30.714575,0.897451,1.035712,0.612025,26.582706
31.210972,0.894239,1.035144,0.607306,27.015718
31.715392,0.890960,1.034527,0.602552,27.455383
32.227964,0.887615,1.033862,0.597763,27.901803
32.748820,0.884202,1.033146,0.592941,28.355086
33.278094,0.880723,1.032380,0.588084,28.815338
33.815921,0.877175,1.031561,0.583195,29.282668
34.362441,0.873560,1.030689,0.578272,29.757188
34.917794,0.869878,1.029763,0.573318,30.239009
35.482122,0.866127,1.028782,0.568331,30.728247
36.055570,0.862309,1.027745,0.563314,31.225017
36.638286,0.858422,1.026651,0.558266,31.729437
37.230420,0.854467,1.025498,0.553188,32.241628
37.832124,0.850444,1.024287,0.548081,32.761712
38.443552,0.846354,1.023015,0.542945,33.289813
39.064862,0.842195,1.021682,0.537781,33.826057
39.696213,0.837968,1.020287,0.532590,34.370572
40.337768,0.833673,1.018828,0.527373,34.923488
40.989691,0.829310,1.017306,0.522129,35.484938
41.652151,0.824880,1.015717,0.516861,36.055056
42.325317,0.820382,1.014063,0.511568,36.633979
43.009362,0.815816,1.012341,0.506252,37.221847
43.704463,0.811184,1.010550,0.500914,37.818801
44.410797,0.806485,1.008690,0.495553,38.424984
45.128548,0.801719,1.006759,0.490173,39.040544
45.857898,0.796888,1.004756,0.484772,39.665629
46.599035,0.791990,1.002681,0.479353,40.300390
47.352151,0.787026,1.000531,0.473915,40.944982
48.117438,0.781998,0.998306,0.468461,41.599561
48.895094,0.776904,0.996005,0.462991,42.264286
49.685317,0.771747,0.993626,0.457507,42.939319
50.488312,0.766525,0.991168,0.452009,43.624826
51.304285,0.761240,0.988631,0.446498,44.320974
52.133445,0.755892,0.986013,0.440976,45.027933
52.976005,0.750482,0.983313,0.435443,45.745879
53.832183,0.745010,0.980530,0.429902,46.474986
54.702198,0.739477,0.977662,0.424352,47.215436
55.586274,0.733884,0.974709,0.418796,47.967412
56.484638,0.728231,0.971669,0.413235,48.731099
57.397521,0.722519,0.968541,0.407669,49.506688
58.325157,0.716748,0.965325,0.402101,50.294372
59.267786,0.710920,0.962018,0.396530,51.094347
60.225649,0.705036,0.958620,0.390960,51.906813
61.198992,0.699095,0.955129,0.385391,52.731975
62.188067,0.693099,0.951546,0.379824,53.570038
63.193126,0.687049,0.947867,0.374260,54.421216
64.214429,0.680946,0.944093,0.368702,55.285722
65.252238,0.674791,0.940223,0.363151,56.163775
66.306820,0.668584,0.936255,0.357607,57.055598
67.378445,0.662327,0.932188,0.352073,57.961419
68.467389,0.656020,0.928022,0.346549,58.881468
