stockid,n,freq_cyc_per_yr,power_norm
ANCHIXa,33,0.10642512,0.0010700672
ANCHIXa,33,0.10674825,0.0010754201
ANCHIXa,33,0.10707138,0.0010827147
ANCHIXa,33,0.10739451,0.0010919510
ANCHIXa,33,0.10771765,0.0011031195
ANCHIXa,33,0.10804078,0.0011162001
ANCHIXa,33,0.10836391,0.0011311628
ANCHIXa,33,0.10868704,0.0011479675
ANCHIXa,33,0.10901017,0.0011665639
ANCHIXa,33,0.10933331,0.0011868921
ANCHIXa,33,0.10965644,0.0012088826
ANCHIXa,33,0.10997957,0.0012324566
ANCHIXa,33,0.11030270,0.0012575267
ANCHIXa,33,0.11062583,0.0012839972
ANCHIXa,33,0.11094897,0.0013117648
ANCHIXa,33,0.11127210,0.0013407191
ANCHIXa,33,0.11159523,0.0013707433
ANCHIXa,33,0.11191836,0.0014017153
ANCHIXa,33,0.11224149,0.0014335080
ANCHIXa,33,0.11256463,0.0014659905
ANCHIXa,33,0.11288776,0.0014990288
ANCHIXa,33,0.11321089,0.0015324868
ANCHIXa,33,0.11353402,0.0015662270
ANCHIXa,33,0.11385715,0.0016001116
ANCHIXa,33,0.11418029,0.0016340034
ANCHIXa,33,0.11450342,0.0016677664
ANCHIXa,33,0.11482655,0.0017012666
ANCHIXa,33,0.11514968,0.0017343733
ANCHIXa,33,0.11547282,0.0017669591
ANCHIXa,33,0.11579595,0.0017989011
ANCHIXa,33,0.11611908,0.0018300810
ANCHIXa,33,0.11644221,0.0018603863
ANCHIXa,33,0.11676534,0.0018897100
ANCHIXa,33,0.11708848,0.0019179514
ANCHIXa,33,0.11741161,0.0019450162
ANCHIXa,33,0.11773474,0.0019708171
ANCHIXa,33,0.11805787,0.0019952733
ANCHIXa,33,0.11838100,0.0020183111
ANCHIXa,33,0.11870414,0.0020398635
ANCHIXa,33,0.11902727,0.0020598707
ANCHIXa,33,0.11935040,0.0020782791
ANCHIXa,33,0.11967353,0.0020950421
ANCHIXa,33,0.11999666,0.0021101192
ANCHIXa,33,0.12031980,0.0021234760
ANCHIXa,33,0.12064293,0.0021350837
ANCHIXa,33,0.12096606,0.0021449192
ANCHIXa,33,0.12128919,0.0021529644
ANCHIXa,33,0.12161232,0.0021592059
ANCHIXa,33,0.12193546,0.0021636349
ANCHIXa,33,0.12225859,0.0021662464
ANCHIXa,33,0.12258172,0.0021670394
ANCHIXa,33,0.12290485,0.0021660161
ANCHIXa,33,0.12322799,0.0021631819
ANCHIXa,33,0.12355112,0.0021585449
ANCHIXa,33,0.12387425,0.0021521156
ANCHIXa,33,0.12419738,0.0021439070
ANCHIXa,33,0.12452051,0.0021339338
ANCHIXa,33,0.12484365,0.0021222128
ANCHIXa,33,0.12516678,0.0021087623
ANCHIXa,33,0.12548991,0.0020936020
ANCHIXa,33,0.12581304,0.0020767532
ANCHIXa,33,0.12613617,0.0020582384
ANCHIXa,33,0.12645931,0.0020380814
ANCHIXa,33,0.12678244,0.0020163071
ANCHIXa,33,0.12710557,0.0019929419
ANCHIXa,33,0.12742870,0.0019680133
ANCHIXa,33,0.12775183,0.0019415502
ANCHIXa,33,0.12807497,0.0019135829
ANCHIXa,33,0.12839810,0.0018841432
ANCHIXa,33,0.12872123,0.0018532646
ANCHIXa,33,0.12904436,0.0018209822
ANCHIXa,33,0.12936749,0.0017873331
ANCHIXa,33,0.12969063,0.0017523566
ANCHIXa,33,0.13001376,0.0017160940
ANCHIXa,33,0.13033689,0.0016785892
ANCHIXa,33,0.13066002,0.0016398884
ANCHIXa,33,0.13098316,0.0016000408
ANCHIXa,33,0.13130629,0.0015590984
ANCHIXa,33,0.13162942,0.0015171164
ANCHIXa,33,0.13195255,0.0014741530
ANCHIXa,33,0.13227568,0.0014302699
ANCHIXa,33,0.13259882,0.0013855325
ANCHIXa,33,0.13292195,0.0013400095
ANCHIXa,33,0.13324508,0.0012937736
ANCHIXa,33,0.13356821,0.0012469013
ANCHIXa,33,0.13389134,0.0011994727
ANCHIXa,33,0.13421448,0.0011515721
ANCHIXa,33,0.13453761,0.0011032876
ANCHIXa,33,0.13486074,0.0010547111
ANCHIXa,33,0.13518387,0.0010059384
ANCHIXa,33,0.13550700,0.0009570688
ANCHIXa,33,0.13583014,0.0009082054
ANCHIXa,33,0.13615327,0.0008594546
ANCHIXa,33,0.13647640,0.0008109258
ANCHIXa,33,0.13679953,0.0007627314
ANCHIXa,33,0.13712267,0.0007149865
ANCHIXa,33,0.13744580,0.0006678081
ANCHIXa,33,0.13776893,0.0006213154
ANCHIXa,33,0.13809206,0.0005756288
ANCHIXa,33,0.13841519,0.0005308697
ANCHIXa,33,0.13873833,0.0004871599
ANCHIXa,33,0.13906146,0.0004446212
ANCHIXa,33,0.13938459,0.0004033745
ANCHIXa,33,0.13970772,0.0003635398
ANCHIXa,33,0.14003085,0.0003252348
ANCHIXa,33,0.14035399,0.0002885751
ANCHIXa,33,0.14067712,0.0002536729
ANCHIXa,33,0.14100025,0.0002206368
ANCHIXa,33,0.14132338,0.0001895709
ANCHIXa,33,0.14164651,0.0001605746
ANCHIXa,33,0.14196965,0.0001337414
ANCHIXa,33,0.14229278,0.0001091589
ANCHIXa,33,0.14261591,0.0000869081
ANCHIXa,33,0.14293904,0.0000670629
ANCHIXa,33,0.14326217,0.0000496895
ANCHIXa,33,0.14358531,0.0000348466
ANCHIXa,33,0.14390844,0.0000225845
ANCHIXa,33,0.14423157,0.0000129451
ANCHIXa,33,0.14455470,0.0000059619
ANCHIXa,33,0.14487784,0.0000016595
ANCHIXa,33,0.14520097,0.0000000541
ANCHIXa,33,0.14552410,0.0000011529
ANCHIXa,33,0.14584723,0.0000049548
ANCHIXa,33,0.14617036,0.0000114501
ANCHIXa,33,0.14649350,0.0000206212
ANCHIXa,33,0.14681663,0.0000324423
ANCHIXa,33,0.14713976,0.0000468803
ANCHIXa,33,0.14746289,0.0000638947
ANCHIXa,33,0.14778602,0.0000834383
ANCHIXa,33,0.14810916,0.0001054577
ANCHIXa,33,0.14843229,0.0001298935
ANCHIXa,33,0.14875542,0.0001566808
ANCHIXa,33,0.14907855,0.0001857501
ANCHIXa,33,0.14940168,0.0002170274
ANCHIXa,33,0.14972482,0.0002504347
ANCHIXa,33,0.15004795,0.0002858907
ANCHIXa,33,0.15037108,0.0003233112
ANCHIXa,33,0.15069421,0.0003626096
ANCHIXa,33,0.15101734,0.0004036971
ANCHIXa,33,0.15134048,0.0004464836
ANCHIXa,33,0.15166361,0.0004908775
ANCHIXa,33,0.15198674,0.0005367865
ANCHIXa,33,0.15230987,0.0005841178
ANCHIXa,33,0.15263301,0.0006327784
ANCHIXa,33,0.15295614,0.0006826753
ANCHIXa,33,0.15327927,0.0007337158
ANCHIXa,33,0.15360240,0.0007858078
ANCHIXa,33,0.15392553,0.0008388598
ANCHIXa,33,0.15424867,0.0008927811
ANCHIXa,33,0.15457180,0.0009474820
ANCHIXa,33,0.15489493,0.0010028737
ANCHIXa,33,0.15521806,0.0010588687
ANCHIXa,33,0.15554119,0.0011153806
ANCHIXa,33,0.15586433,0.0011723241
ANCHIXa,33,0.15618746,0.0012296151
ANCHIXa,33,0.15651059,0.0012871708
ANCHIXa,33,0.15683372,0.0013449094
ANCHIXa,33,0.15715685,0.0014027503
ANCHIXa,33,0.15747999,0.0014606142
ANCHIXa,33,0.15780312,0.0015184224
ANCHIXa,33,0.15812625,0.0015760976
ANCHIXa,33,0.15844938,0.0016335632
ANCHIXa,33,0.15877252,0.0016907435
ANCHIXa,33,0.15909565,0.0017475637
ANCHIXa,33,0.15941878,0.0018039497
ANCHIXa,33,0.15974191,0.0018598279
ANCHIXa,33,0.16006504,0.0019151257
ANCHIXa,33,0.16038818,0.0019697707
ANCHIXa,33,0.16071131,0.0020236912
ANCHIXa,33,0.16103444,0.0020768160
ANCHIXa,33,0.16135757,0.0021290744
ANCHIXa,33,0.16168070,0.0021803960
ANCHIXa,33,0.16200384,0.0022307110
ANCHIXa,33,0.16232697,0.0022799499
ANCHIXa,33,0.16265010,0.0023280440
ANCHIXa,33,0.16297323,0.0023749248
ANCHIXa,33,0.16329636,0.0024205244
ANCHIXa,33,0.16361950,0.0024647758
ANCHIXa,33,0.16394263,0.0025076125
ANCHIXa,33,0.16426576,0.0025489690
ANCHIXa,33,0.16458889,0.0025887809
ANCHIXa,33,0.16491202,0.0026269848
ANCHIXa,33,0.16523516,0.0026635186
ANCHIXa,33,0.16555829,0.0026983219
ANCHIXa,33,0.16588142,0.0027313361
ANCHIXa,33,0.16620455,0.0027625043
ANCHIXa,33,0.16652769,0.0027917722
ANCHIXa,33,0.16685082,0.0028190878
ANCHIXa,33,0.16717395,0.0028444019
ANCHIXa,33,0.16749708,0.0028676686
ANCHIXa,33,0.16782021,0.0028888453
ANCHIXa,33,0.16814335,0.0029078929
ANCHIXa,33,0.16846648,0.0029247768
ANCHIXa,33,0.16878961,0.0029394662
ANCHIXa,33,0.16911274,0.0029519355
ANCHIXa,33,0.16943587,0.0029621635
ANCHIXa,33,0.16975901,0.0029701346
ANCHIXa,33,0.17008214,0.0029758385
ANCHIXa,33,0.17040527,0.0029792707
ANCHIXa,33,0.17072840,0.0029804326
ANCHIXa,33,0.17105153,0.0029793316
ANCHIXa,33,0.17137467,0.0029759814
ANCHIXa,33,0.17169780,0.0029704021
ANCHIXa,33,0.17202093,0.0029626200
ANCHIXa,33,0.17234406,0.0029526680
ANCHIXa,33,0.17266719,0.0029405851
ANCHIXa,33,0.17299033,0.0029264167
ANCHIXa,33,0.17331346,0.0029102144
ANCHIXa,33,0.17363659,0.0028920355
ANCHIXa,33,0.17395972,0.0028719433
ANCHIXa,33,0.17428286,0.0028500062
ANCHIXa,33,0.17460599,0.0028262980
ANCHIXa,33,0.17492912,0.0028008970
ANCHIXa,33,0.17525225,0.0027738859
ANCHIXa,33,0.17557538,0.0027453514
ANCHIXa,33,0.17589852,0.0027153836
ANCHIXa,33,0.17622165,0.0026840755
ANCHIXa,33,0.17654478,0.0026515226
ANCHIXa,33,0.17686791,0.0026178226
ANCHIXa,33,0.17719104,0.0025830743
ANCHIXa,33,0.17751418,0.0025473778
ANCHIXa,33,0.17783731,0.0025108335
ANCHIXa,33,0.17816044,0.0024735417
ANCHIXa,33,0.17848357,0.0024356025
ANCHIXa,33,0.17880670,0.0023971148
ANCHIXa,33,0.17912984,0.0023581761
ANCHIXa,33,0.17945297,0.0023188824
ANCHIXa,33,0.17977610,0.0022793274
ANCHIXa,33,0.18009923,0.0022396022
ANCHIXa,33,0.18042236,0.0021997953
ANCHIXa,33,0.18074550,0.0021599921
ANCHIXa,33,0.18106863,0.0021202749
ANCHIXa,33,0.18139176,0.0020807222
ANCHIXa,33,0.18171489,0.0020414091
ANCHIXa,33,0.18203803,0.0020024069
ANCHIXa,33,0.18236116,0.0019637830
ANCHIXa,33,0.18268429,0.0019256009
ANCHIXa,33,0.18300742,0.0018879202
