"stockid","tsyear","F","TC","SSB"
"ANCHOCWACIV-BEN",2011,NA,62028,NA
"ANCHOCWACIV-BEN",2012,NA,56064,NA
"ANCHOCWACIV-BEN",2013,NA,20508,NA
"ANCHOCWACIV-BEN",2014,NA,12860,NA
"ANCHOCWACIV-BEN",2015,NA,14933,NA
"ANCHOCWACIV-BEN",2016,NA,25597,NA
"ANCHOCWACIV-BEN",2017,NA,49713,NA
"ANCHOCWAGAB-AGO",1995,NA,423,NA
"ANCHOCWAGAB-AGO",1996,NA,529,NA
"ANCHOCWAGAB-AGO",1997,NA,479,NA
"ANCHOCWAGAB-AGO",1998,NA,642,NA
"ANCHOCWAGAB-AGO",1999,NA,383,NA
"ANCHOCWAGAB-AGO",2000,NA,401,NA
"ANCHOCWAGAB-AGO",2001,NA,356,NA
"ANCHOCWAGAB-AGO",2002,NA,1082,NA
"ANCHOCWAGAB-AGO",2003,NA,398,NA
"ANCHOCWAGAB-AGO",2004,NA,399,NA
"ANCHOCWAGAB-AGO",2005,NA,394,NA
"ANCHOCWAGAB-AGO",2006,NA,614,NA
"ANCHOCWAGAB-AGO",2007,NA,554,NA
"ANCHOCWAGAB-AGO",2008,NA,981,NA
"ANCHOCWAGAB-AGO",2009,NA,100,NA
"ANCHOCWAGAB-AGO",2010,NA,462,NA
"ANCHOCWAGAB-AGO",2011,NA,924,NA
"ANCHOCWAGAB-AGO",2012,NA,993,NA
"ANCHOCWAGAB-AGO",2013,NA,429,NA
"ANCHOCWAGAB-AGO",2014,NA,690,NA
"ANCHOCWAGAB-AGO",2015,NA,420,NA
"ANCHOCWAGAB-AGO",2016,NA,533,NA
"ANCHOCWAGAB-AGO",2017,NA,372,NA
"ANCHONWA",1990,NA,10300,NA
"ANCHONWA",1991,NA,27400,NA
"ANCHONWA",1992,NA,34000,NA
"ANCHONWA",1993,NA,16800,NA
"ANCHONWA",1994,NA,10100,NA
"ANCHONWA",1995,NA,11200,NA
"ANCHONWA",1996,NA,15600,NA
"ANCHONWA",1997,NA,59200,NA
"ANCHONWA",1998,NA,120000,NA
"ANCHONWA",1999,NA,124000,NA
"ANCHONWA",2000,0.34,120000,NA
"ANCHONWA",2001,4.51,140000,NA
"ANCHONWA",2002,1.72,122000,NA
"ANCHONWA",2003,1.93,116000,NA
"ANCHONWA",2004,0.93,150000,NA
"ANCHONWA",2005,0.78,120000,NA
"ANCHONWA",2006,1.89,140000,NA
"ANCHONWA",2007,0.66,122000,NA
"ANCHONWA",2008,0.92,116000,NA
"ANCHONWA",2009,2.82,150000,NA
"ANCHONWA",2010,0.84,120000,NA
"ANCHONWA",2011,NA,150411,NA
"ANCHONWA",2012,NA,115033,NA
"ANCHONWA",2013,NA,37217,NA
"ANCHONWA",2014,NA,19168,NA
"ANCHONWA",2015,NA,26339,NA
"ANCHONWA",2016,NA,28566,NA
"ANCHONWA",2017,NA,20095,NA
"ANCHONWA",2018,NA,24071,NA
"ANCHONWA",2019,NA,19797,NA
"ANCHONWA",2020,NA,50629,NA
"ANCHOSA",1949,NA,0,NA
"ANCHOSA",1950,NA,0,NA
"ANCHOSA",1951,NA,0,NA
"ANCHOSA",1952,NA,0,NA
"ANCHOSA",1953,NA,0,NA
"ANCHOSA",1954,NA,0,NA
"ANCHOSA",1955,NA,0,NA
"ANCHOSA",1956,NA,0,NA
"ANCHOSA",1957,NA,0,NA
"ANCHOSA",1958,NA,200,NA
"ANCHOSA",1959,NA,1400,NA
"ANCHOSA",1960,NA,0,NA
"ANCHOSA",1961,NA,0,NA
"ANCHOSA",1962,NA,0,NA
"ANCHOSA",1963,NA,300,NA
"ANCHOSA",1964,NA,92400,NA
"ANCHOSA",1965,NA,171000,NA
"ANCHOSA",1966,NA,144000,NA
"ANCHOSA",1967,NA,271000,NA
"ANCHOSA",1968,NA,138000,NA
"ANCHOSA",1969,NA,149000,NA
"ANCHOSA",1970,NA,169000,NA
"ANCHOSA",1971,NA,157000,NA
"ANCHOSA",1972,NA,236000,NA
"ANCHOSA",1973,NA,251000,NA
"ANCHOSA",1974,NA,350000,NA
"ANCHOSA",1975,NA,224000,NA
"ANCHOSA",1976,NA,218000,NA
"ANCHOSA",1977,NA,236000,NA
"ANCHOSA",1978,NA,210000,NA
"ANCHOSA",1979,NA,291000,NA
"ANCHOSA",1980,NA,316000,NA
"ANCHOSA",1981,NA,292000,NA
"ANCHOSA",1982,NA,306000,NA
"ANCHOSA",1983,NA,235000,NA
"ANCHOSA",1984,NA,269000,1990000
"ANCHOSA",1985,NA,277000,1030000
"ANCHOSA",1986,NA,304000,1830000
"ANCHOSA",1987,NA,6e+05,1840000
"ANCHOSA",1988,NA,573000,1390000
"ANCHOSA",1989,NA,294000,665000
"ANCHOSA",1990,NA,152000,619000
"ANCHOSA",1991,NA,151000,1730000
"ANCHOSA",1992,NA,349000,1710000
"ANCHOSA",1993,NA,236000,1020000
"ANCHOSA",1994,NA,156000,534000
"ANCHOSA",1995,NA,178000,488000
"ANCHOSA",1996,NA,40900,451000
"ANCHOSA",1997,NA,60400,831000
"ANCHOSA",1998,NA,108000,1090000
"ANCHOSA",1999,NA,180000,1600000
"ANCHOSA",2000,NA,267000,3540000
"ANCHOSA",2001,NA,288000,5150000
"ANCHOSA",2002,NA,213000,4130000
"ANCHOSA",2003,NA,259000,3180000
"ANCHOSA",2004,NA,190000,2280000
"ANCHOSA",2005,NA,283000,2420000
"ANCHOSA",2006,NA,134000,1770000
"ANCHOSA",2007,NA,253000,2190000
"ANCHOSA",2008,NA,266000,3040000
"ANCHOSA",2009,NA,174000,3100000
"ANCHOSA",2010,NA,217000,2110000
"ANCHOSA",2011,NA,120000,1110000
"ANCHOSA",2012,NA,307000,2360000
"ANCHOSA",2013,NA,78800,2960000
"ANCHOSA",2014,NA,240000,2840000
"ANCHOSA",2015,NA,238000,2020000
"ANCHOSA",2016,NA,261300,1592900
"ANCHOSA",2017,NA,216600,1976700
"ANCHOSA",2018,NA,253400,1586700
"ANCHOSA",2019,NA,164400,1455800
"ARGANCHONARG",1989,NA,NA,NA
"ARGANCHONARG",1990,0.025,11900,928000
"ARGANCHONARG",1991,0.048,20100,750000
"ARGANCHONARG",1992,0.096,19100,615000
"ARGANCHONARG",1993,0.071,13900,976000
"ARGANCHONARG",1994,0.058,18400,1710000
"ARGANCHONARG",1995,0.034,19100,2130000
"ARGANCHONARG",1996,0.016,17600,2650000
"ARGANCHONARG",1997,0.024,22300,2280000
"ARGANCHONARG",1998,0.025,19200,1650000
"ARGANCHONARG",1999,0.011,8730,1500000
"ARGANCHONARG",2000,0.011,12500,1540000
"ARGANCHONARG",2001,0.027,14500,1450000
"ARGANCHONARG",2002,0.04,21600,1310000
"ARGANCHONARG",2003,0.058,27900,1360000
"ARGANCHONARG",2004,0.09,40600,2040000
"ARGANCHONARG",2005,0.077,38100,1890000
"ARGANCHONARG",2006,0.043,46100,1200000
"ARGANCHONARG",2007,0.032,24500,1020000
"ARGANCHONARG",2008,0.053,21300,881000
"ARGANCHONARG",2009,0.07,28200,928000
"ARGANCHONARG",2010,0.06,22700,753000
"ARGANCHONARG",2011,0.069,20000,901000
"ARGANCHONARG",2012,0.044,15100,1080000
"ARGANCHONARG",2013,0.041,18000,1150000
"ARGANCHONARG",2014,0.033,13800,1380000
"ARGANCHONARG",2015,0.018,12500,1740000
"ARGANCHONARG",2016,0.011,8734.29,1890000
