origin,horizon,model,target,obs,pred,sqerr,abserr
1952,1,M2_combo,H,642.8683753501401,641.9515827135277,0.8405087385467148,0.9167926366123993
1952,1,M2_precip_oracle,H,642.8683753501401,638.3521390657406,20.396390176526573,4.516236284399497
1952,5,M2_Rar,R,1142.6,459.1484932803802,467105.9620373184,683.4515067196197
1952,5,M2_enso,R,1142.6,487.818468399603,428738.85412496154,654.7815316003969
1952,5,M2_precip,R,1142.6,441.0999806222467,492102.27718698815,701.5000193777532
1952,5,M2_combo,R,1142.6,478.7721730204701,440667.3838723646,663.8278269795298
1952,5,M2_precip_oracle,R,1142.6,861.4189429920955,79062.7868200824,281.1810570079044
1952,5,R_persist,R,1142.6,275.5,751862.4099999998,867.0999999999999
1952,5,R_mean,R,1142.6,470.5052631578948,451711.3352908586,672.0947368421051
1952,5,naive_persist,H,637.1188767123288,642.6324863387978,30.39989111309184,5.5136096264690195
1952,5,M1,H,637.1188767123288,610.0,735.4334741384869,27.118876712328756
1952,5,M2_Rar,H,637.1188767123288,637.7481911299342,0.3960366362060595,0.6293144176054284
1952,5,M2_enso,H,637.1188767123288,640.0530123625681,8.60915201400544,2.934135650239341
1952,5,M2_precip,H,637.1188767123288,636.2972447995334,0.6750790001238222,0.8216319127953966
1952,5,M2_combo,H,637.1188767123288,639.3257674458982,4.870366709914839,2.2068907335694803
1952,5,M2_precip_oracle,H,637.1188767123288,623.0729121547537,197.28912035265517,14.045964557575076
1953,1,M2_Rar,R,162.1,417.54186494799666,65250.54636811057,255.44186494799666
1953,1,M2_enso,R,162.1,565.9158338342951,163067.227655287,403.81583383429506
1953,1,M2_precip,R,162.1,385.3916767825488,49859.17292036225,223.29167678254882
1953,1,M2_combo,R,162.1,504.49225673146725,117232.45746966696,342.3922567314672
1953,1,M2_precip_oracle,R,162.1,16.566970034870224,21179.86281083136,145.53302996512977
1953,1,R_persist,R,162.1,167.6,30.25,5.5
1953,1,R_mean,R,162.1,455.36,86001.4276,293.26
1953,1,naive_persist,H,635.8018289085546,642.8683753501401,49.93607861108471,7.066546441585501
1953,1,M1,H,635.8018289085546,641.0643532764615,27.69416272281338,5.262524367906849
1953,1,M2_Rar,H,635.8018289085546,643.6200511983791,61.12459977310805,7.818222289824462
1953,1,M2_enso,H,635.8018289085546,645.9261390521344,102.50165588339294,10.124310143579805
1953,1,M2_precip,H,635.8018289085546,643.120360053222,53.56089811546698,7.318531144667418
1953,1,M2_combo,H,635.8018289085546,644.9714691315666,84.08230181947818,9.169640223011925
1953,1,M2_precip_oracle,H,635.8018289085546,637.3879382357031,2.5157427976674867,1.586109327148506
1953,5,M2_Rar,R,1711.2,417.54186494799666,1673551.3703862275,1293.6581350520034
1953,5,M2_enso,R,1711.2,565.9158338342951,1311675.8212698738,1145.2841661657048
1953,5,M2_precip,R,1711.2,385.3916767825488,1757767.7099126698,1325.8083232174513
1953,5,M2_combo,R,1711.2,504.49225673146725,1456143.5776642351,1206.7077432685328
1953,5,M2_precip_oracle,R,1711.2,714.8536527021657,992706.0437737367,996.3463472978343
1953,5,R_persist,R,1711.2,167.6,2382700.9600000004,1543.6000000000001
1953,5,R_mean,R,1711.2,455.36,1577134.1056000004,1255.8400000000001
1953,5,naive_persist,H,666.7902486187845,642.8683753501401,572.256020681083,23.92187326864439
1953,5,M1,H,666.7902486187845,633.5972579136806,1101.7746319491182,33.192990705103966
1953,5,M2_Rar,H,666.7902486187845,645.809171826871,440.20558334817343,20.98107679191355
1953,5,M2_enso,H,666.7902486187845,654.8313255268254,143.0158415193938,11.95892309195915
1953,5,M2_precip,H,666.7902486187845,643.8542201511264,526.0614018692256,22.93602846765816
1953,5,M2_combo,H,666.7902486187845,651.0963512750593,246.29841383538525,15.693897343725212
1953,5,M2_precip_oracle,H,666.7902486187845,645.4109523107915,457.0743106249656,21.37929630799306
1954,1,M2_Rar,R,192.0,389.84028124455625,39140.776882925114,197.84028124455625
1954,1,M2_enso,R,192.0,351.58288272013726,25466.696457269085,159.58288272013726
1954,1,M2_precip,R,192.0,261.04569552805555,4767.3080709529495,69.04569552805555
1954,1,M2_combo,R,192.0,179.48838740814293,156.54044964871647,12.511612591857073
1954,1,M2_precip_oracle,R,192.0,246.3526525590869,2954.2108402088147,54.35265255908689
1954,1,R_persist,R,192.0,162.1,894.0100000000003,29.900000000000006
1954,1,R_mean,R,192.0,441.39523809523814,62197.98478458052,249.39523809523814
1954,1,naive_persist,H,630.8421546961325,635.8018289085546,24.598368293364786,4.959674212422101
1954,1,M1,H,630.8421546961325,622.1694091709182,75.21651494512435,8.672745525214282
1954,1,M2_Rar,H,630.8421546961325,635.616011042938,22.789704419934903,4.7738563468054735
1954,1,M2_enso,H,630.8421546961325,635.0278349529461,17.519919212279262,4.185680256813612
1954,1,M2_precip,H,630.8421546961325,633.6359000379908,7.8050130351550155,2.793745341858312
1954,1,M2_combo,H,630.8421546961325,632.3820233905859,2.3711955961575857,1.5398686944533893
1954,1,M2_precip_oracle,H,630.8421546961325,633.4100065664821,6.59386322805801,2.567851870349614
1954,5,M2_Rar,R,690.4,389.84028124455625,90336.14453835144,300.5597187554437
1954,5,M2_enso,R,690.4,351.58288272013726,114797.03896183624,338.8171172798627
1954,5,M2_precip,R,690.4,261.04569552805555,184345.11876858716,429.35430447194443
1954,5,M2_combo,R,690.4,179.48838740814293,261030.67588121185,510.9116125918571
1954,5,M2_precip_oracle,R,690.4,614.2835169221873,5793.718996134937,76.11648307781263
1954,5,R_persist,R,690.4,162.1,279100.88999999996,528.3
1954,5,R_mean,R,690.4,441.39523809523814,62003.371451247134,249.00476190476184
1954,5,naive_persist,H,672.0067857142857,635.8018289085546,1310.7988973048516,36.20495680573106
1954,5,M1,H,672.0067857142857,610.0,3844.841474617343,62.006785714285684
