policy,uc,K,T,nominal_boundary,certified_boundary,nominal_intervals,certified_intervals
flat_80,UC_q05,K_phys_618,3,618.0,684.258,"[[618.0, 710.0]]","[[684.2582844082369, 710.0]]"
flat_80,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q05,K_inst_660,1,669.655,690.311,"[[669.6549718376451, 710.0]]","[[690.3105435647911, 710.0]]"
flat_80,UC_q05,K_inst_660,2,682.596,,"[[682.595661170982, 710.0]]",
flat_80,UC_q05,K_inst_660,3,699.94,,"[[699.9402421017104, 710.0]]",
flat_80,UC_q05,K_inst_660,5,,,,
flat_80,UC_q05,K_inst_660,8,,,,
flat_80,UC_q05,K_inst_660,10,,,,
flat_80,UC_q05,K_inst_660,15,,,,
flat_80,UC_q05,K_inst_660,20,,,,
flat_80,UC_q05,K_inst_660,inf,,,,
flat_80,UC_q10,K_phys_618,1,618.0,633.683,"[[618.0, 710.0]]","[[633.6830073449767, 710.0]]"
flat_80,UC_q10,K_phys_618,2,618.0,654.703,"[[618.0, 710.0]]","[[654.703053545209, 710.0]]"
flat_80,UC_q10,K_phys_618,3,618.0,682.875,"[[618.0, 710.0]]","[[682.8750855134467, 710.0]]"
flat_80,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_80,UC_q10,K_inst_660,1,669.321,689.976,"[[669.3206036497646, 710.0]]","[[689.9761753769105, 710.0]]"
flat_80,UC_q10,K_inst_660,2,681.813,,"[[681.8131347786992, 710.0]]",
flat_80,UC_q10,K_inst_660,3,698.557,,"[[698.5570432069203, 710.0]]",
flat_80,UC_q10,K_inst_660,5,,,,
flat_80,UC_q10,K_inst_660,8,,,,
flat_80,UC_q10,K_inst_660,10,,,,
flat_80,UC_q10,K_inst_660,15,,,,
flat_80,UC_q10,K_inst_660,20,,,,
flat_80,UC_q10,K_inst_660,inf,,,,
flat_70,UC_min,K_phys_618,1,618.0,636.206,"[[618.0, 710.0]]","[[636.2057838381636, 710.0]]"
flat_70,UC_min,K_phys_618,2,618.0,660.607,"[[618.0, 710.0]]","[[660.6071414916813, 710.0]]"
flat_70,UC_min,K_phys_618,3,618.0,693.311,"[[618.0, 710.0]]","[[693.3111909315406, 710.0]]"
flat_70,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_70,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_70,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_70,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_70,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_70,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_70,UC_min,K_inst_660,1,671.843,692.499,"[[671.8433801429516, 710.0]]","[[692.4989518700975, 710.0]]"
flat_70,UC_min,K_inst_660,2,687.717,,"[[687.7172227251716, 710.0]]",
flat_70,UC_min,K_inst_660,3,708.993,,"[[708.993148625014, 710.0]]",
flat_70,UC_min,K_inst_660,5,,,,
flat_70,UC_min,K_inst_660,8,,,,
flat_70,UC_min,K_inst_660,10,,,,
flat_70,UC_min,K_inst_660,15,,,,
flat_70,UC_min,K_inst_660,20,,,,
flat_70,UC_min,K_inst_660,inf,,,,
flat_70,UC_q05,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_70,UC_q05,K_phys_618,2,618.0,652.968,"[[618.0, 710.0]]","[[652.9684895860897, 710.0]]"
flat_70,UC_q05,K_phys_618,3,618.0,679.809,"[[618.0, 710.0]]","[[679.8090586358136, 710.0]]"
flat_70,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q05,K_inst_660,1,668.579,689.235,"[[668.5794363057703, 710.0]]","[[689.2350080329163, 710.0]]"
flat_70,UC_q05,K_inst_660,2,680.079,,"[[680.0785708195799, 710.0]]",
flat_70,UC_q05,K_inst_660,3,695.491,,"[[695.4910163292869, 710.0]]",
flat_70,UC_q05,K_inst_660,5,,,,
flat_70,UC_q05,K_inst_660,8,,,,
flat_70,UC_q05,K_inst_660,10,,,,
flat_70,UC_q05,K_inst_660,15,,,,
flat_70,UC_q05,K_inst_660,20,,,,
flat_70,UC_q05,K_inst_660,inf,,,,
flat_70,UC_q10,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_70,UC_q10,K_phys_618,2,618.0,652.186,"[[618.0, 710.0]]","[[652.1859631938069, 710.0]]"
flat_70,UC_q10,K_phys_618,3,618.0,678.426,"[[618.0, 710.0]]","[[678.4258597410234, 710.0]]"
flat_70,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_70,UC_q10,K_inst_660,1,668.245,688.901,"[[668.2450681178898, 710.0]]","[[688.9006398450357, 710.0]]"
flat_70,UC_q10,K_inst_660,2,679.296,,"[[679.2960444272971, 710.0]]",
flat_70,UC_q10,K_inst_660,3,694.108,,"[[694.107817434497, 710.0]]",
flat_70,UC_q10,K_inst_660,5,,,,
flat_70,UC_q10,K_inst_660,8,,,,
flat_70,UC_q10,K_inst_660,10,,,,
flat_70,UC_q10,K_inst_660,15,,,,
flat_70,UC_q10,K_inst_660,20,,,,
flat_70,UC_q10,K_inst_660,inf,,,,
flat_60,UC_min,K_phys_618,1,618.0,635.13,"[[618.0, 710.0]]","[[635.1302483062888, 710.0]]"
flat_60,UC_min,K_phys_618,2,618.0,658.09,"[[618.0, 710.0]]","[[658.0900511402792, 710.0]]"
flat_60,UC_min,K_phys_618,3,618.0,688.862,"[[618.0, 710.0]]","[[688.8619651591173, 710.0]]"
flat_60,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_60,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_60,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_60,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_60,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_60,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_60,UC_min,K_inst_660,1,670.768,691.423,"[[670.7678446110767, 710.0]]","[[691.4234163382228, 710.0]]"
flat_60,UC_min,K_inst_660,2,685.2,,"[[685.2001323737695, 710.0]]",
flat_60,UC_min,K_inst_660,3,704.544,,"[[704.5439228525906, 710.0]]",
flat_60,UC_min,K_inst_660,5,,,,
flat_60,UC_min,K_inst_660,8,,,,
flat_60,UC_min,K_inst_660,10,,,,
flat_60,UC_min,K_inst_660,15,,,,
flat_60,UC_min,K_inst_660,20,,,,
flat_60,UC_min,K_inst_660,inf,,,,
flat_60,UC_q05,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_60,UC_q05,K_phys_618,2,618.0,650.451,"[[618.0, 710.0]]","[[650.4513992346879, 710.0]]"
flat_60,UC_q05,K_phys_618,3,618.0,675.36,"[[618.0, 710.0]]","[[675.3598328633906, 710.0]]"
flat_60,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q05,K_inst_660,1,667.504,688.159,"[[667.5039007738956, 710.0]]","[[688.1594725010416, 710.0]]"
flat_60,UC_q05,K_inst_660,2,677.561,,"[[677.561480468178, 710.0]]",
flat_60,UC_q05,K_inst_660,3,691.042,,"[[691.0417905568639, 710.0]]",
flat_60,UC_q05,K_inst_660,5,,,,
flat_60,UC_q05,K_inst_660,8,,,,
flat_60,UC_q05,K_inst_660,10,,,,
flat_60,UC_q05,K_inst_660,15,,,,
flat_60,UC_q05,K_inst_660,20,,,,
flat_60,UC_q05,K_inst_660,inf,,,,
flat_60,UC_q10,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_60,UC_q10,K_phys_618,2,618.0,649.669,"[[618.0, 710.0]]","[[649.6688728424048, 710.0]]"
flat_60,UC_q10,K_phys_618,3,618.0,673.977,"[[618.0, 710.0]]","[[673.9766339686, 710.0]]"
flat_60,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_60,UC_q10,K_inst_660,1,667.17,687.825,"[[667.169532586015, 710.0]]","[[687.8251043131609, 710.0]]"
flat_60,UC_q10,K_inst_660,2,676.779,,"[[676.7789540758951, 710.0]]",
flat_60,UC_q10,K_inst_660,3,689.659,,"[[689.6585916620736, 710.0]]",
flat_60,UC_q10,K_inst_660,5,,,,
flat_60,UC_q10,K_inst_660,8,,,,
flat_60,UC_q10,K_inst_660,10,,,,
flat_60,UC_q10,K_inst_660,15,,,,
flat_60,UC_q10,K_inst_660,20,,,,
flat_60,UC_q10,K_inst_660,inf,,,,
flat_50,UC_min,K_phys_618,1,618.0,634.055,"[[618.0, 710.0]]","[[634.0547127744139, 710.0]]"
flat_50,UC_min,K_phys_618,2,618.0,655.573,"[[618.0, 710.0]]","[[655.5729607888773, 710.0]]"
flat_50,UC_min,K_phys_618,3,618.0,684.413,"[[618.0, 710.0]]","[[684.4127393866939, 710.0]]"
flat_50,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_50,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_50,UC_min,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_50,UC_min,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_50,UC_min,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_50,UC_min,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_50,UC_min,K_inst_660,1,669.692,690.348,"[[669.6923090792019, 710.0]]","[[690.3478808063479, 710.0]]"
flat_50,UC_min,K_inst_660,2,682.683,,"[[682.6830420223674, 710.0]]",
flat_50,UC_min,K_inst_660,3,700.095,,"[[700.0946970801673, 710.0]]",
flat_50,UC_min,K_inst_660,5,,,,
flat_50,UC_min,K_inst_660,8,,,,
flat_50,UC_min,K_inst_660,10,,,,
flat_50,UC_min,K_inst_660,15,,,,
flat_50,UC_min,K_inst_660,20,,,,
flat_50,UC_min,K_inst_660,inf,,,,
flat_50,UC_q05,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_50,UC_q05,K_phys_618,2,618.0,647.934,"[[618.0, 710.0]]","[[647.9343088832858, 710.0]]"
flat_50,UC_q05,K_phys_618,3,618.0,670.911,"[[618.0, 710.0]]","[[670.9106070909673, 710.0]]"
flat_50,UC_q05,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q05,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q05,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q05,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q05,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q05,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q05,K_inst_660,1,666.428,687.084,"[[666.4283652420208, 710.0]]","[[687.0839369691668, 710.0]]"
flat_50,UC_q05,K_inst_660,2,675.044,,"[[675.0443901167762, 710.0]]",
flat_50,UC_q05,K_inst_660,3,686.593,,"[[686.592564784441, 710.0]]",
flat_50,UC_q05,K_inst_660,5,,,,
flat_50,UC_q05,K_inst_660,8,,,,
flat_50,UC_q05,K_inst_660,10,,,,
flat_50,UC_q05,K_inst_660,15,,,,
flat_50,UC_q05,K_inst_660,20,,,,
flat_50,UC_q05,K_inst_660,inf,,,,
flat_50,UC_q10,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_50,UC_q10,K_phys_618,2,618.0,647.152,"[[618.0, 710.0]]","[[647.1517824910029, 710.0]]"
flat_50,UC_q10,K_phys_618,3,618.0,669.527,"[[618.0, 710.0]]","[[669.5274081961771, 710.0]]"
flat_50,UC_q10,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q10,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q10,K_phys_618,10,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q10,K_phys_618,15,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q10,K_phys_618,20,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q10,K_phys_618,inf,618.0,,"[[618.0, 710.0]]",
flat_50,UC_q10,K_inst_660,1,666.094,686.75,"[[666.0939970541402, 710.0]]","[[686.7495687812861, 710.0]]"
flat_50,UC_q10,K_inst_660,2,674.262,,"[[674.2618637244932, 710.0]]",
flat_50,UC_q10,K_inst_660,3,685.209,,"[[685.2093658896506, 710.0]]",
flat_50,UC_q10,K_inst_660,5,,,,
flat_50,UC_q10,K_inst_660,8,,,,
flat_50,UC_q10,K_inst_660,10,,,,
flat_50,UC_q10,K_inst_660,15,,,,
flat_50,UC_q10,K_inst_660,20,,,,
flat_50,UC_q10,K_inst_660,inf,,,,
flat_0,UC_min,K_phys_618,1,618.0,633.411,"[[618.0, 710.0]]","[[633.411, 710.0]]"
flat_0,UC_min,K_phys_618,2,618.0,644.909,"[[618.0, 710.0]]","[[644.909, 710.0]]"
flat_0,UC_min,K_phys_618,3,618.0,662.167,"[[618.0, 710.0]]","[[662.1666105245781, 710.0]]"
flat_0,UC_min,K_phys_618,5,618.0,,"[[618.0, 710.0]]",
flat_0,UC_min,K_phys_618,8,618.0,,"[[618.0, 710.0]]",
