origin,model,Q_obs,Q_hat,sqerr
1965,M2,266.57260273972605,275.22536762477284,74.87034015589883
1965,M2m,266.57260273972605,269.1227719045555,6.503362769247034
1965,M3,266.57260273972605,268.60081176652557,4.11363185639104
1965,M4,266.57260273972605,236.82517738234037,884.9093153932325
1965,M2_oracle,266.57260273972605,274.4812100821123,62.54607009604543
1966,naive_persist,180.9509589041096,268.70343736763743,7700.497476491917
1966,naive_mean,180.9509589041096,280.5100821986998,9912.019031187418
1966,M1,180.9509589041096,268.9507400098796,7743.961474663437
1966,M2,180.9509589041096,273.1149070084243,8494.193330174818
1966,M2m,180.9509589041096,268.40106395537487,7647.520873477331
1966,M3,180.9509589041096,273.9393098345113,8646.833408755534
1966,M4,180.9509589041096,277.9890147947899,9416.384291042796
1966,M2_oracle,180.9509589041096,252.40322360815935,5105.426131337595
1967,naive_persist,318.5136612021858,199.00709726531704,14281.8188239969
1967,naive_mean,318.5136612021858,278.11293558301213,1632.2186305557557
1967,M1,318.5136612021858,207.51625493910342,12320.42419713176
1967,M2,318.5136612021858,182.55515693087318,18484.714883692533
1967,M2m,318.5136612021858,212.94941842651224,11143.809352801349
1967,M3,318.5136612021858,186.6876967523408,17378.0849031318
1967,M4,318.5136612021858,214.8688282369717,10742.251400387133
1967,M2_oracle,318.5136612021858,235.75210389840186,6849.475367347513
1968,naive_persist,290.84657534246577,319.619681137066,827.8916170672563
1968,naive_mean,290.84657534246577,279.29884259884193,133.3501315181622
1968,M1,290.84657534246577,311.29878368471964,418.2928260749587
1968,M2,290.84657534246577,335.4729665114528,1991.5147887674434
1968,M2m,290.84657534246577,309.1698684523035,335.7430703890265
1968,M3,290.84657534246577,309.0172411894746,330.17309732365277
1968,M4,290.84657534246577,266.85121996971293,575.7770794646985
1968,M2_oracle,290.84657534246577,300.56114017199343,94.37276982709578
1969,naive_persist,306.06301369863013,292.23034741307356,191.34265656757339
1969,naive_mean,306.06301369863013,279.65805106590415,697.2220516356555
1969,M1,306.06301369863013,288.77314477591926,298.939567364523
1969,M2,306.06301369863013,278.0325741324814,785.705542271517
1969,M2m,306.06301369863013,287.7896979061961,333.914070050018
1969,M3,306.06301369863013,279.66743288763064,696.7266863500046
1969,M4,306.06301369863013,283.6551007077396,502.1145646073196
1969,M2_oracle,306.06301369863013,279.01217806252225,731.7477086117239
1970,naive_persist,219.08520547945207,299.06825663016616,6397.288471377747
1970,naive_mean,219.08520547945207,280.18265121628974,3732.8978755658236
1970,M1,219.08520547945207,294.51771668144283,5690.063746238462
1970,M2,219.08520547945207,288.32644722335453,4794.349558237541
1970,M2m,219.08520547945207,293.4584718235128,5531.382746684598
1970,M3,219.08520547945207,283.6236745464266,4165.213989508832
1970,M4,219.08520547945207,273.8374039751275,2997.80324010984
1970,M2_oracle,219.08520547945207,301.9676725140066,6869.503341734019
1971,naive_persist,309.5191256830601,231.40570596537373,6101.706339991436
1971,naive_mean,309.5191256830601,278.89904739389704,937.5891944344759
1971,M1,309.5191256830601,239.2093567794018,4943.463603285839
1971,M2,309.5191256830601,229.07575181478114,6471.1363993117075
1971,M2m,309.5191256830601,243.0788094372956,4414.315622837199
1971,M3,309.5191256830601,238.186437132455,5088.352455857627
1971,M4,309.5191256830601,266.0445908253546,1890.0351810938523
1971,M2_oracle,309.5191256830601,223.0341255188482,7479.655253403732
1972,naive_persist,384.4958904109589,309.5955759600265,5610.057104848553
1972,naive_mean,384.4958904109589,279.68613786995184,10985.084227707139
1972,M1,384.4958904109589,302.29889903941285,6756.3453905340175
1972,M2,384.4958904109589,292.42203764154647,8477.594363803439
1972,M2m,384.4958904109589,300.46812100745274,7060.666030928807
1972,M3,384.4958904109589,260.23737366473324,15440.178983972044
1972,M4,384.4958904109589,229.84806166918088,23915.950934546305
1972,M2_oracle,384.4958904109589,370.3352984134108,200.522365721024
1973,naive_persist,380.1397260273973,376.06648745049233,16.591272504386595
1973,naive_mean,380.1397260273973,282.0956466094649,9612.641508909832
1973,M1,380.1397260273973,356.668457389821,550.9004514572708
1973,M2,380.1397260273973,419.992851383724,1588.27160066709
1973,M2m,380.1397260273973,350.69811538579734,866.8084371715706
1973,M3,380.1397260273973,418.49124214128824,1470.8387882340385
1973,M4,380.1397260273973,416.2663840839441,1305.13542233466
1973,M2_oracle,380.1397260273973,331.41404122123413,2374.192359829558
1974,naive_persist,393.854794520548,358.38535222903647,1258.0813364708674
1974,naive_mean,393.854794520548,283.95637113677185,12077.66346223972
1974,M1,393.854794520548,342.9116339154116,2595.205612440724
1974,M2,393.854794520548,324.5839016336622,4798.456601346406
1974,M2m,393.854794520548,339.71768292327033,2930.8268520960974
1974,M3,393.854794520548,316.7178099151756,5950.114394009457
1974,M4,393.854794520548,306.30593516336285,7664.802774744188
1974,M2_oracle,393.854794520548,361.3936718832497,1053.724482873722
1975,naive_persist,367.4562841530055,363.56770438008016,15.121052650404307
1975,naive_mean,367.4562841530055,285.8518790711364,6659.278928765786
1975,M1,367.4562841530055,348.09968567828264,374.6779045116444
1975,M2,367.4562841530055,365.587017146433,3.4941591418605134
1975,M2m,367.4562841530055,344.26001437537207,538.0669315967515
1975,M3,367.4562841530055,364.88104404233445,6.631861627609171
1975,M4,367.4562841530055,363.9234824387345,12.480687952356435
1975,M2_oracle,367.4562841530055,354.9531818264927,156.32756778725022
1976,naive_persist,388.65205479452055,357.82204740233374,950.4893558022936
1976,naive_mean,388.65205479452055,287.52560391604766,10226.559067276192
1976,M1,388.65205479452055,344.0423938173549,1990.0218524976578
1976,M2,388.65205479452055,351.0370634585447,1414.8875732055378
1976,M2m,388.65205479452055,340.3725272508518,2330.912779839868
1976,M3,388.65205479452055,350.0975429752698,1486.4503816207468
1976,M4,388.65205479452055,348.8349037100552,1585.4055204831413
1976,M2_oracle,388.65205479452055,351.7687344312949,1360.379321016337
1977,naive_persist,320.47945205479454,397.77838399580696,5975.124879221271
1977,naive_mean,320.47945205479454,290.0313489178602,927.0869846373896
1977,M1,320.47945205479454,379.09693038825526,3436.0087661737375
1977,M2,320.47945205479454,389.4893431732289,4762.365072178169
1977,M2m,320.47945205479454,373.9704091249241,2861.2824882784457
1977,M3,320.47945205479454,373.0474458540416,2763.3939720776775
1977,M4,320.47945205479454,353.4256803262806,1085.4539573168677
1977,M2_oracle,320.47945205479454,340.40236189837515,396.92233663544124
1978,naive_persist,394.613698630137,334.3592905523583,3630.593692803482
1978,naive_mean,394.613698630137,291.016414287516,10732.397323165862
1978,M1,394.613698630137,325.4698608079916,4780.870308775141
1978,M2,394.613698630137,290.32252687940263,10876.648505141171
1978,M2m,394.613698630137,323.9390815787183,4994.901495364682
1978,M3,394.613698630137,292.22327852227136,10483.798129865212
1978,M4,394.613698630137,294.67620447001127,9987.50273900516
1978,M2_oracle,394.613698630137,354.09794404738204,1641.5263694100277
1979,naive_persist,282.27322404371586,378.14204104201644,9190.830072653647
1979,naive_mean,282.27322404371586,292.9104496517439,113.15056863608704
1979,M1,282.27322404371586,362.23302679790277,6393.570056488476
1979,M2,282.27322404371586,390.93764158482145,11807.955639547738
1979,M2m,282.27322404371586,359.22685544816477,5921.861386331786
1979,M3,282.27322404371586,382.0944782801412,9964.282797333059
1979,M4,282.27322404371586,371.43769555926383,7950.302980646966
1979,M2_oracle,282.27322404371586,310.15389402617666,777.3317586708908
1980,naive_persist,312.34794520547945,287.281106863883,628.3463844437299
1980,naive_mean,312.34794520547945,292.79067640093854,382.48676309306904
1980,M1,312.34794520547945,287.81342304779446,601.9427775059357
1980,M2,312.34794520547945,235.64666213301052,5883.086824963008
1980,M2m,312.34794520547945,287.39060358869483,622.8689005768895
1980,M3,312.34794520547945,242.97077959739227,4813.191107811955
1980,M4,312.34794520547945,252.02536253265407,3638.8139803198524
1980,M2_oracle,312.34794520547945,351.77298997441994,1554.3341550329624
1981,naive_persist,272.3972602739726,340.0949992056603,4582.983856462944
1981,naive_mean,272.3972602739726,293.77618312603727,457.058342314532
1981,M1,272.3972602739726,329.8068945125583,3295.8661034081892
1981,M2,272.3972602739726,390.57049782777585,13964.914073947612
1981,M2m,272.3972602739726,328.97226143175976,3200.7307560036165
1981,M3,272.3972602739726,394.51074010429556,14911.701956270688
1981,M4,272.3972602739726,399.704429270776,16207.11527798066
1981,M2_oracle,272.3972602739726,282.2530717345526,97.13701954649923
1982,naive_persist,233.95068493150688,297.4853334888953,4036.6515673108606
1982,naive_mean,233.95068493150688,293.8518800722177,3588.153179285515
1982,M1,233.95068493150688,296.13284322415893,3866.620809932436
1982,M2,233.95068493150688,251.41997605910456,305.1761325007627
1982,M2m,233.95068493150688,295.6810104152628,3810.6330843304436
1982,M3,233.95068493150688,246.04732722855942,146.32875486284055
1982,M4,233.95068493150688,239.23463382013415,27.920115857625305
1982,M2_oracle,233.95068493150688,255.6922337076785,472.6949431866493
1983,naive_persist,123.6590163934426,258.6410989719375,18220.162617227616
1983,naive_mean,123.6590163934426,293.14766445021223,28726.401820111525
1983,M1,123.6590163934426,265.5749108054465,20140.121086759045
1983,M2,123.6590163934426,226.0632505485337,10486.627172890725
1983,M2m,123.6590163934426,265.0636836976664,19995.279935418228
1983,M3,123.6590163934426,224.9791567735283,10265.770846640273
1983,M4,123.6590163934426,223.58617804733467,9985.437636203078
1983,M2_oracle,123.6590163934426,190.40988422615737,4455.678356420556
1984,naive_persist,249.9753424657534,170.29122090675764,6349.559228628815
1984,naive_mean,249.9753424657534,290.73871457681116,1661.6525058645607
1984,M1,249.9753424657534,194.1885120388879,3112.170449075849
1984,M2,249.9753424657534,118.56660838791686,17268.25539193956
1984,M2m,249.9753424657534,194.91911444173184,3031.188244233059
1984,M3,249.9753424657534,125.17460925410751,15575.223010164418
1984,M4,249.9753424657534,133.73487707216873,13511.845794917159
1984,M2_oracle,249.9753424657534,197.9475128488375,2706.8950546468323
1985,naive_persist,287.3068493150685,268.11412241243124,368.3607659592166
1985,naive_mean,287.3068493150685,290.30362626595706,8.980672093376846
1985,M1,287.3068493150685,272.8410296302004,209.25993915511768
1985,M2,287.3068493150685,282.94055551499014,19.064521548602908
1985,M2m,287.3068493150685,272.4521255685977,220.6628175839642
1985,M3,287.3068493150685,259.7896831632047,757.1944330292798
1985,M4,287.3068493150685,232.26877374567266,3029.1897623825294
1985,M2_oracle,287.3068493150685,308.578770237822,452.4946197438785
1986,naive_persist,360.4739726027397,303.65503672533305,3228.3914742408497
1986,naive_mean,360.4739726027397,290.555539670851,4888.587263651023
1986,M1,360.4739726027397,299.8831083366904,3671.252832506813
1986,M2,360.4739726027397,334.52555362944986,673.3204472133885
1986,M2m,360.4739726027397,299.4019116351774,3729.796630825649
1986,M3,360.4739726027397,336.2015275599697,589.1515883542908
1986,M4,360.4739726027397,338.4892604481033,483.3275685222167
1986,M2_oracle,360.4739726027397,426.7744956053507,4395.759350419748
1987,naive_persist,275.5601092896175,386.9961248706327,12417.985568572256
1987,naive_mean,275.5601092896175,292.34147643380993,281.61428322818074
1987,M1,275.5601092896175,363.84695521795993,7794.567163974872
1987,M2,275.5601092896175,479.7323431163318,41686.30106579048
1987,M2m,275.5601092896175,362.61705112044365,7578.911120935845
1987,M3,275.5601092896175,490.8413013090835,46345.99163732219
1987,M4,275.5601092896175,506.99749824364153,53563.2650058562
1987,M2_oracle,275.5601092896175,304.31312611225985,826.7359764031532
1988,naive_persist,161.3627397260274,293.4690428740446,17452.075331435815
1988,naive_mean,161.3627397260274,292.3619776418145,17160.800334516996
1988,M1,161.3627397260274,292.64477001128125,17234.97147581831
1988,M2,161.3627397260274,233.77611715759213,5243.697231046248
1988,M2m,161.3627397260274,292.2440231579044,17129.910352775318
1988,M3,161.3627397260274,236.77807689003703,5687.473079561252
1988,M4,161.3627397260274,241.63701180513863,6443.958757831177
1988,M2_oracle,161.3627397260274,220.14804336459474,3455.711923878559
1989,naive_persist,175.9386301369863,195.765963478882,393.12314745064873
1989,naive_mean,175.9386301369863,290.6370488174766,13155.727247805055
1989,M1,175.9386301369863,220.44609053567092,1980.9140311404806
1989,M2,175.9386301369863,145.21707356396973,943.8140382690568
1989,M2m,175.9386301369863,218.7303074945812,1831.1276510765017
1989,M3,175.9386301369863,152.09645341846772,568.4493906770691
1989,M4,175.9386301369863,163.66066948062507,150.74831787915394
1989,M2_oracle,175.9386301369863,239.1392829517713,3994.3225162149915
1990,naive_persist,234.96438356164384,203.87866426022174,966.3219444868066
1990,naive_mean,234.96438356164384,289.11497189541933,2932.286216894022
1990,M1,234.96438356164384,225.49051962269095,89.75409793379194
1990,M2,234.96438356164384,241.37956469694518,41.15454899872617
1990,M2m,234.96438356164384,223.48014881595554,131.88764769407436
1990,M3,234.96438356164384,251.10719566903754,260.59038273461647
1990,M4,234.96438356164384,269.09151933919884,1164.6613963796742
1990,M2_oracle,234.96438356164384,285.0445139555063,2508.019460266268
1991,naive_persist,441.7021857923497,246.672830952833,38036.44924911812
1991,naive_mean,441.7021857923497,288.3832108446845,23506.708079002787
1991,M1,441.7021857923497,257.24239831340356,34025.41319677798
1991,M2,441.7021857923497,312.9550823733134,16575.816638792032
1991,M2m,441.7021857923497,255.42760129729913,34698.220828803744
1991,M3,441.7021857923497,322.399806741209,14233.057647262067
1991,M4,441.7021857923497,343.1145386233443,9719.524174320306
1991,M2_oracle,441.7021857923497,417.9428712895269,564.505025644046
1992,naive_persist,385.1698630136986,423.78657912355857,1491.2507631095182
1992,naive_mean,385.1698630136986,290.6781831883941,8928.67755620786
1992,M1,385.1698630136986,384.28674528935016,0.779896915058363
1992,M2,385.1698630136986,509.80370144970266,15533.593683291961
1992,M2m,385.1698630136986,392.0801060702952,47.75145910124131
1992,M3,385.1698630136986,509.80370144970266,15533.593683291961
1992,M4,385.1698630136986,509.80370144970266,15533.593683291961
1992,M2_oracle,385.1698630136986,353.2242760153222,1020.520528670837
1993,naive_persist,312.4164383561644,383.2162261252247,5012.609948143979
1993,naive_mean,312.4164383561644,292.22048390400823,407.8765762335667
1993,M1,312.4164383561644,356.01971074412313,1901.2453629385238
1993,M2,312.4164383561644,324.9689432670066,157.5653795367169
1993,M2m,312.4164383561644,362.53452040173806,2511.8221479268527
1993,M3,312.4164383561644,317.1715594654934,22.611176764385956
1993,M4,312.4164383561644,300.42010822322845,143.91193665838713
1993,M2_oracle,312.4164383561644,330.9640688615277,344.01459736348386
1994,naive_persist,277.37808219178083,317.74079267023217,1629.148397167285
1994,naive_mean,277.37808219178083,292.6388496214872,232.8910225435874
1994,M1,277.37808219178083,309.6026343812555,1038.4217638121754
1994,M2,277.37808219178083,280.01027997754454,6.928465183379367
1994,M2m,277.37808219178083,311.35559894648804,1154.4716448164093
1994,M3,277.37808219178083,283.5499928882032,38.09248164461255
1994,M4,277.37808219178083,291.15836279467294,189.8961334944444
1994,M2_oracle,277.37808219178083,282.82507246478735,29.669703034227645
1995,naive_persist,172.66120218579235,292.70886911534853,14411.442335229658
1995,naive_mean,172.66120218579235,292.63997896816227,14394.906878193748
1995,M1,172.66120218579235,292.2225967392433,14294.927067565965
1995,M2,172.66120218579235,263.9839443919773,8339.84324405731
1995,M2m,172.66120218579235,291.9054632114189,14219.193787547763
1995,M3,172.66120218579235,261.21561215672637,7841.883525300258
1995,M4,172.66120218579235,255.34776727464805,6837.068046193571
1995,M2_oracle,172.66120218579235,232.07120892176226,3529.548900367991
1996,naive_persist,261.0082191780822,198.6197436588759,3892.3218776106014
1996,naive_mean,261.0082191780822,291.14759428071375,908.3819315771273
1996,M1,261.0082191780822,226.55977159315444,1186.6955410115145
1996,M2,261.0082191780822,157.61477654616738,10690.203979279058
1996,M2m,261.0082191780822,218.31170488743282,1822.9923325716252
1996,M3,261.0082191780822,166.77151565024542,8880.556291793402
1996,M4,261.0082191780822,185.78663340373942,5658.286966406807
1996,M2_oracle,261.0082191780822,249.93638938206323,122.58541503201324
1997,naive_persist,300.03561643835616,284.8267819112807,231.30864767196243
1997,naive_mean,300.03561643835616,291.0488315874418,80.76230195662411
1997,M1,300.03561643835616,286.3722876529014,186.6865534994372
1997,M2,300.03561643835616,317.158523870879,293.1939589427453
1997,M2m,300.03561643835616,285.4822758046316,211.79972360121752
1997,M3,300.03561643835616,307.16419836085834,50.816680225824854
1997,M4,300.03561643835616,287.67914660459337,152.68234675268977
1997,M2_oracle,300.03561643835616,307.0681723511143,49.4568426660695
1998,naive_persist,342.28767123287673,307.7783183220913,1190.8954383211344
1998,naive_mean,342.28767123287673,291.306208306436,2599.109562120049
1998,M1,342.28767123287673,301.95365629029266,1626.8327613885956
1998,M2,342.28767123287673,324.4812016836877,317.07035780619674
1998,M2m,342.28767123287673,303.2037923732346,1527.549586715182
1998,M3,342.28767123287673,324.28150712296247,324.2219459531646
1998,M4,342.28767123287673,323.8771450634599,338.94747383478125
1998,M2_oracle,342.28767123287673,263.0792419734112,6273.97526575176
1999,naive_persist,261.21311475409834,320.9902463482017,3573.305461618751
1999,naive_mean,261.21311475409834,291.7559664585842,932.8657902422162
1999,M1,261.21311475409834,311.05149086588835,2483.8637334602413
1999,M2,261.21311475409834,275.46061298803033,202.99120592589523
1999,M2m,261.21311475409834,313.5421299860118,2738.3258351418294
1999,M3,261.21311475409834,258.698442976729,6.323574147897967
1999,M4,261.21311475409834,225.58449079491174,1269.3988452251253
1999,M2_oracle,261.21311475409834,292.2808130627236,965.2018781957573
2000,naive_persist,341.55890410958904,253.53078163048895,7748.950347195447
2000,naive_mean,341.55890410958904,291.18544131189583,2537.4857542305817
2000,M1,341.55890410958904,265.51084723068016,5783.30695505776
2000,M2,341.55890410958904,240.10481106657926,10292.932995179684
2000,M2m,341.55890410958904,261.5467803692859,6401.939945433581
2000,M3,341.55890410958904,252.1547817855976,7993.097088523223
2000,M4,341.55890410958904,273.7551915014019,4597.343443453636
2000,M2_oracle,341.55890410958904,288.98650940837933,2763.856684619782
2001,naive_persist,379.5315068493151,342.1252814567624,1399.2256981184544
2001,naive_mean,379.5315068493151,291.9345566081438,7673.225691554246
2001,M1,379.5315068493151,324.6475686946237,3012.246667367991
2001,M2,379.5315068493151,357.0921058327249,503.52671798335103
2001,M2m,379.5315068493151,329.45555860789455,2507.6005922774325
2001,M3,379.5315068493151,339.1114864403871,1633.7780498581558
2001,M4,379.5315068493151,311.11482267074643,4680.842673990011
2001,M2_oracle,379.5315068493151,404.2115166469521,609.1028836114561
2002,naive_persist,390.5068493150685,374.8181245274932,246.1360854602804
2002,naive_mean,390.5068493150685,293.1357677374099,9481.127527603052
2002,M1,390.5068493150685,347.31448173195076,1865.5806174351605
2002,M2,390.5068493150685,426.2300074259351,1276.1440254139757
2002,M2m,390.5068493150685,354.1472925718699,1322.0173665618784
2002,M3,390.5068493150685,435.67849537433403,2040.4776077035588
2002,M4,390.5068493150685,450.1235529203768,3554.1513487631814
