origin,horizon,model,obs,pred,below_660_obs,below_660_pred,sqerr,abserr
1966,5,M3,651.6140273972603,662.8311158665222,1,0,125.82307372724722,11.217088469261853
1966,5,M4,651.6140273972603,663.2575725027539,1,0,135.572142623663,11.643545105493558
1966,5,M2_oracle,651.6140273972603,665.9219470909476,1,0,204.71656596100397,14.307919693687268
1967,1,naive_persist,670.1143715846994,644.8193510324484,0,1,639.8380647388007,25.295020552251003
1967,1,naive_mean,670.1143715846994,661.4095254720976,0,0,75.77434584407841,8.704846112601786
1967,1,M1,670.1143715846994,646.6039021243115,0,1,552.7421742478306,23.510469460387867
1967,1,M2,670.1143715846994,641.3690297183251,0,1,826.2946790147281,28.745341866374247
1967,1,M2m,670.1143715846994,647.743351903647,0,1,500.4625215700346,22.371019681052417
1967,1,M3,670.1143715846994,642.2357110907114,0,1,777.2197109390429,27.878660493987923
1967,1,M4,670.1143715846994,648.145892907622,0,1,482.61405538520063,21.968478677077314
1967,1,M2_oracle,670.1143715846994,652.5255593578152,0,1,309.3663155525917,17.588812226884215
1967,5,naive_persist,668.0121038251366,644.8193510324484,0,1,537.9037821027474,23.192752792688225
1967,5,naive_mean,668.0121038251366,661.4095254720976,0,0,43.59404090801929,6.602578353039007
1967,5,M1,668.0121038251366,651.4406651667516,0,1,274.61257920861607,16.571438658384977
1967,5,M2,668.0121038251366,633.6707916968218,0,1,1179.3257186943429,34.341312128314826
1967,5,M2m,668.0121038251366,654.2672818893643,0,1,188.92013004608683,13.74482193577228
1967,5,M3,668.0121038251366,633.9517959780027,0,1,1160.104570641532,34.06030784713391
1967,5,M4,668.0121038251366,636.1795721782354,0,1,1013.3100710509666,31.832531646901202
1967,5,M2_oracle,668.0121038251366,650.7456782243655,0,1,298.12945302696266,17.266425600771072
1968,1,naive_persist,664.3702465753425,670.1143715846994,0,0,32.9949721231185,5.7441250093568215
1968,1,naive_mean,664.3702465753425,661.658235361029,0,0,7.355004826562294,2.71201121431352
1968,1,M1,664.3702465753425,668.3693026597679,0,0,15.992449566379168,3.9990560844253196
1968,1,M2,664.3702465753425,673.4391422387483,0,0,82.24486855374022,9.068895663405783
1968,1,M2m,664.3702465753425,667.9228239190817,0,0,12.620805783248578,3.552577343739131
1968,1,M3,664.3702465753425,667.8908147403861,0,0,12.394400204717954,3.520568165043528
1968,1,M4,664.3702465753425,659.0477045182001,0,1,28.3294539500498,5.322542057142414
1968,1,M2_oracle,664.3702465753425,666.1173907562309,0,0,3.0525127888118937,1.7471441808883128
1968,5,naive_persist,681.9524657534247,670.1143715846994,0,0,140.14047354760842,11.83809416872532
1968,5,naive_mean,681.9524657534247,661.658235361029,0,0,411.8557872196358,20.29423039239566
1968,5,M1,681.9524657534247,664.2422294730742,0,0,313.6524691058431,17.7102362803505
1968,5,M2,681.9524657534247,680.4675339735783,0,0,2.2050223907978563,1.4849317798464199
1968,5,M2m,681.9524657534247,663.2900064702286,0,0,348.28738649695174,18.662459283196085
1968,5,M3,681.9524657534247,679.1683179638625,0,0,7.751478914124151,2.784147789562212
1968,5,M4,681.9524657534247,675.4559602448073,0,0,42.20458382349571,6.496505508617361
1968,5,M2_oracle,681.9524657534247,677.2536611018745,0,0,22.078765153429575,4.6988046515501765
1969,1,naive_persist,665.8043013698631,664.3702465753425,0,0,2.056513153687332,1.4340547945205344
1969,1,naive_mean,665.8043013698631,661.7335690058711,0,0,16.57086197925161,4.070732363991965
1969,1,M1,665.8043013698631,663.6451977541259,0,0,4.661728423489427,2.1591036157371946
1969,1,M2,665.8043013698631,661.3926719691086,0,0,19.46247396960119,4.411629400754464
1969,1,M2m,665.8043013698631,663.4389480579238,0,0,5.594896290302291,2.365353311939316
1969,1,M3,665.8043013698631,661.7355365731495,0,0,16.554846970975817,4.0687647967135945
1969,1,M4,665.8043013698631,662.571835209886,0,0,10.448837475397056,3.2324661599770934
1969,1,M2_oracle,665.8043013698631,661.5981157192384,0,0,17.691997727520807,4.206185650624661
1969,5,naive_persist,678.2443561643836,664.3702465753425,0,0,192.49091688872056,13.87410958904104
1969,5,naive_mean,678.2443561643836,661.7335690058711,0,0,272.60609259370034,16.51078715851247
1969,5,M1,678.2443561643836,661.9507278467756,0,0,265.4823237523558,16.293628317607954
1969,5,M2,678.2443561643836,655.2519774744144,0,1,528.6494778229498,22.9923786899692
1969,5,M2m,678.2443561643836,661.518317868891,0,0,279.7603570622841,16.72603829549257
1969,5,M3,678.2443561643836,655.3341668040297,0,1,524.8767765272736,22.91018936035391
1969,5,M4,678.2443561643836,655.6359949165919,0,1,511.1379983106478,22.608361247791663
1969,5,M2_oracle,678.2443561643836,667.9766112870021,0,0,105.42658486699322,10.26774487738146
1970,1,naive_persist,651.6140273972603,665.8043013698631,1,0,201.36387541752754,14.190273972602768
1970,1,naive_mean,651.6140273972603,661.8435887994925,1,0,104.64392648203896,10.229561402232207
1970,1,M1,651.6140273972603,664.8499564928045,1,0,175.18981902227296,13.23592909554418
1970,1,M2,651.6140273972603,663.551515789856,1,0,142.50362912335697,11.937488392595696
1970,1,M2m,651.6140273972603,664.6278103485871,1,0,169.3585467042438,13.013782951326789
1970,1,M3,651.6140273972603,662.5652444763922,1,0,119.92915551426978,10.95121707913188
1970,1,M4,651.6140273972603,660.5128556850691,1,0,79.1891448959058,8.898828287808783
1970,1,M2_oracle,651.6140273972603,666.4123704619675,1,0,218.99095746076716,14.798343064707183
1970,5,naive_persist,679.3312054794521,665.8043013698631,0,0,182.97713479001726,13.526904109589054
1970,5,naive_mean,679.3312054794521,661.8435887994925,0,0,305.8167371452017,17.487616679959615
1970,5,M1,679.3312054794521,662.6151433014555,0,0,279.4267347386486,16.716062177996605
1970,5,M2,679.3312054794521,658.7002180485688,0,1,425.63764237326683,20.63098743088335
1970,5,M2m,679.3312054794521,662.0942766271298,0,0,297.11171626002124,17.236928852322308
1970,5,M3,679.3312054794521,658.4512594125221,0,1,435.97214775790866,20.879946066930074
1970,5,M4,679.3312054794521,657.6205523780999,0,1,471.3524580872561,21.71065310135225
1970,5,M2_oracle,679.3312054794521,675.0884210064395,0,0,18.001220084437215,4.242784473012648
1971,1,naive_persist,668.0121038251366,651.6140273972603,0,1,268.8969105344716,16.398076427876276
1971,1,naive_mean,668.0121038251366,661.5743898152232,0,0,41.44416167343535,6.437714009913407
1971,1,M1,668.0121038251366,653.2506187162335,0,1,217.90144262036844,14.761485108903116
1971,1,M2,668.0121038251366,651.1253865255275,0,1,285.1612211569183,16.88671729960913
1971,1,M2m,668.0121038251366,654.0621251226584,0,1,194.6019057995963,13.949978702478234
1971,1,M3,668.0121038251366,653.0360907402776,0,1,224.28096791786814,14.976013084859005
1971,1,M4,668.0121038251366,658.8785372544735,0,1,83.42203830073461,9.133566570663106
1971,1,M2_oracle,668.0121038251366,649.8583291719834,0,1,329.55953415746626,18.153774653153164
1971,5,naive_persist,678.1262191780822,651.6140273972603,0,1,702.8963130230815,26.512191780821922
1971,5,naive_mean,678.1262191780822,661.5743898152232,0,0,273.9630552572031,16.551829362859053
1971,5,M1,678.1262191780822,657.0130961853092,0,1,445.7639625079605,21.113122992773015
1971,5,M2,678.1262191780822,650.236497569885,0,1,777.8365713827413,27.889721608197192
1971,5,M2m,678.1262191780822,658.5154714477876,0,1,384.5814265412561,19.610747730294634
1971,5,M3,678.1262191780822,650.6131753688109,0,1,756.9675796508863,27.51304380927138
1971,5,M4,678.1262191780822,652.2132149185677,0,1,671.4837897536186,25.913004259514537
1971,5,M2_oracle,678.1262191780822,659.5467046090598,0,1,345.19836162051644,18.57951456902242
1972,1,naive_persist,681.9524657534247,668.0121038251366,0,0,194.33369069166426,13.940361928288098
1972,1,naive_mean,681.9524657534247,661.739459405221,0,0,408.56562563252044,20.213006348203635
1972,1,M1,681.9524657534247,666.4818356993304,0,0,239.34039427064494,15.470630054094272
